Date,Open,High,Low,Close,Volume
20160104,64.890,64.969,62.128,62.694,4852964.617
20160105,62.327,63.877,61.909,63.867,7439122.460
20160106,62.903,63.141,62.495,62.953,6550574.530
20160107,62.058,62.406,60.329,61.104,7178048.020
20160108,62.098,62.356,60.588,60.747,5416831.800
20160111,60.618,61.085,58.253,58.789,5973640.390
20160112,59.197,59.485,57.478,58.243,4275091.360
20160113,58.561,58.650,56.335,56.405,5073045.454
20160114,56.524,57.508,55.640,57.011,3593079.650
20160115,55.640,56.037,53.584,53.762,6840489.785
20160119,54.438,54.537,52.212,52.898,6507982.120
20160120,52.460,52.838,50.553,52.460,5896599.880
20160121,52.103,53.434,51.320,53.215,5180673.140
20160122,54.249,54.895,53.370,54.388,4061843.390
20160125,53.981,54.567,52.659,52.758,3411688.444
20160126,52.510,53.752,51.805,53.116,3910586.079
20160127,53.186,53.672,51.040,51.129,4683381.860
20160128,51.715,52.152,50.583,51.666,3771108.779
20160129,51.825,52.550,50.384,52.391,4799149.548
20160201,51.904,53.116,51.308,52.947,3971111.000
20160202,54.438,55.948,53.126,55.819,8285386.800
20160203,56.723,58.541,56.643,58.362,7475188.380
20160204,58.342,59.296,58.084,58.710,5455685.550
20160205,58.909,59.236,58.163,58.501,4910434.952
20160208,58.223,58.899,56.474,57.786,6517956.115
20160209,57.448,59.306,57.200,58.700,6119669.435
20160210,58.480,59.420,57.590,57.920,2698272.000
20160211,56.720,57.370,55.940,56.630,4773936.000
20160212,56.770,58.480,56.450,58.400,5748851.000
20160216,58.950,59.000,57.990,58.840,2714596.000
20160217,59.200,60.745,59.160,60.590,3141558.000
20160218,60.620,60.700,59.730,59.990,2890779.000
20160219,59.940,60.195,59.400,59.970,3631742.000
20160222,60.600,61.420,59.910,60.210,3278946.000
20160223,59.810,59.870,58.460,58.840,2913367.000
20160224,58.230,59.100,57.760,59.020,3804102.000
20160225,59.350,60.440,58.780,60.420,4255240.000
20160226,60.860,61.830,60.690,61.500,3698357.000
20160229,61.560,62.440,60.810,60.810,2937342.000
20160301,61.780,63.030,61.430,62.920,2939411.000
20160302,61.810,62.610,61.150,62.180,6727456.000
20160303,61.810,62.500,61.480,61.930,5367037.000
20160304,61.580,63.190,61.460,63.190,7714599.000
20160307,64.400,65.170,63.750,64.710,10497028.000
20160308,64.080,64.360,62.680,63.520,4428732.000
20160309,63.960,64.138,63.290,63.440,2300591.000
20160310,63.460,64.150,61.760,62.200,2783033.000
20160311,62.780,63.987,62.780,63.800,2052410.000
20160314,63.750,63.840,63.120,63.270,2340566.000
20160315,62.940,63.020,62.450,62.820,2821893.000
20160316,62.260,63.490,62.070,63.170,2749594.000
20160317,63.060,64.630,62.870,64.580,3747318.000
20160318,64.870,65.700,64.470,64.850,4783874.000
20160321,64.540,64.800,63.730,64.570,3340390.000
20160322,64.010,64.390,63.730,63.940,2086903.000
20160323,63.950,64.569,63.710,63.750,2475094.000
20160324,63.280,63.980,63.130,63.970,2699447.000
