Date,Open,High,Low,Close,Volume
20160104,16.802,17.031,16.404,16.912,2296510.273
20160105,16.931,17.091,16.752,17.031,1271472.323
20160106,16.862,17.494,16.852,17.419,1812603.605
20160107,17.170,17.658,17.031,17.509,3684534.728
20160108,17.569,17.997,17.429,17.638,2421986.821
20160111,17.688,17.738,17.031,17.369,2044742.769
20160112,17.837,18.255,17.584,17.768,2944228.002
20160113,17.778,17.907,17.598,17.728,2447806.409
20160114,17.758,18.315,17.608,18.186,2137788.679
20160115,17.768,18.096,17.539,17.987,3906112.955
20160119,18.146,18.275,17.857,18.196,2479045.392
20160120,17.967,18.360,17.514,18.245,3106230.564
20160121,18.245,18.609,17.887,18.504,3197763.255
20160122,18.673,19.072,18.445,18.813,3866939.876
20160125,18.733,18.892,18.340,18.425,2586220.681
20160126,18.554,19.171,18.497,19.002,1933754.306
20160127,19.022,19.768,18.982,19.529,3731431.039
20160128,19.768,19.908,19.380,19.420,3360902.216
20160129,19.559,19.898,19.498,19.888,2280841.898
20160201,19.788,19.928,19.599,19.738,2472875.025
20160202,19.410,19.589,18.902,19.500,3799642.923
20160203,19.589,19.709,19.072,19.171,2299961.680
20160204,19.181,19.261,18.706,18.912,2612187.252
20160205,18.912,19.500,18.912,19.211,3025838.276
20160208,19.042,19.121,18.584,18.872,2986061.671
20160209,18.634,19.072,18.017,18.932,4325540.768
20160210,19.609,20.575,19.609,19.898,6219169.541
20160211,19.689,20.087,19.599,19.918,2056936.157
20160212,20.027,20.614,19.987,20.575,3487401.877
20160216,20.903,21.072,20.316,20.853,2851748.117
20160217,20.963,21.032,20.370,20.614,2678626.168
20160218,20.694,20.724,19.918,20.644,3580470.442
20160219,20.575,20.654,20.196,20.375,3802761.510
20160222,20.505,20.814,18.484,18.803,10402147.850
20160223,18.703,19.888,18.574,19.161,5346482.599
20160224,19.072,19.171,18.654,19.002,4562884.770
20160225,19.111,19.370,18.902,19.261,3483712.780
20160226,19.311,19.629,19.126,19.201,2144750.792
20160229,19.201,19.450,19.022,19.201,1284897.430
20160301,19.360,19.529,19.037,19.141,1806907.528
20160302,19.121,19.261,19.027,19.211,2440778.966
20160303,19.241,19.291,18.972,19.081,2013411.938
20160304,19.191,19.495,18.972,19.231,2610326.516
20160307,19.191,19.480,19.131,19.300,2042135.366
20160308,19.271,19.509,19.241,19.281,1760798.842
20160309,19.320,19.465,19.111,19.410,2039619.243
20160310,19.460,19.570,19.220,19.390,1866072.000
20160311,19.510,19.750,19.330,19.430,1889873.000
20160314,19.440,19.620,19.340,19.610,1915395.000
20160315,19.560,19.620,19.330,19.550,2076812.000
20160316,19.550,19.920,19.420,19.890,2227366.000
20160317,19.870,19.935,19.700,19.710,2063724.000
20160318,19.770,19.860,19.540,19.575,1730293.000
20160321,19.640,19.650,19.000,19.230,2101174.000
20160322,18.850,18.950,16.839,16.920,13459805.000
20160323,17.130,17.620,16.900,17.310,5437241.000
20160324,17.220,17.410,17.010,17.130,2077874.000
