Date,Open,High,Low,Close,Volume
20160104,70.720,72.226,70.227,72.226,3253651.342
20160105,72.285,72.954,71.857,72.624,3227745.510
20160106,71.817,72.854,71.618,72.505,2922865.650
20160107,72.236,72.874,71.109,71.618,3423022.162
20160108,71.797,72.166,71.129,71.229,2303429.048
20160111,71.139,71.458,68.995,69.424,4831155.478
20160112,69.793,70.690,69.534,70.511,2797026.765
20160113,70.611,70.770,68.148,68.267,3294999.398
20160114,68.866,69.444,67.390,68.168,4106549.076
20160115,66.971,69.095,66.941,68.676,3845221.452
20160119,69.334,70.591,68.871,70.132,3775271.624
20160120,69.334,70.411,68.447,70.032,5187086.050
20160121,70.212,71.737,69.992,70.611,2849580.817
20160122,71.169,72.275,70.880,71.657,2805669.843
20160125,71.787,72.585,71.498,71.947,2213287.149
20160126,72.325,73.651,72.076,73.482,2544987.057
20160127,73.312,74.549,73.263,73.811,3438604.671
20160128,74.030,74.040,73.043,73.193,2680139.484
20160129,73.472,74.918,73.282,74.788,2368708.275
20160201,74.399,76.264,73.831,76.144,3209908.361
20160202,76.034,76.523,75.277,76.114,3128457.268
20160203,76.174,76.214,74.100,74.858,2912003.286
20160204,74.010,74.978,72.216,72.624,3581138.325
20160205,72.635,72.993,71.368,71.468,2644065.522
20160208,71.049,71.119,68.666,69.494,3682575.867
20160209,68.656,70.052,67.978,69.304,3191008.349
20160210,69.573,70.381,69.284,69.464,2413631.800
20160211,68.626,69.254,67.699,68.527,2169158.747
20160212,68.606,70.401,68.537,70.222,2077267.606
20160216,72.654,75.336,71.847,72.794,2912312.177
20160217,73.452,74.328,73.282,74.040,2461209.567
20160218,72.345,73.282,71.278,72.385,3949724.802
20160219,71.986,72.275,70.451,71.767,3029419.225
20160222,72.126,73.103,71.767,72.565,2257779.894
20160223,73.173,74.359,72.794,73.896,2767063.818
20160224,73.661,74.938,73.143,74.858,2336742.915
20160225,75.346,76.054,74.419,76.044,1838576.459
20160226,75.915,76.174,75.416,75.785,1791638.862
20160229,75.416,75.945,74.020,74.030,3104516.662
20160301,74.320,75.636,72.355,75.306,3274181.202
20160302,74.868,75.297,73.891,74.559,3657126.424
20160303,74.050,74.858,73.679,74.788,1988031.450
20160304,74.609,75.306,73.761,74.668,2397777.289
20160307,74.130,74.708,73.442,74.349,1844770.137
20160308,73.941,75.356,73.851,74.030,1889839.264
20160309,74.459,75.107,74.160,74.987,2885117.007
20160310,79.494,83.034,79.265,82.984,10322994.510
20160311,83.712,84.798,83.512,84.749,5403339.392
20160314,84.898,85.626,84.390,85.546,3022084.830
20160315,85.117,86.545,84.619,84.769,3088036.231
20160316,84.778,84.778,83.113,84.449,3132684.227
20160317,84.360,84.639,83.432,83.891,3009324.521
20160318,84.001,84.579,83.253,83.791,3195304.415
20160321,83.761,85.038,83.612,84.350,1927170.985
20160322,84.300,84.938,83.552,83.662,2206486.393
20160323,83.682,84.798,83.452,84.250,2293181.031
20160324,84.200,84.530,83.660,83.960,2517945.000
