Date,Open,High,Low,Close,Volume
20160104,70.882,70.882,69.391,70.365,1125719.891
20160105,70.395,71.350,69.978,70.405,990065.407
20160106,69.610,70.117,68.695,69.311,1051791.566
20160107,68.287,68.859,67.442,67.760,1096625.504
20160108,67.990,69.190,67.340,67.430,881010.000
20160111,67.640,68.210,66.930,67.960,1199718.000
20160112,68.670,69.450,67.220,68.240,720523.000
20160113,68.170,68.630,66.510,66.690,862373.000
20160114,66.920,67.260,65.980,66.890,1055138.000
20160115,65.150,65.990,64.550,65.760,928249.000
20160119,66.500,66.590,64.830,65.470,836148.000
20160120,64.830,65.500,63.370,64.990,1682191.000
20160121,65.110,65.730,64.335,64.740,929902.000
20160122,65.160,66.130,64.850,65.940,874080.000
20160125,65.980,66.490,65.430,65.570,626267.000
20160126,65.830,66.280,65.230,66.230,889881.000
20160127,65.880,67.100,65.280,65.750,1100432.000
20160128,66.430,67.310,63.130,64.150,1860568.000
20160129,64.400,65.722,63.165,65.650,1513684.000
20160201,65.660,66.120,64.680,65.850,1201837.000
20160202,65.100,65.770,63.720,63.950,923994.000
20160203,64.330,64.445,62.780,64.030,1212070.000
20160204,63.920,64.900,63.580,63.870,892446.000
20160205,63.460,63.860,61.930,62.060,1172718.000
20160208,61.680,61.700,59.660,60.530,1028935.000
20160209,59.780,61.055,59.655,60.550,1343038.000
20160210,60.710,63.450,60.580,62.120,959530.000
20160211,61.260,62.090,60.960,61.270,1016311.000
20160212,61.750,62.380,61.550,61.890,653276.000
20160216,62.120,63.570,61.920,63.220,761963.000
20160217,63.770,64.800,63.510,64.570,821007.000
20160218,64.640,66.870,64.631,66.060,1223878.000
20160219,65.920,66.420,65.270,66.290,878025.000
20160222,66.830,67.790,66.510,66.700,705496.000
20160223,66.650,66.880,66.000,66.120,726059.000
20160224,65.600,66.240,65.060,66.060,742361.000
20160225,66.480,66.955,66.070,66.730,951145.000
20160226,66.830,67.900,66.660,67.220,925642.000
20160229,67.210,67.520,66.510,66.520,724939.000
20160301,67.800,68.765,66.650,68.480,846593.000
20160302,68.210,68.660,67.390,67.920,854968.000
20160303,67.700,69.830,67.470,69.690,1101423.000
20160304,69.700,69.960,69.100,69.320,1025728.000
20160307,68.880,70.000,68.860,69.620,898846.000
20160308,69.190,69.230,68.310,68.440,808315.000
20160309,68.630,68.960,68.100,68.630,708190.000
20160310,69.040,69.090,67.360,68.020,933551.000
20160311,68.750,71.070,68.590,70.720,1120143.000
20160314,70.140,70.880,69.730,69.820,815304.000
20160315,69.290,69.680,68.610,69.280,793981.000
20160316,69.240,69.990,68.960,69.680,725035.000
20160317,69.510,69.700,68.200,69.090,957924.000
20160318,69.230,70.600,69.070,70.150,1025183.000
20160321,70.140,70.290,69.440,70.020,782628.000
20160322,69.830,70.180,69.140,69.870,797002.000
20160323,70.010,70.670,69.850,70.130,756432.000
20160324,69.440,69.940,68.940,69.790,675663.000
