Date,Open,High,Low,Close,Volume
20160104,103.120,103.430,101.730,102.980,11297152.000
20160105,102.660,102.670,99.890,100.930,14379620.000
20160106,99.380,101.460,99.360,100.380,13111711.000
20160107,98.960,101.350,98.500,99.510,13678240.000
20160108,100.630,100.920,99.000,99.220,9506880.000
20160111,100.210,100.450,98.550,99.950,8627344.000
20160112,100.970,101.850,100.340,101.440,7593285.000
20160113,101.880,101.880,98.110,98.440,10364298.000
20160114,98.600,99.910,97.180,99.070,9847946.000
20160115,95.620,96.880,93.450,93.880,20190294.000
20160119,95.000,95.070,93.030,93.950,12432765.000
20160120,92.290,93.640,90.420,92.540,15837023.000
20160121,93.030,94.860,92.300,94.020,11014425.000
20160122,95.890,97.420,95.513,96.910,10973291.000
20160125,96.500,96.680,95.120,95.310,6829215.000
20160126,95.500,96.430,95.090,96.290,6453925.000
20160127,96.310,96.630,93.870,94.310,5915950.000
20160128,95.200,95.320,92.370,93.510,6891142.000
20160129,94.120,95.650,93.630,95.625,6245114.000
20160201,95.080,95.710,94.700,95.100,6394598.000
20160202,94.000,94.170,92.866,93.100,6473319.000
20160203,94.100,95.420,92.420,95.110,9342324.000
20160204,94.870,96.750,94.600,95.410,7755747.000
20160205,95.320,95.390,93.467,93.880,8104239.000
20160208,92.550,92.965,89.490,92.130,13107793.000
20160209,90.490,93.200,89.040,92.410,14672024.000
20160210,88.000,90.030,86.250,88.795,30459922.000
20160211,87.000,91.060,86.960,90.270,15840409.000
20160212,91.520,91.590,89.610,91.130,9848346.000
20160216,92.470,93.310,91.780,92.860,8188782.000
20160217,93.800,96.440,93.560,95.495,11614640.000
20160218,96.310,96.450,94.450,95.200,8265439.000
20160219,95.230,95.720,94.560,94.980,6145084.000
20160222,96.230,97.010,95.850,96.330,5792784.000
20160223,96.500,96.820,95.150,95.380,5448578.000
20160224,94.650,95.760,93.230,95.430,6527234.000
20160225,95.770,95.950,94.350,95.650,3894966.000
20160226,95.750,96.230,95.280,95.310,4774091.000
20160229,95.310,96.290,95.210,95.490,5292251.000
20160301,95.900,97.660,95.530,97.640,6399925.000
20160302,97.670,97.830,96.370,97.060,5871856.000
20160303,97.870,98.840,96.870,98.800,7924410.000
20160304,99.000,99.210,97.900,98.451,6254582.000
20160307,98.630,99.710,98.480,99.360,6650346.000
20160308,98.930,98.980,97.600,97.845,5527649.000
20160309,98.000,98.240,96.810,97.640,6569602.000
20160310,97.940,98.420,95.860,97.040,4974801.000
20160311,97.570,98.350,97.540,97.940,5081516.000
20160314,97.830,99.220,97.830,98.820,5459347.000
20160315,98.050,98.330,97.380,98.240,5374736.000
20160316,98.160,99.090,97.470,98.460,5538118.000
20160317,98.280,99.910,98.180,99.600,5504382.000
20160318,99.880,100.150,98.960,99.200,7130438.000
20160321,98.920,99.120,97.700,98.440,6412245.000
20160322,97.650,98.320,97.440,97.600,5174653.000
20160323,97.530,97.860,96.750,96.850,5085130.000
20160324,96.370,97.490,96.300,97.220,4622171.000
