Date,Open,High,Low,Close,Volume
20160104,84.032,84.381,82.480,83.575,2032854.607
20160105,84.042,84.311,80.798,81.256,2120333.561
20160106,79.813,79.972,78.470,79.097,3819903.212
20160107,77.127,77.754,74.360,74.699,4477292.310
20160108,75.306,76.107,73.107,73.216,2920373.879
20160111,73.475,75.753,73.186,75.475,3322246.781
20160112,76.828,77.067,72.221,74.589,5828689.537
20160113,75.067,75.176,69.684,69.813,4984957.281
20160114,69.873,70.241,65.604,69.077,7099875.286
20160115,66.758,68.102,65.435,67.136,4436442.250
20160119,67.982,68.599,66.181,67.007,2911851.870
20160120,65.853,66.509,63.146,65.415,5137709.235
20160121,65.773,66.718,64.609,64.728,3603903.873
20160122,66.191,67.276,64.300,64.738,3314977.821
20160125,64.440,64.868,63.504,63.982,2681394.216
20160126,65.047,66.181,64.678,66.012,2386030.379
20160127,65.733,66.609,65.156,65.922,3468056.236
20160128,66.778,67.664,63.793,63.823,2626862.459
20160129,63.873,64.768,63.181,64.639,2861247.544
20160201,64.380,66.320,64.221,66.052,2571985.548
20160202,65.405,65.683,63.266,63.644,2221734.985
20160203,64.529,64.668,61.305,62.221,3701912.640
20160204,60.290,62.231,56.718,61.942,3387801.963
20160205,61.425,62.778,58.479,59.126,4433657.555
20160208,58.191,58.947,55.862,56.728,3909703.734
20160209,55.743,58.022,55.315,57.355,4684627.867
20160210,57.892,59.086,57.773,58.668,3696057.230
20160211,57.305,60.111,57.216,58.340,3312459.508
20160212,59.750,61.440,59.350,61.230,2936568.000
20160216,62.370,63.530,61.780,63.160,3580069.000
20160217,63.540,66.190,63.400,66.000,3091184.000
20160218,66.180,67.150,64.960,65.380,2370216.000
20160219,65.070,65.390,63.880,65.150,2149017.000
20160222,66.110,67.570,65.700,66.100,2672312.000
20160223,65.600,65.940,64.190,64.400,2521492.000
20160224,63.480,64.040,62.120,63.650,3330741.000
20160225,63.810,66.720,63.570,66.670,2766845.000
20160226,67.570,68.030,66.450,66.730,2242565.000
20160229,66.710,67.670,66.510,66.670,2149449.000
20160301,67.770,69.090,67.090,68.870,2470921.000
20160302,68.780,69.420,68.410,68.960,1537509.000
20160303,69.150,70.950,68.770,70.770,2184853.000
20160304,70.640,72.470,69.990,71.530,3381338.000
20160307,70.810,71.270,69.950,70.560,1746918.000
20160308,69.850,69.930,68.370,68.940,1922283.000
20160309,69.560,70.230,68.820,69.100,1740029.000
20160310,69.240,69.540,67.160,68.370,2632178.000
20160311,69.460,70.720,69.130,70.260,2409390.000
20160314,69.570,70.350,69.180,70.050,1308986.000
20160315,70.320,71.050,69.340,70.970,1298880.000
20160316,70.770,72.480,70.671,72.160,2556428.000
20160317,71.910,73.350,71.860,73.090,2371828.000
20160318,73.380,73.530,72.210,72.610,2132543.000
20160321,72.560,72.740,71.650,72.340,1280295.000
20160322,71.620,73.540,71.620,73.260,1935696.000
20160323,72.870,73.110,72.290,72.530,1774295.000
20160324,71.850,72.600,70.950,72.380,2211423.000
