Date,Open,High,Low,Close,Volume
20160104,76.570,78.820,76.070,78.800,4074785.000
20160105,79.270,80.780,79.240,79.990,4119278.000
20160106,78.940,80.580,78.500,80.570,3190324.000
20160107,79.250,81.480,78.317,78.450,4270776.000
20160108,78.740,79.440,77.580,77.790,3113402.000
20160111,78.170,78.380,76.280,77.360,3051718.000
20160112,77.510,78.790,77.145,78.700,1692295.000
20160113,78.830,79.000,75.340,75.500,2906590.000
20160114,75.770,76.500,74.150,75.700,3354107.000
20160115,73.560,75.670,73.560,75.290,3246895.000
20160119,76.460,78.000,75.500,76.860,2422030.000
20160120,76.000,76.730,73.740,76.030,2035932.000
20160121,76.410,78.750,75.850,77.010,2451849.000
20160122,78.490,78.500,76.560,77.240,1901570.000
20160125,77.300,77.710,76.241,76.600,1291198.000
20160126,76.640,78.090,76.130,77.700,1992685.000
20160127,78.090,79.500,77.420,77.970,2582787.000
20160128,79.120,79.360,77.420,78.920,1472880.000
20160129,79.580,81.970,79.202,81.290,2940060.000
20160201,81.210,82.220,79.955,81.980,2552696.000
20160202,82.080,82.370,80.750,81.700,2139959.000
20160203,82.090,82.760,78.840,79.570,2435215.000
20160204,79.340,79.410,75.870,76.670,3299433.000
20160205,76.650,78.110,75.140,76.560,4277179.000
20160208,78.950,79.000,74.280,75.310,3086189.000
20160209,75.210,76.900,74.700,75.250,2475251.000
20160210,75.810,76.500,74.850,75.150,1651159.000
20160211,73.120,74.920,72.520,73.430,3156638.000
20160212,73.970,75.562,72.800,75.230,2075285.000
20160216,79.810,79.810,76.900,78.550,2827071.000
20160217,79.380,81.460,78.717,80.850,2753755.000
20160218,79.730,80.520,77.130,79.300,4081869.000
20160219,78.660,79.490,77.580,79.440,2711849.000
20160222,80.490,81.720,80.200,81.640,2847005.000
20160223,81.590,82.680,80.761,81.700,3371264.000
20160224,81.440,81.830,79.850,81.650,3509000.000
20160225,82.000,82.500,80.910,82.300,1808504.000
20160226,82.250,82.395,81.370,81.630,1448040.000
20160229,81.420,81.900,80.230,80.240,3404307.000
20160301,79.500,82.810,77.750,82.030,7034570.000
20160302,81.090,81.380,77.900,78.770,5768446.000
20160303,78.400,78.630,76.450,77.450,3998930.000
20160304,77.700,79.160,76.680,78.400,3114435.000
20160307,77.730,78.270,76.470,76.820,2707766.000
20160308,76.410,76.945,75.240,75.970,2438083.000
20160309,76.210,77.370,75.970,76.740,1926224.000
20160310,78.190,80.410,77.500,79.830,3829789.000
20160311,80.260,80.730,79.310,80.000,2495906.000
20160314,79.620,81.240,79.160,80.960,1804470.000
20160315,80.340,82.080,80.230,81.180,1851454.000
20160316,81.050,81.620,80.210,81.420,1837284.000
20160317,81.050,81.410,80.160,80.420,1765772.000
20160318,80.770,81.160,79.750,80.010,2439644.000
20160321,79.950,80.830,79.510,80.450,1504876.000
20160322,80.240,80.490,78.845,79.010,1401625.000
20160323,79.100,79.905,78.700,78.980,1159062.000
20160324,78.850,79.260,78.210,78.520,1214950.000
