Date,Open,High,Low,Close,Volume
20160104,102.225,102.573,100.086,101.390,181051.758
20160105,101.837,102.295,99.817,100.703,160378.150
20160106,99.489,100.126,98.435,99.300,116590.504
20160107,97.261,98.186,95.072,95.957,221468.178
20160108,96.604,97.241,94.266,94.435,162981.466
20160111,95.072,95.420,93.182,93.998,232634.218
20160112,94.913,95.251,92.873,94.127,118102.231
20160113,94.485,95.271,91.918,92.366,184098.281
20160114,92.863,95.400,91.232,94.803,229392.661
20160115,92.923,95.062,92.187,94.873,281558.132
20160119,95.977,96.425,94.385,95.480,286493.299
20160120,94.475,97.480,92.515,96.773,331677.180
20160121,96.893,97.439,94.405,94.982,237349.287
20160122,96.186,97.430,95.808,96.435,152405.445
20160125,96.156,96.395,94.117,94.545,219772.494
20160126,94.813,96.972,94.664,96.942,183361.581
20160127,96.604,97.589,94.664,95.530,165067.065
20160128,96.326,96.962,94.783,95.221,130120.628
20160129,95.649,98.067,93.371,97.937,279931.787
20160201,97.261,98.862,96.813,98.415,286756.642
20160202,97.131,97.499,93.749,93.818,228363.483
20160203,94.843,95.758,91.858,95.281,301563.265
20160204,95.251,97.290,95.251,96.763,172180.384
20160205,96.863,96.863,93.072,93.590,198625.497
20160208,92.117,92.943,85.981,87.501,557796.082
20160209,86.188,88.993,85.551,88.257,247250.876
20160210,88.894,90.993,88.506,89.381,193862.166
20160211,88.108,89.212,86.138,88.844,363982.113
20160212,90.744,101.718,90.694,95.042,536326.514
20160216,95.679,95.898,90.376,93.231,354534.899
20160217,94.266,94.793,92.535,93.987,349036.773
20160218,94.435,94.744,92.893,93.022,229070.969
20160219,92.415,93.122,91.172,92.102,640078.362
20160222,93.042,94.326,92.714,93.983,220611.802
20160223,93.860,94.790,93.540,93.650,192504.000
20160224,92.550,94.110,91.235,93.720,150261.000
20160225,94.030,95.120,93.390,95.090,246205.000
20160226,95.660,97.320,95.270,96.160,158697.000
20160229,95.980,97.070,95.060,95.790,193851.000
20160301,96.710,98.410,96.070,98.340,222701.000
20160302,98.250,99.740,98.120,99.670,223401.000
20160303,99.530,101.330,99.170,101.160,150184.000
20160304,101.230,102.100,99.180,100.940,103216.000
20160307,100.250,100.990,98.775,99.370,197154.000
20160308,98.850,99.840,97.950,98.150,172676.000
20160309,98.490,99.190,97.680,98.340,143275.000
20160310,98.810,99.600,96.310,97.150,114737.000
20160311,97.800,100.230,97.720,99.960,121893.000
20160314,99.680,101.260,99.400,99.900,237960.000
20160315,99.080,99.780,98.320,98.820,128683.000
20160316,98.500,101.290,98.500,100.870,137558.000
20160317,100.880,102.630,100.350,102.230,92457.000
20160318,102.540,103.710,102.300,103.270,197795.000
20160321,103.320,103.770,102.560,103.320,218704.000
20160322,102.320,102.810,101.160,102.170,197803.000
20160323,102.200,102.750,101.130,101.140,139026.000
20160324,100.560,101.550,100.100,101.510,123210.000
