Date,Open,High,Low,Close,Volume
20160104,20.850,21.870,20.580,21.870,2224492.000
20160105,21.660,21.950,20.720,20.820,2163308.000
20160106,20.090,20.330,18.740,18.990,3487902.000
20160107,18.480,19.050,18.220,18.410,3389200.000
20160108,18.540,18.700,17.820,18.330,2433643.000
20160111,18.450,18.600,17.740,18.170,3113652.000
20160112,18.560,18.850,17.290,17.950,2405692.000
20160113,18.210,18.550,17.480,17.510,4416044.000
20160114,17.780,18.240,17.340,18.180,3357589.000
20160115,17.390,17.570,16.590,16.920,3069232.000
20160119,17.080,17.100,16.000,16.150,2557981.000
20160120,15.650,15.800,14.175,15.540,5961477.000
20160121,15.410,16.440,15.305,16.080,2511600.000
20160122,16.540,17.010,15.730,16.540,3277818.000
20160125,15.950,16.650,15.890,15.910,2179175.000
20160126,16.150,17.000,15.770,16.980,1956171.000
20160127,16.960,17.700,16.670,17.070,2022131.000
20160128,17.940,18.170,17.130,17.850,2401751.000
20160129,18.130,18.630,18.060,18.600,1960860.000
20160201,18.050,18.470,17.760,18.350,2274390.000
20160202,17.770,17.860,16.770,17.430,4109706.000
20160203,17.710,18.170,16.900,17.910,2279299.000
20160204,18.120,19.560,18.050,19.020,2276800.000
20160205,18.730,19.520,18.570,18.870,3502162.000
20160208,17.930,19.360,17.160,19.130,3108064.000
20160209,19.090,19.120,17.160,17.360,2778676.000
20160210,17.300,17.930,16.670,16.680,1921510.000
20160211,16.410,17.400,16.180,17.230,2207199.000
20160212,17.470,17.910,16.729,16.920,2254684.000
20160216,17.240,17.430,16.380,17.360,1123835.000
20160217,17.640,18.970,17.620,18.710,1908675.000
20160218,18.850,19.170,18.452,19.050,2435469.000
20160219,18.570,19.710,18.200,19.640,3070435.000
20160222,20.000,21.110,19.990,20.630,1928488.000
20160223,20.410,21.060,19.660,19.760,1823412.000
20160224,19.110,19.550,18.670,19.380,1743209.000
20160225,19.350,19.530,18.740,19.260,2146576.000
20160226,19.720,20.680,19.580,20.080,2369341.000
20160229,20.090,20.910,19.880,20.020,2313840.000
20160301,20.240,20.810,19.690,20.620,1961374.000
20160302,20.500,21.190,20.200,21.170,1587816.000
20160303,21.440,22.780,21.060,22.730,2524010.000
20160304,23.050,25.270,22.750,23.680,6192388.000
20160307,23.520,23.840,22.690,23.080,3849165.000
20160308,23.000,23.070,21.290,21.630,3526451.000
20160309,22.110,22.150,20.870,21.320,2133906.000
20160310,21.100,22.470,20.620,21.830,2670483.000
20160311,22.830,23.620,22.670,22.790,3256677.000
20160314,22.460,22.890,21.410,22.130,4464809.000
20160315,21.660,22.270,21.040,22.240,3429668.000
20160316,22.470,23.080,22.170,22.990,2493861.000
20160317,23.270,24.480,23.160,24.090,2593874.000
20160318,24.370,24.570,23.305,23.620,2265337.000
20160321,23.440,23.660,22.820,23.290,2381809.000
20160322,22.800,23.300,22.660,23.150,2871325.000
20160323,22.470,22.950,21.550,21.890,3905355.000
20160324,21.310,22.460,21.260,21.970,3814030.000
