Date,Open,High,Low,Close,Volume
20160104,59.698,61.227,59.410,61.197,1645472.851
20160105,61.227,61.545,59.549,60.050,1005447.976
20160106,59.023,59.628,58.476,58.784,1175489.151
20160107,57.692,58.129,57.325,57.940,1529662.207
20160108,58.149,58.474,57.225,57.344,1912751.895
20160111,57.593,57.632,56.153,56.570,2137678.206
20160112,57.543,57.841,54.693,56.073,4059975.148
20160113,55.329,57.106,54.842,54.941,1919067.300
20160114,54.991,56.024,53.839,55.319,2935476.350
20160115,53.362,53.541,52.330,52.519,2836873.499
20160119,53.124,53.591,52.280,52.876,2011098.131
20160120,52.131,52.598,50.552,52.260,1875741.888
20160121,52.141,53.531,51.635,52.479,1387221.690
20160122,53.720,54.217,52.380,52.955,1808016.774
20160125,52.806,53.263,52.121,52.618,2365300.414
20160126,53.333,56.778,53.164,55.646,4019237.474
20160127,55.378,56.520,54.524,54.941,2013807.333
20160128,56.212,56.620,55.192,56.202,1978631.130
20160129,56.480,58.089,56.480,58.029,1554704.995
20160201,56.768,57.702,56.550,57.394,1781874.914
20160202,56.749,56.994,55.984,56.411,3089641.299
20160203,57.056,58.149,55.388,57.831,2357172.914
20160204,57.841,60.859,57.811,59.271,1894339.889
20160205,58.834,59.956,58.665,59.519,1404296.326
20160208,58.734,59.430,58.283,59.251,1165751.785
20160209,58.476,59.082,57.046,57.722,2244784.637
20160210,57.851,58.605,56.490,56.609,1735428.611
20160211,55.527,57.017,54.914,56.758,1979029.492
20160212,57.235,59.052,56.977,58.784,1399304.195
20160216,59.420,59.876,58.347,59.837,1348452.413
20160217,60.492,61.877,60.184,61.217,1482965.092
20160218,61.098,61.843,60.661,61.227,1372440.706
20160219,61.038,61.098,59.767,60.184,2055044.466
20160222,61.048,61.624,60.820,61.018,2367952.554
20160223,60.919,61.366,59.824,59.946,1083727.621
20160224,58.923,59.638,57.742,59.370,1684944.120
20160225,59.770,60.650,59.210,60.520,1286743.000
20160226,61.260,61.590,60.830,61.100,809433.000
20160229,61.270,61.730,60.730,60.760,689928.000
20160301,61.490,62.270,60.750,62.250,1030565.000
20160302,61.650,62.820,61.630,62.570,2473789.000
20160303,62.650,63.090,62.160,62.480,1246325.000
20160304,62.730,63.840,62.180,63.200,1004241.000
20160307,62.950,65.370,62.760,65.230,1645921.000
20160308,64.420,64.530,63.060,63.090,1748939.000
20160309,63.150,63.380,61.350,62.080,1813047.000
20160310,62.050,62.110,60.360,61.010,1611905.000
20160311,61.810,62.970,61.560,62.790,1416191.000
20160314,62.400,62.960,62.030,62.340,887348.000
20160315,59.000,61.630,58.910,61.490,2086058.000
20160316,61.480,63.820,61.385,63.720,1696964.000
20160317,63.810,66.430,63.810,65.610,2978162.000
20160318,65.690,66.590,65.480,66.020,1298809.000
20160321,65.220,66.220,64.800,66.160,967372.000
20160322,65.630,66.520,65.310,66.320,1306647.000
20160323,66.000,66.260,64.620,64.730,899263.000
20160324,64.370,64.620,63.640,64.610,801143.000
