Date,Open,High,Low,Close,Volume
20160104,91.381,91.759,90.556,91.739,1191622.295
20160105,91.958,93.171,91.774,92.853,1082271.282
20160106,91.879,93.966,91.879,93.947,1701248.657
20160107,92.734,93.966,92.465,92.753,1967776.742
20160108,93.211,93.708,91.709,91.898,1092499.159
20160111,92.167,92.763,91.093,92.057,1242885.417
20160112,92.922,93.062,91.461,92.207,929212.020
20160113,90.894,91.471,89.761,89.860,1839208.423
20160114,89.572,90.327,88.906,89.701,1368576.052
20160115,88.110,89.065,87.852,88.657,1221907.648
20160119,89.960,90.536,89.472,90.178,1161830.004
20160120,89.224,90.745,88.389,89.701,2207908.180
20160121,89.930,90.487,88.707,89.433,1445557.900
20160122,91.242,91.352,88.995,90.029,2158819.697
20160125,90.526,91.192,89.900,90.447,2045501.011
20160126,90.695,91.332,90.477,90.894,1310568.381
20160127,90.964,91.259,89.632,90.069,1102759.139
20160128,90.129,91.700,89.830,91.520,1997795.927
20160129,92.028,93.718,91.769,93.280,1802368.324
20160201,93.221,95.319,92.992,94.921,1540897.398
20160202,94.344,94.792,93.927,94.175,1476955.353
20160203,94.632,94.811,92.466,92.684,1666806.752
20160204,92.356,92.644,89.273,89.691,2030406.071
20160205,90.039,90.228,88.289,88.826,1521786.496
20160208,88.637,88.786,86.678,88.508,1846778.432
20160209,87.722,90.337,87.688,89.810,1210368.184
20160210,90.049,90.815,89.333,89.453,891945.549
20160211,88.826,89.562,87.802,89.095,1298402.491
20160212,90.109,91.640,89.472,91.411,960758.429
20160216,92.336,92.435,91.073,91.451,1720498.322
20160217,88.568,90.984,88.140,88.826,2850991.296
20160218,89.085,89.661,88.548,89.393,2613666.108
20160219,89.453,90.248,88.697,90.019,1333533.658
20160222,90.278,91.352,90.069,90.795,1170153.743
20160223,90.616,92.054,90.238,91.570,1380624.538
20160224,91.282,92.276,90.904,92.137,1132531.322
20160225,92.415,92.803,91.859,92.694,1521348.991
20160226,92.435,92.704,91.093,91.650,951331.103
20160229,91.421,92.028,90.964,91.004,935171.377
20160301,91.620,92.470,91.013,92.197,1326369.340
20160302,92.037,92.197,90.934,91.441,1102074.356
20160303,91.650,91.650,90.506,91.411,1190618.687
20160304,91.570,91.928,90.765,91.252,1611578.914
20160307,90.854,91.133,89.502,89.681,1778484.276
20160308,90.705,91.155,89.492,90.218,2060199.157
20160309,90.407,91.838,90.069,91.501,1288625.544
20160310,91.501,92.346,90.805,91.610,859064.607
20160311,91.650,92.000,90.570,91.010,1279609.000
20160314,91.650,91.650,90.380,90.750,1163932.000
20160315,90.450,91.470,90.040,90.680,1041667.000
20160316,90.220,90.590,89.260,90.230,1397789.000
20160317,90.200,92.000,90.150,91.800,1418709.000
20160318,91.770,91.770,90.280,90.330,1583931.000
20160321,90.340,90.960,89.910,90.200,1488549.000
20160322,90.170,90.340,89.130,89.340,1253029.000
20160323,89.360,90.620,89.000,89.960,1364975.000
20160324,89.540,90.110,88.000,88.230,1343790.000
