Date,Open,High,Low,Close,Volume
20160104,62.388,62.576,61.802,62.259,1737001.842
20160105,62.993,63.390,62.219,63.380,1861082.251
20160106,62.830,63.630,62.560,62.940,1665634.000
20160107,62.280,63.160,62.070,62.470,2187857.000
20160108,62.650,63.390,61.880,61.990,1824013.000
20160111,62.390,62.660,61.590,61.960,1960730.000
20160112,61.720,62.600,61.390,62.520,1976106.000
20160113,62.480,63.180,61.810,61.870,2746629.000
20160114,61.850,62.010,60.200,61.690,2284286.000
20160115,60.580,60.940,58.970,60.230,1554673.000
20160119,60.870,61.510,60.353,60.830,1603502.000
20160120,60.000,60.330,57.950,59.680,2059377.000
20160121,59.500,60.740,58.890,60.320,2592781.000
20160122,60.900,62.230,60.770,61.950,1777446.000
20160125,62.100,62.590,61.310,61.450,2058996.000
20160126,61.200,62.690,60.911,62.680,1975935.000
20160127,62.250,63.160,61.750,62.600,2450907.000
20160128,62.560,63.990,62.560,63.260,2342620.000
20160129,62.840,63.240,61.590,63.080,2062067.000
20160201,62.840,63.880,62.060,63.330,1857427.000
20160202,62.650,63.380,61.690,62.170,2212426.000
20160203,62.350,62.510,60.540,61.930,1476610.000
20160204,61.640,62.090,61.000,61.520,1588544.000
20160205,61.200,61.490,58.810,59.000,2281077.000
20160208,58.700,59.810,58.220,59.540,1957771.000
20160209,58.700,59.150,57.980,58.480,3115991.000
20160210,59.000,59.135,57.580,57.600,2329143.000
20160211,57.080,57.948,55.770,57.080,3382139.000
20160212,57.630,59.040,57.190,58.670,1252985.000
20160216,58.810,59.990,58.660,59.570,1066170.000
20160217,59.640,61.650,59.370,61.540,2120016.000
20160218,61.220,61.860,60.600,61.530,1435063.000
20160219,61.530,61.830,60.260,61.190,1382903.000
20160222,61.570,62.450,61.340,62.130,1096761.000
20160223,62.370,63.860,62.290,62.850,1958841.000
20160224,62.420,63.470,61.450,63.330,1958423.000
20160225,63.370,63.880,63.170,63.730,793718.000
20160226,63.690,64.360,63.450,63.720,1503039.000
20160229,63.470,64.230,63.190,63.890,927424.000
20160301,64.310,64.660,63.940,64.250,1088144.000
20160302,63.960,64.730,63.870,64.690,1175605.000
20160303,64.510,65.000,63.520,64.820,1497337.000
20160304,64.510,64.950,64.160,64.920,914886.000
20160307,64.760,65.350,64.530,65.140,1022739.000
20160308,64.790,65.230,64.460,64.570,999374.000
20160309,66.750,68.000,66.010,66.910,4536007.000
20160310,67.170,67.410,66.400,67.140,1791470.000
20160311,67.440,68.260,67.220,67.570,1816893.000
20160314,67.500,68.020,67.130,67.790,1054287.000
20160315,67.500,67.770,66.670,66.850,1092103.000
20160316,66.870,67.960,66.190,67.570,1028947.000
20160317,67.360,67.990,66.810,67.600,1296523.000
20160318,67.550,68.150,67.170,67.300,1259668.000
20160321,67.290,67.500,66.950,67.200,980938.000
20160322,67.190,67.360,66.420,66.640,928375.000
20160323,66.780,67.190,66.290,66.520,798760.000
20160324,66.470,66.475,65.290,65.760,1125676.000
