Date,Open,High,Low,Close,Volume
20160104,78.852,79.149,77.780,78.504,1292267.635
20160105,78.316,79.447,77.374,79.298,1201700.777
20160106,78.723,79.417,78.435,78.941,2044922.209
20160107,78.137,78.842,77.840,78.098,1309540.327
20160108,78.078,78.514,77.602,77.711,1498947.975
20160111,77.949,78.723,77.701,78.514,1757000.145
20160112,79.119,79.119,77.820,78.941,1389622.311
20160113,79.486,80.518,79.357,79.585,1590315.372
20160114,79.536,81.163,79.219,80.637,1046870.770
20160115,79.635,80.538,79.149,79.893,1340999.863
20160119,80.597,81.758,80.210,81.549,1592877.085
20160120,81.043,81.718,78.881,79.541,1925608.176
20160121,79.526,80.141,78.078,78.604,1350242.211
20160122,79.288,80.756,78.822,80.677,1284250.097
20160125,80.706,80.766,79.873,80.111,784759.861
20160126,80.448,81.609,80.191,81.034,894318.485
20160127,80.597,81.867,80.379,81.331,922555.083
20160128,81.331,83.216,80.924,82.571,712003.452
20160129,83.216,84.485,82.561,84.317,1234730.116
20160201,83.821,85.160,83.603,84.624,984174.332
20160202,84.456,85.601,84.287,85.527,1203350.982
20160203,85.963,87.124,85.814,86.380,1686198.491
20160204,86.231,86.856,85.730,85.904,1264466.635
20160205,85.477,86.151,84.337,85.755,1604820.847
20160208,86.132,87.094,84.545,85.527,1621403.946
20160209,85.328,86.409,85.090,86.132,1324923.582
20160210,86.290,86.290,83.097,85.100,2084873.205
20160211,85.229,85.755,83.345,83.374,1437078.644
20160212,83.057,83.821,82.244,83.027,893071.195
20160216,82.958,83.950,82.541,83.860,1246680.446
20160217,83.860,84.138,82.888,83.533,1241295.520
20160218,83.682,85.011,83.355,84.456,868918.265
20160219,84.257,84.515,83.424,84.009,775506.526
20160222,84.326,85.051,83.999,84.703,734585.653
20160223,84.277,85.348,84.029,85.070,625925.193
20160224,84.991,85.685,84.485,85.348,638714.595
20160225,85.626,86.330,85.279,86.271,524198.607
20160226,85.755,86.023,83.573,83.593,1071924.078
20160229,83.513,84.317,83.325,83.434,933547.368
20160301,83.414,84.118,82.472,83.156,1257695.471
20160302,82.779,83.474,81.034,83.384,914945.782
20160303,83.563,83.687,81.926,83.355,1051344.460
20160304,82.898,84.406,82.591,84.178,841664.955
20160307,83.841,85.477,83.702,85.447,1134621.743
20160308,85.517,86.885,85.031,86.548,1308848.323
20160309,87.649,87.858,86.856,87.213,1065102.447
20160310,86.985,87.600,86.469,87.282,763003.339
20160311,87.758,88.106,87.124,87.500,799580.889
20160314,87.431,87.808,86.915,87.332,508694.212
20160315,87.034,87.996,86.975,87.649,633653.379
20160316,87.243,88.988,86.578,88.770,995225.545
20160317,89.100,89.710,88.300,89.470,1265390.000
20160318,89.660,89.810,88.615,88.920,1242697.000
20160321,88.490,89.310,87.720,88.910,618642.000
20160322,88.800,89.310,88.260,88.375,728243.000
20160323,88.440,89.710,87.870,89.370,857259.000
20160324,88.990,89.620,88.720,89.460,615001.000
