Date,Open,High,Low,Close,Volume
20160104,70.189,70.466,69.427,70.456,3136797.723
20160105,70.436,71.099,69.436,70.951,2510724.241
20160106,70.367,71.425,70.129,71.129,2181392.183
20160107,70.307,71.030,70.149,70.475,2654975.248
20160108,70.446,70.931,70.164,70.278,1958500.042
20160111,70.505,71.297,70.456,71.059,2716908.298
20160112,71.386,71.505,69.862,70.515,2808813.657
20160113,70.614,71.594,70.545,70.951,2415384.159
20160114,70.980,72.079,70.406,71.594,3091984.034
20160115,70.733,71.544,70.278,71.307,4000029.458
20160119,71.712,72.593,71.297,72.385,2895316.365
20160120,71.811,72.227,69.912,70.673,3392150.896
20160121,70.951,71.386,69.615,70.337,4142389.870
20160122,70.832,71.486,70.208,71.425,2935046.054
20160125,71.435,71.554,70.763,71.069,2201846.435
20160126,71.465,72.435,70.990,71.465,2419192.142
20160127,71.247,72.129,70.911,71.653,1950047.165
20160128,71.416,73.187,71.079,72.692,2087235.011
20160129,73.216,74.622,73.140,74.493,3859168.869
20160201,74.394,76.878,74.236,76.195,6002606.037
20160202,75.295,76.131,75.235,75.948,4472858.916
20160203,76.037,77.917,75.958,77.719,4754772.535
20160204,77.452,78.204,77.066,77.744,4370868.800
20160205,77.353,78.402,76.512,78.204,3235033.944
20160208,78.422,79.259,77.778,78.362,4790582.784
20160209,77.927,79.015,77.422,78.095,3504872.514
20160210,77.610,78.560,76.390,78.120,3779682.000
20160211,77.770,78.310,76.770,76.800,3698963.000
20160212,76.960,77.310,75.510,76.220,3976103.000
20160216,76.260,76.490,75.450,76.270,3082931.000
20160217,76.520,76.580,75.270,75.520,4491368.000
20160218,75.090,76.680,74.690,76.190,6234132.000
20160219,75.930,75.930,74.190,74.510,5605092.000
20160222,74.660,75.210,74.260,74.850,3562555.000
20160223,74.650,75.170,74.230,74.810,3923757.000
20160224,74.990,75.440,74.340,74.940,3637867.000
20160225,75.160,76.450,74.840,76.440,3273906.000
20160226,76.070,76.310,73.950,73.990,3972930.000
20160229,73.960,74.945,73.780,74.250,2544866.000
20160301,74.660,74.730,72.700,73.260,5714589.000
20160302,73.330,73.880,72.480,73.650,10469894.000
20160303,73.640,74.420,72.940,74.330,3772134.000
20160304,73.980,75.550,73.665,75.140,3506383.000
20160307,75.010,76.260,74.810,76.260,3249321.000
20160308,76.320,77.310,75.900,77.260,4271022.000
20160309,77.000,77.830,76.700,77.490,4687618.000
20160310,77.510,77.880,76.838,77.270,4333691.000
20160311,77.850,78.150,77.510,77.740,2562624.000
20160314,77.960,78.040,77.210,77.740,2613967.000
20160315,77.500,78.260,77.415,78.040,2927309.000
20160316,78.200,79.080,77.080,78.940,3224105.000
20160317,79.050,80.220,78.680,79.970,3367751.000
20160318,80.260,80.400,79.420,79.560,4211237.000
20160321,79.060,79.970,78.550,79.500,1954500.000
20160322,79.420,79.810,78.840,78.900,2414561.000
20160323,78.860,80.010,78.430,79.810,2348373.000
20160324,79.540,80.110,79.330,79.760,2296993.000
