Date,Open,High,Low,Close,Volume
20160104,25.020,25.160,24.420,24.880,745235.000
20160105,24.910,24.930,22.670,23.290,945579.000
20160106,22.950,23.070,22.330,22.540,1063567.000
20160107,22.110,22.290,21.280,21.410,828358.000
20160108,21.540,21.760,20.550,21.180,846094.000
20160111,21.690,21.810,20.800,20.950,532083.000
20160112,21.380,22.180,21.110,22.135,1228737.000
20160113,22.240,22.680,21.760,22.200,1342126.000
20160114,22.220,22.700,22.130,22.600,693726.000
20160115,22.050,22.650,21.930,22.580,712373.000
20160119,22.860,22.920,22.360,22.610,788010.000
20160120,22.190,22.990,21.870,22.760,741478.000
20160121,22.750,23.105,22.530,22.760,522000.000
20160122,23.130,23.350,22.960,23.330,537315.000
20160125,23.220,23.420,23.010,23.260,610148.000
20160126,23.280,23.850,23.220,23.740,546896.000
20160127,23.680,23.780,18.760,20.105,5084461.000
20160128,20.040,20.690,19.110,19.360,2167580.000
20160129,19.510,20.020,19.400,19.900,1048774.000
20160201,19.770,19.800,19.130,19.130,1142960.000
20160202,18.960,19.019,17.980,18.090,1766259.000
20160203,18.370,19.880,18.330,19.840,1629088.000
20160204,19.920,20.150,18.720,19.030,1268180.000
20160205,18.350,18.360,15.810,17.030,1808614.000
20160208,16.920,18.400,16.665,17.950,1296055.000
20160209,17.650,17.915,17.040,17.140,1373572.000
20160210,17.200,17.330,16.670,17.095,1070242.000
20160211,16.800,17.250,16.510,16.920,949330.000
20160212,17.130,17.450,16.700,16.720,1194031.000
20160216,17.120,17.940,16.960,17.920,749338.000
20160217,18.000,18.560,18.000,18.145,844527.000
20160218,18.240,18.700,18.120,18.430,610153.000
20160219,18.390,18.880,17.825,17.930,622694.000
20160222,18.100,18.730,17.760,18.080,905062.000
20160223,18.070,18.140,17.720,17.830,396730.000
20160224,17.630,18.190,17.380,18.110,583526.000
20160225,18.130,18.160,17.580,18.090,826026.000
20160226,18.160,18.540,18.070,18.370,582973.000
20160229,18.330,18.590,18.160,18.250,510553.000
20160301,18.530,18.930,18.180,18.910,440870.000
20160302,19.040,19.120,18.360,18.660,464411.000
20160303,18.710,19.670,18.570,19.640,445433.000
20160304,19.760,19.800,19.160,19.620,837884.000
20160307,19.530,21.300,19.440,21.240,1031140.000
20160308,21.190,21.340,20.845,21.130,862941.000
20160309,21.330,21.600,21.100,21.160,723076.000
20160310,21.220,21.310,20.630,20.970,375784.000
20160311,21.180,21.410,21.010,21.380,243608.000
20160314,21.210,21.560,20.020,20.670,1510249.000
20160315,20.600,20.640,18.360,18.570,1402430.000
20160316,18.530,18.800,18.410,18.660,631392.000
20160317,18.710,19.510,18.590,19.370,665802.000
20160318,19.340,19.640,19.270,19.420,900106.000
20160321,19.380,19.530,19.160,19.430,374642.000
20160322,19.320,19.410,18.770,18.780,342102.000
20160323,18.720,18.775,18.150,18.150,341358.000
20160324,18.070,18.300,17.810,18.240,248509.000
