Date,Open,High,Low,Close,Volume
20160104,31.470,32.559,31.193,31.985,6448493.100
20160105,31.856,32.578,31.223,32.489,5810100.007
20160106,31.342,31.342,29.808,29.907,7056472.245
20160107,28.898,29.808,27.602,27.760,10875247.790
20160108,28.047,28.621,27.147,28.186,7846581.800
20160111,28.492,28.562,26.227,26.672,10322909.550
20160112,27.335,27.558,24.292,25.445,13459549.270
20160113,26.079,26.405,23.956,24.545,11037058.110
20160114,24.773,25.940,23.922,25.673,8269087.950
20160115,24.110,24.387,23.111,24.219,9480136.840
20160119,24.614,24.614,22.507,23.219,8563354.680
20160120,22.319,22.388,19.480,21.350,18080184.270
20160121,21.102,24.654,20.954,23.922,10546654.390
20160122,26.158,27.206,24.694,25.356,13911242.440
20160125,24.486,25.742,22.517,22.527,9898962.980
20160126,23.783,24.387,22.458,24.278,7268563.690
20160127,23.897,25.574,23.269,24.209,10567951.870
20160128,25.525,26.702,24.941,26.494,10829993.250
20160129,26.771,28.354,26.514,27.602,10510463.792
20160201,26.741,26.741,25.129,25.782,7894590.040
20160202,24.733,25.109,24.199,24.426,7564463.320
20160203,25.079,26.316,23.863,26.296,11968688.200
20160204,26.217,28.562,26.138,26.286,11482336.465
20160205,25.445,25.663,24.080,24.575,8932530.808
20160208,23.803,23.922,22.003,23.417,9092411.800
20160209,22.487,23.150,21.884,22.428,8548082.580
20160210,21.963,23.169,21.092,21.419,9697141.760
20160211,20.796,21.369,19.410,21.023,14801786.426
20160212,20.439,21.587,20.350,21.458,19681782.800
20160216,22.082,22.290,20.034,21.013,13106824.930
20160217,20.192,20.617,18.184,20.103,29889248.500
20160218,19.005,20.192,18.787,19.509,73439263.000
20160219,19.044,19.104,17.877,18.451,32416443.100
20160222,18.995,20.281,18.857,20.064,23352042.000
20160223,19.866,20.172,18.688,18.708,17958339.830
20160224,18.263,19.292,18.026,19.203,17145306.240
20160225,19.242,19.737,18.649,19.341,15957329.130
20160226,20.152,20.360,19.628,20.064,17839119.470
20160229,20.202,20.222,19.277,19.470,14005072.700
20160301,19.777,19.787,18.362,19.005,20932908.170
20160302,18.857,21.310,18.649,21.290,19727833.100
20160303,21.162,22.270,20.964,21.755,16692526.420
20160304,22.270,23.783,21.221,23.061,20807197.700
20160307,23.051,24.456,23.041,23.927,21417564.620
20160308,23.655,23.655,21.211,21.241,15456366.830
20160309,21.834,23.190,21.270,22.675,13730384.030
20160310,22.438,22.527,20.924,22.240,17389468.120
20160311,23.330,25.040,23.310,24.770,18814118.000
20160314,24.020,24.960,23.800,24.780,11908833.000
20160315,24.300,24.600,23.130,24.090,11834732.000
20160316,24.360,26.240,24.211,26.210,15332066.000
20160317,27.030,28.080,26.328,27.390,16705802.000
20160318,27.930,28.560,26.450,27.550,17323950.000
20160321,27.290,28.850,27.070,28.010,12505220.000
20160322,27.570,28.630,27.500,28.010,9886485.000
20160323,27.590,27.870,25.450,25.760,14409183.000
20160324,24.920,26.630,24.600,26.460,11117323.000
