Date,Open,High,Low,Close,Volume
20160104,13.130,13.290,12.590,12.880,2289192.000
20160105,12.890,13.070,12.360,13.010,2005195.000
20160106,12.840,12.910,12.320,12.540,2243529.000
20160107,12.360,13.100,12.250,12.530,1726087.000
20160108,12.560,13.410,12.220,13.070,4595822.000
20160111,13.160,13.160,12.160,12.460,5970101.000
20160112,12.430,12.800,11.610,12.250,6158958.000
20160113,12.290,12.950,11.640,11.770,6641102.000
20160114,11.870,12.895,11.600,12.610,8951610.000
20160115,12.210,12.300,11.090,11.315,4129670.000
20160119,11.420,11.420,10.690,10.960,2479749.000
20160120,10.690,10.860,9.910,10.540,4610044.000
20160121,10.550,11.250,10.540,10.570,4946241.000
20160122,10.650,11.200,10.380,11.180,4947788.000
20160125,10.860,11.200,9.860,9.880,3295927.000
20160126,10.120,10.930,9.670,10.790,2711713.000
20160127,10.570,11.390,10.380,11.080,3069387.000
20160128,11.300,11.580,11.060,11.360,1799456.000
20160129,11.320,12.010,11.280,11.840,3195645.000
20160201,11.790,12.025,11.170,11.920,2167867.000
20160202,11.710,11.780,10.870,11.050,2570075.000
20160203,11.270,12.020,11.180,12.000,2885865.000
20160204,12.010,12.770,11.990,12.170,2557134.000
20160205,12.020,12.600,11.710,12.110,3523279.000
20160208,11.930,11.980,10.550,10.890,2266783.000
20160209,10.530,11.120,10.290,10.960,2005836.000
20160210,10.640,10.760,9.890,10.320,2404704.000
20160211,9.890,9.980,8.740,8.855,3216948.000
20160212,9.090,9.150,8.180,8.450,3351570.000
20160216,8.440,8.505,7.790,8.050,4607618.000
20160217,8.050,8.910,8.000,8.470,4731939.000
20160218,8.280,8.350,7.840,8.070,3287001.000
20160219,8.010,8.060,7.500,7.810,4064452.000
20160222,7.860,7.935,7.330,7.430,4484973.000
20160223,7.350,7.900,7.200,7.820,5391900.000
20160224,7.660,8.440,7.410,8.320,6398096.000
20160225,8.810,9.690,8.510,9.480,8581598.000
20160226,9.580,10.370,9.510,9.770,6210321.000
20160229,10.220,10.590,9.915,10.080,4837537.000
20160301,10.190,10.390,9.870,10.360,3085536.000
20160302,10.620,11.890,10.500,11.840,6123829.000
20160303,11.670,12.140,11.450,11.600,5114318.000
20160304,11.600,11.850,10.980,11.140,5278527.000
20160307,11.220,12.020,11.150,11.650,4815760.000
20160308,11.580,11.620,10.860,11.050,3277687.000
20160309,11.370,11.750,10.950,11.700,3771012.000
20160310,11.690,12.250,11.440,12.190,3094798.000
20160311,12.390,12.635,12.140,12.270,4138021.000
20160314,12.140,12.690,11.950,12.640,3489011.000
20160315,12.580,12.670,12.090,12.500,3286713.000
20160316,12.370,13.240,12.330,12.950,3174802.000
20160317,13.010,13.805,12.760,13.560,5032418.000
20160318,13.820,14.030,13.220,13.400,4259629.000
20160321,13.270,13.780,13.160,13.360,2096885.000
20160322,13.480,13.740,13.160,13.640,1673260.000
20160323,13.680,13.730,13.280,13.290,2367534.000
20160324,13.220,13.720,12.750,13.710,2087611.000
