Date,Open,High,Low,Close,Volume
20160104,67.120,67.570,65.100,66.090,3814332.000
20160105,66.100,66.820,64.840,64.940,3049309.000
20160106,63.570,64.290,62.560,63.680,3532509.000
20160107,62.870,64.710,61.550,62.460,3999737.000
20160108,63.210,65.008,62.940,63.130,3523617.000
20160111,63.460,64.810,63.250,64.200,3588621.000
20160112,64.660,66.090,64.475,65.620,3217868.000
20160113,66.260,66.590,63.180,63.370,3646790.000
20160114,63.300,64.960,61.500,64.480,4011607.000
20160115,64.420,66.710,63.500,66.050,8305227.000
20160119,67.380,68.250,66.420,67.370,4645179.000
20160120,66.200,67.690,65.040,66.850,4344082.000
20160121,67.190,67.560,65.790,67.040,3597178.000
20160122,68.000,69.400,67.300,69.360,3684781.000
20160125,69.290,70.492,68.760,69.920,5214970.000
20160126,70.240,71.500,69.600,70.840,4854411.000
20160127,70.890,71.350,69.250,69.490,3974177.000
20160128,70.700,71.030,68.720,69.800,5476181.000
20160129,67.440,67.483,62.800,64.550,16873493.000
20160201,64.170,65.445,63.310,64.190,6490437.000
20160202,63.750,63.990,60.130,60.660,7405748.000
20160203,61.770,61.920,58.730,59.610,8621842.000
20160204,59.440,59.860,57.510,58.720,8451521.000
20160205,58.370,58.580,54.850,55.500,7430943.000
20160208,54.390,56.580,53.010,56.320,7908678.000
20160209,56.290,59.190,55.820,58.270,8698710.000
20160210,59.340,60.070,58.660,58.980,4753770.000
20160211,58.030,59.110,57.760,58.190,6643304.000
20160212,58.050,59.373,57.320,59.240,4957360.000
20160216,59.830,60.000,58.880,59.350,3543190.000
20160217,60.250,60.550,58.800,59.830,4675819.000
20160218,59.590,59.980,58.230,58.350,4735180.000
20160219,58.340,59.900,58.100,59.570,5531993.000
20160222,60.070,63.310,59.930,63.270,6493972.000
20160223,63.000,63.325,61.460,61.520,4620094.000
20160224,60.870,63.480,60.720,63.200,4151425.000
20160225,63.550,64.720,63.340,64.685,4090369.000
20160226,64.810,65.110,63.770,64.450,3132420.000
20160229,63.970,65.250,63.970,64.250,2992399.000
20160301,64.450,65.690,64.260,65.480,3240754.000
20160302,65.180,66.250,64.630,66.110,3217070.000
20160303,65.800,65.990,64.180,64.800,3745239.000
20160304,64.710,64.860,63.080,64.430,3608412.000
20160307,63.890,64.440,62.910,63.590,2673939.000
20160308,63.090,64.180,62.600,62.960,2922275.000
20160309,63.190,64.040,62.740,63.930,2590164.000
20160310,64.150,64.460,62.580,63.480,2991708.000
20160311,63.830,64.650,63.530,64.450,2475422.000
20160314,63.810,65.310,63.810,64.790,1643279.000
20160315,64.190,65.900,64.060,65.730,2354138.000
20160316,65.630,66.170,64.570,66.000,2099829.000
20160317,65.060,65.750,63.240,64.670,4618136.000
20160318,64.900,65.320,63.820,64.310,4013406.000
20160321,64.050,64.400,63.510,63.930,2148543.000
20160322,63.700,64.280,63.260,63.870,2299572.000
20160323,63.900,65.500,63.580,65.050,3188427.000
20160324,64.600,65.740,64.070,64.240,2925129.000
