Date,Open,High,Low,Close,Volume
20160104,63.257,63.822,62.881,63.812,1485135.170
20160105,63.842,64.560,62.980,64.317,1395186.187
20160106,63.852,64.862,63.604,64.634,1546153.200
20160107,63.941,65.347,63.901,65.110,3117482.022
20160108,65.209,66.180,65.080,65.803,5187155.919
20160111,65.991,66.824,65.555,65.684,4063616.575
20160112,65.734,66.061,64.505,64.882,3025677.951
20160113,65.070,66.368,64.902,66.071,2842481.706
20160114,65.942,67.359,65.466,66.992,3511009.169
20160115,65.892,67.240,65.754,67.042,3504975.794
20160119,67.368,68.617,67.022,68.429,2974769.760
20160120,68.022,68.419,67.091,67.616,3231666.180
20160121,67.794,68.339,65.585,67.042,4259649.926
20160122,67.587,67.684,66.041,67.329,2929160.248
20160125,67.537,67.616,66.853,67.170,1977210.966
20160126,67.289,68.498,67.042,67.339,1927347.929
20160127,67.240,68.013,66.853,67.705,1461719.913
20160128,67.606,68.983,67.022,68.508,1229272.312
20160129,69.053,69.548,68.548,68.746,2623067.080
20160201,68.765,70.152,68.439,69.746,2243295.771
20160202,69.508,70.559,69.231,70.469,1589758.792
20160203,70.598,71.648,70.559,70.995,1851801.120
20160204,70.767,71.222,70.073,70.856,1613745.780
20160205,70.549,71.569,69.489,71.361,2280535.701
20160208,71.470,72.471,71.302,72.411,2618511.205
20160209,72.441,73.214,72.050,72.946,2360120.444
20160210,72.808,73.018,71.272,72.699,1877530.469
20160211,72.709,72.996,71.411,71.480,2342957.812
20160212,71.810,72.000,69.750,70.710,2810002.000
20160216,70.910,71.080,69.924,70.950,2289807.000
20160217,70.410,70.720,69.340,69.960,3031423.000
20160218,70.030,71.980,69.840,71.320,2595492.000
20160219,71.000,71.610,69.680,70.870,2683841.000
20160222,71.000,71.680,70.310,71.580,1619455.000
20160223,71.580,72.310,71.150,72.060,1511944.000
20160224,71.770,72.400,71.190,71.580,1567692.000
20160225,71.670,72.490,71.290,72.440,1279704.000
20160226,71.850,72.340,70.170,70.340,1942504.000
20160229,70.190,70.730,70.010,70.011,1941920.000
20160301,70.360,70.830,69.395,69.770,2232680.000
20160302,69.780,70.550,68.410,70.300,2324917.000
20160303,70.510,70.640,69.300,70.630,1765314.000
20160304,70.250,71.480,69.960,71.380,1460508.000
20160307,71.310,71.780,70.980,71.680,1121365.000
20160308,71.640,72.950,71.350,72.900,1614712.000
20160309,72.610,73.700,72.460,72.750,1790298.000
20160310,73.010,73.450,72.420,73.040,1214495.000
20160311,73.240,73.745,72.990,73.250,1164446.000
20160314,73.140,73.700,72.810,73.490,1077887.000
20160315,73.650,74.110,73.480,73.890,1554593.000
20160316,74.010,74.540,72.560,74.450,1895010.000
20160317,74.480,75.601,74.170,75.480,2056901.000
20160318,75.720,76.140,74.810,75.260,3070151.000
20160321,74.860,75.370,74.120,74.760,1329875.000
20160322,75.040,75.410,74.460,74.550,1422452.000
20160323,74.730,75.880,74.210,75.340,1519159.000
20160324,75.310,75.920,75.060,75.560,1030365.000
