Date,Open,High,Low,Close,Volume
20160104,109.574,109.893,107.992,109.165,972039.762
20160105,109.823,110.421,108.788,109.793,996204.758
20160106,108.079,109.335,107.899,108.886,520109.640
20160107,107.002,108.099,104.799,104.959,1008473.545
20160108,105.417,105.597,101.719,101.868,1357207.919
20160111,102.696,102.796,100.433,101.480,1318773.986
20160112,102.147,102.825,100.642,102.168,1004854.797
20160113,102.516,103.404,100.293,100.742,967365.002
20160114,100.682,103.832,100.034,103.154,1149464.205
20160115,100.363,102.975,100.194,102.506,839133.759
20160119,103.613,104.018,102.586,103.533,983056.615
20160120,101.878,102.506,98.094,101.390,820147.873
20160121,101.679,102.995,100.562,102.267,808663.562
20160122,103.543,104.540,103.384,104.500,568616.321
20160125,104.301,104.480,103.394,103.812,858381.155
20160126,103.982,105.048,103.503,104.520,641635.090
20160127,104.381,104.919,102.147,102.686,780444.055
20160128,103.234,103.623,101.330,101.420,877911.506
20160129,102.437,105.527,101.968,105.447,1002436.692
20160201,104.719,107.052,104.410,106.514,885826.621
20160202,105.676,106.215,102.965,103.443,746286.435
20160203,104.161,104.565,100.493,102.855,700261.568
20160204,102.796,103.862,102.227,103.344,537959.824
20160205,102.945,103.493,99.207,99.606,992751.024
20160208,98.808,98.868,92.518,93.605,1617189.167
20160209,92.358,93.924,91.970,92.977,1594863.826
20160210,93.644,95.209,92.717,94.163,1476042.694
20160211,93.664,96.326,91.431,93.146,1567167.657
20160212,95.000,98.828,95.000,97.133,1296935.319
20160216,98.659,99.626,97.293,98.798,1045248.259
20160217,99.775,101.639,99.177,101.470,957759.977
20160218,101.898,102.227,100.094,100.562,706660.702
20160219,100.124,100.822,99.476,100.582,836076.057
20160222,101.510,103.344,101.510,103.045,713905.589
20160223,102.935,103.543,101.699,102.845,548312.478
20160224,102.128,104.221,100.901,104.111,721447.419
20160225,103.473,106.255,103.473,106.215,838529.726
20160226,106.394,106.863,105.527,106.035,587417.586
20160229,105.696,106.225,104.430,104.540,512511.680
20160301,105.590,107.100,104.990,106.460,563329.000
20160302,105.990,107.040,105.390,107.020,557410.000
20160303,106.700,107.170,105.907,107.090,448977.000
20160304,107.000,108.670,105.970,107.630,704298.000
20160307,106.820,107.450,105.130,106.070,500385.000
20160308,105.120,106.140,104.790,106.000,604974.000
20160309,106.600,107.000,106.040,106.730,516127.000
20160310,107.160,107.770,105.520,106.790,543651.000
20160311,107.600,108.550,106.810,108.450,1240501.000
20160314,108.060,110.000,107.771,109.700,631728.000
20160315,109.000,110.240,108.640,109.500,611338.000
20160316,108.820,110.400,108.650,110.140,541311.000
20160317,109.920,111.560,109.605,111.290,443061.000
20160318,111.860,113.040,111.150,112.510,753386.000
20160321,111.940,112.590,111.540,112.210,530126.000
20160322,112.140,112.990,111.070,112.520,327352.000
20160323,112.090,112.670,111.270,111.550,989792.000
20160324,110.730,111.250,109.090,111.230,874745.000
