Date,Open,High,Low,Close,Volume
20160104,58.570,59.070,58.240,58.970,2744549.000
20160105,59.120,59.210,58.010,58.970,2329063.000
20160106,58.660,58.880,58.000,58.580,3121489.000
20160107,58.030,58.630,57.890,58.270,2588294.000
20160108,58.270,58.700,58.180,58.270,2153949.000
20160111,58.460,59.360,58.280,59.200,3811839.000
20160112,59.280,59.570,58.340,59.410,2006464.000
20160113,59.900,60.200,59.240,59.390,1575433.000
20160114,59.450,60.070,58.890,59.540,1931994.000
20160115,58.700,59.480,58.580,59.110,2581506.000
20160119,59.450,60.310,59.070,60.130,3102572.000
20160120,59.770,60.180,58.240,59.010,2853523.000
20160121,59.030,59.494,58.470,58.700,1868478.000
20160122,58.830,59.880,58.619,59.720,1779386.000
20160125,59.850,60.020,59.200,59.910,1819203.000
20160126,60.300,61.310,60.220,60.690,2411152.000
20160127,60.900,61.170,60.050,60.500,1277206.000
20160128,60.330,62.118,59.970,61.550,1758190.000
20160129,62.070,62.310,61.480,61.790,3732414.000
20160201,61.810,62.470,61.480,62.220,3161496.000
20160202,62.010,62.810,61.680,62.710,3203843.000
20160203,62.910,64.480,62.735,64.050,3810251.000
20160204,63.890,64.310,62.880,63.060,2351364.000
20160205,63.490,63.680,62.170,63.290,2211114.000
20160208,63.340,64.300,62.650,62.900,1919394.000
20160209,63.000,63.750,62.720,63.400,2511266.000
20160210,63.490,63.880,62.290,63.520,1386129.000
20160211,63.190,63.630,62.320,62.330,2039501.000
20160212,62.180,62.650,61.510,61.750,3144468.000
20160216,61.850,62.480,61.500,62.370,1920437.000
20160217,62.410,62.710,61.770,62.525,1750269.000
20160218,62.480,64.010,62.320,63.700,1571992.000
20160219,63.630,63.750,62.830,62.910,1587601.000
20160222,63.280,64.250,62.960,64.240,1920814.000
20160223,63.960,65.290,63.870,65.000,2953403.000
20160224,66.750,68.370,66.544,67.855,5680763.000
20160225,67.830,69.240,67.700,68.790,3805339.000
20160226,68.630,68.780,67.060,67.270,2525342.000
20160229,67.200,68.800,67.010,68.160,2251065.000
20160301,68.750,68.880,66.510,66.880,3134457.000
20160302,66.760,67.040,65.600,66.970,2461280.000
20160303,67.100,67.460,66.380,67.430,2185518.000
20160304,66.810,67.930,66.550,67.730,1900006.000
20160307,67.840,68.730,67.395,68.550,1899771.000
20160308,68.720,69.360,68.270,69.090,2547427.000
20160309,69.070,70.000,68.820,69.750,2302147.000
20160310,69.560,69.900,69.100,69.760,1800073.000
20160311,70.000,70.780,69.950,70.370,2844781.000
20160314,70.000,70.500,69.810,70.120,1428647.000
20160315,70.180,70.700,69.830,70.020,1904756.000
20160316,70.030,70.950,69.170,70.710,1620114.000
20160317,70.690,71.530,70.440,71.240,1315573.000
20160318,71.520,71.640,70.590,71.380,2897537.000
20160321,71.150,71.790,70.540,71.370,1037742.000
20160322,71.390,71.850,70.850,70.970,1874019.000
20160323,71.010,71.840,70.700,71.600,1667497.000
20160324,71.750,71.930,70.820,71.340,1904377.000
