Date,Open,High,Low,Close,Volume
20160104,86.647,86.956,85.829,86.936,1503932.613
20160105,86.896,87.883,86.617,87.743,1294186.799
20160106,86.617,86.936,84.459,84.823,2522081.273
20160107,83.248,84.324,82.729,83.068,1897973.966
20160108,83.427,84.125,82.400,82.530,1514570.088
20160111,83.098,83.298,81.195,82.590,1733740.333
20160112,83.248,83.995,82.769,83.955,1325018.253
20160113,84.065,84.543,82.535,82.819,1518171.164
20160114,83.048,84.683,82.600,83.975,1870910.672
20160115,82.221,82.894,81.166,82.111,1880438.276
20160119,83.138,83.856,82.610,83.587,1833335.290
20160120,82.321,83.278,80.746,82.630,2235979.886
20160121,83.138,83.836,81.653,83.019,1712917.629
20160122,84.234,85.620,84.005,85.401,1269558.540
20160125,84.205,84.872,83.098,83.188,1902028.415
20160126,84.115,84.538,83.118,83.337,1981179.194
20160127,83.278,83.547,81.663,82.141,2352605.960
20160128,82.630,83.945,82.600,83.407,1633337.150
20160129,83.836,85.112,83.706,84.972,1773881.879
20160201,84.763,85.650,84.035,85.181,1949210.928
20160202,84.434,85.261,84.225,84.743,1416306.854
20160203,85.082,86.427,83.806,86.178,2201934.385
20160204,85.500,87.364,85.181,86.756,3047141.352
20160205,87.105,90.703,87.095,90.693,4288420.699
20160208,89.507,90.813,87.788,89.338,3709473.620
20160209,87.713,90.474,87.703,90.195,2841713.876
20160210,90.115,90.587,88.032,88.172,2596405.632
20160211,86.497,87.155,85.720,86.437,1719395.613
20160212,86.946,88.082,86.278,88.012,1446487.312
20160216,89.158,90.016,87.843,88.321,1767728.089
20160217,88.690,90.604,88.441,89.746,1822985.462
20160218,89.687,91.102,89.129,90.943,1686525.655
20160219,90.763,91.341,89.856,91.321,1209359.226
20160222,91.431,92.198,91.052,91.401,940156.806
20160223,91.182,91.700,90.614,91.401,945070.849
20160224,90.265,91.909,89.951,91.730,841336.530
20160225,92.000,92.700,91.140,92.670,728877.000
20160226,92.920,93.425,91.700,91.820,935152.000
20160229,91.620,92.160,91.230,91.310,862732.000
20160301,92.230,92.810,91.780,92.410,971436.000
20160302,92.130,92.760,91.350,91.860,1416163.000
20160303,91.860,92.420,91.430,92.220,867848.000
20160304,92.610,93.070,91.790,92.558,839118.000
20160307,91.910,92.400,91.440,91.610,907860.000
20160308,91.530,91.960,90.729,91.730,1628602.000
20160309,92.240,93.100,91.760,92.180,672673.000
20160310,92.200,92.700,90.950,91.790,856375.000
20160311,92.860,93.270,92.250,93.110,920495.000
20160314,93.090,94.560,92.695,93.850,1168044.000
20160315,93.070,94.060,92.980,93.810,1157797.000
20160316,91.800,93.320,91.550,93.140,1565820.000
20160317,93.110,94.140,92.850,93.930,860568.000
20160318,93.290,94.500,93.210,94.180,1594001.000
20160321,94.240,94.640,93.360,94.130,589248.000
20160322,94.060,94.470,92.600,93.180,1119167.000
20160323,93.490,94.090,93.250,93.370,677025.000
20160324,93.190,93.480,92.660,93.280,527501.000
