Date,Open,High,Low,Close,Volume
20160104,66.377,66.377,64.688,66.218,1259208.617
20160105,66.685,67.182,65.662,66.685,1217093.238
20160106,65.493,66.278,64.748,65.384,1384058.621
20160107,64.102,65.319,63.546,64.341,1604792.949
20160108,64.539,65.354,63.049,63.238,1149059.288
20160111,63.526,63.755,61.326,61.827,1419507.310
20160112,62.682,63.059,61.033,62.612,952717.783
20160113,63.158,63.576,61.907,62.294,1137844.008
20160114,62.473,63.814,61.738,63.526,1064010.545
20160115,61.758,62.473,60.307,61.301,1405649.854
20160119,62.175,62.354,59.910,60.794,1271402.781
20160120,59.652,61.023,58.440,60.377,1389079.641
20160121,60.298,62.076,59.821,60.814,1378519.708
20160122,62.274,63.556,61.589,62.145,1036011.879
20160125,61.718,62.225,60.228,60.357,954717.713
20160126,60.506,62.314,60.228,62.274,1437102.369
20160127,61.807,62.811,61.142,61.579,1287731.867
20160128,62.662,63.357,62.001,62.592,1625226.569
20160129,57.476,61.023,55.658,60.804,5616107.554
20160201,58.440,60.972,58.112,60.059,2451414.282
20160202,58.807,59.006,57.755,58.341,1777713.391
20160203,58.966,61.132,57.685,60.884,1705850.923
20160204,61.023,62.026,60.625,60.953,2523716.655
20160205,60.417,61.698,59.692,59.999,1718721.045
20160208,59.423,59.870,57.725,58.390,1890248.801
20160209,57.357,58.698,56.712,58.033,2210136.204
20160210,58.231,59.384,57.546,58.321,1139035.802
20160211,56.712,58.450,56.622,58.053,1159600.989
20160212,58.480,60.417,57.615,60.248,1609246.669
20160216,60.973,61.986,60.198,61.937,1274580.845
20160217,62.652,63.973,62.592,63.442,1051052.434
20160218,63.675,63.735,62.111,63.049,848110.103
20160219,62.582,62.612,61.778,61.996,1003081.475
20160222,63.129,64.132,63.029,64.102,776345.293
20160223,63.615,64.072,62.284,62.503,769834.029
20160224,61.698,63.516,61.122,63.437,810168.642
20160225,63.437,64.132,62.592,64.112,1009276.663
20160226,64.549,65.334,64.192,64.718,1042088.190
20160229,64.718,65.334,63.715,63.715,1147953.104
20160301,64.728,66.297,64.271,66.029,1277038.700
20160302,65.841,66.983,65.403,66.874,1050495.738
20160303,66.993,68.145,66.725,68.036,1086190.550
20160304,68.225,69.754,67.718,69.208,1464715.152
20160307,68.960,70.172,68.781,69.933,1167497.629
20160308,69.099,69.526,68.245,68.423,1097879.059
20160309,68.821,69.923,68.503,69.884,1308656.300
20160310,69.695,70.013,68.006,68.920,1381602.346
20160311,69.710,71.535,69.430,71.400,1608197.000
20160314,70.550,70.830,69.610,70.110,1350113.000
20160315,68.960,69.920,68.280,69.760,813992.000
20160316,69.590,71.490,69.420,71.300,1074865.000
20160317,72.000,73.920,71.730,73.710,1560851.000
20160318,74.220,75.000,73.140,73.530,1614967.000
20160321,73.750,73.830,72.560,73.610,911596.000
20160322,73.100,73.230,72.370,72.920,1043618.000
20160323,72.680,73.190,72.280,72.630,851743.000
20160324,69.860,72.860,69.860,72.830,860968.000
