Date,Open,High,Low,Close,Volume
20160104,70.612,70.811,68.647,69.495,4619149.920
20160105,69.874,70.352,68.387,69.953,3346629.339
20160106,68.318,68.318,66.522,67.151,6049169.120
20160107,65.745,68.826,65.016,65.296,5010753.521
20160108,65.685,66.263,64.597,65.326,4659433.840
20160111,65.705,65.884,62.742,63.501,5036054.770
20160112,64.568,65.007,61.187,62.742,6510875.180
20160113,63.420,64.655,62.590,64.170,7263650.000
20160114,64.670,66.610,63.610,65.240,6577937.000
20160115,62.010,64.020,61.000,62.970,5395666.000
20160119,63.150,63.710,59.480,61.000,5148525.000
20160120,59.770,60.890,57.150,60.250,10194712.000
20160121,60.240,64.250,59.410,63.740,6948825.000
20160122,66.440,67.490,64.640,66.010,6337866.000
20160125,64.620,66.150,61.510,61.600,4233388.000
20160126,63.000,66.130,62.290,66.030,6370262.000
20160127,65.540,67.930,64.490,66.070,6707992.000
20160128,69.230,69.870,66.640,68.630,6321546.000
20160129,69.170,71.180,69.020,71.000,6138493.000
20160201,69.300,70.000,67.680,69.100,4244276.000
20160202,67.010,69.370,66.000,67.160,5082301.000
20160203,68.610,70.220,66.321,70.190,5064239.000
20160204,70.450,71.400,68.130,68.440,4934791.000
20160205,67.490,67.680,65.620,67.050,5063293.000
20160208,65.440,68.800,64.750,68.430,5800256.000
20160209,67.210,67.900,64.340,65.620,6033244.000
20160210,65.450,66.780,63.910,65.770,4123173.000
20160211,64.000,65.990,63.060,65.540,4901556.000
20160212,66.900,68.780,65.980,67.710,5092747.000
20160216,68.680,69.090,66.250,67.890,3389129.000
20160217,69.000,70.940,67.600,70.820,5841812.000
20160218,70.990,71.230,69.340,69.450,3408745.000
20160219,68.590,69.730,68.060,69.710,3107951.000
20160222,71.540,72.770,70.620,72.190,4374757.000
20160223,71.690,71.750,67.650,68.010,4138088.000
20160224,66.520,69.960,66.520,69.510,3945159.000
20160225,69.210,70.300,67.170,68.500,5180801.000
20160226,67.910,69.700,65.740,67.510,9864827.000
20160229,67.420,67.560,64.720,64.730,6525730.000
20160301,65.100,65.470,62.520,65.010,7234945.000
20160302,64.950,67.120,64.140,66.990,5009166.000
20160303,66.950,69.670,66.180,69.240,6283899.000
20160304,69.910,71.520,68.740,71.400,7575632.000
20160307,71.120,75.530,70.220,75.470,7982468.000
20160308,74.650,74.840,70.470,70.600,5962644.000
20160309,71.660,72.500,69.810,72.260,4377478.000
20160310,71.160,72.860,70.250,72.270,4009311.000
20160311,72.890,75.890,72.890,75.170,4010758.000
20160314,73.470,75.450,73.270,74.790,2943847.000
20160315,73.760,74.370,71.900,73.610,3662754.000
20160316,74.270,75.270,72.685,75.070,4701681.000
20160317,75.650,77.450,75.180,76.490,4237376.000
20160318,77.480,77.700,74.630,75.600,6099776.000
20160321,75.020,76.330,74.501,75.960,2658492.000
20160322,75.390,77.250,75.250,75.900,2477389.000
20160323,75.450,76.550,73.820,74.320,3524509.000
20160324,72.420,74.910,72.300,74.310,3180421.000
