Date,Open,High,Low,Close,Volume
20160104,297.887,299.259,291.593,294.407,804525.619
20160105,295.899,302.809,293.383,301.696,1377977.733
20160106,297.301,308.527,297.191,307.423,1082481.273
20160107,303.008,304.967,300.542,301.576,1000947.514
20160108,302.879,310.535,301.785,308.040,1399437.700
20160111,309.979,316.561,308.487,311.112,1563588.635
20160112,312.982,314.215,308.079,313.141,806946.328
20160113,312.465,314.563,302.909,303.844,1185156.303
20160114,304.341,313.717,295.551,309.233,2121950.339
20160115,303.287,308.219,297.947,301.417,1239700.239
20160119,306.757,307.194,288.083,293.313,1694073.674
20160120,289.197,295.570,280.258,292.538,1274488.918
20160121,292.627,293.721,285.687,288.133,832469.603
20160122,292.041,296.863,289.714,295.362,1184540.737
20160125,294.586,304.619,293.651,298.206,1173139.267
20160126,302.471,304.271,298.181,301.770,827658.371
20160127,302.521,304.341,295.342,297.848,1062489.129
20160128,299.548,303.277,293.840,298.504,862937.705
20160129,299.627,309.074,298.305,308.815,941976.198
20160201,308.298,314.056,307.135,309.541,752144.584
20160202,306.190,312.126,305.380,310.834,898585.102
20160203,311.729,312.982,302.621,307.791,864226.860
20160204,312.793,312.793,303.664,306.707,975817.456
20160205,305.176,305.753,286.482,286.631,1332280.448
20160208,284.265,285.239,260.241,267.321,1772606.254
20160209,267.172,268.624,254.007,263.508,2040726.349
20160210,266.535,276.708,264.696,271.855,1326988.883
20160211,263.901,277.761,263.851,273.506,933475.988
20160212,278.179,283.559,274.948,283.270,1036768.691
20160216,284.056,290.032,282.813,289.565,1229310.029
20160217,289.654,293.850,284.334,288.998,1018851.458
20160218,286.393,292.011,285.190,288.630,958224.012
20160219,286.273,302.412,283.857,297.678,2076094.846
20160222,300.463,303.108,297.171,298.136,923246.380
20160223,297.161,298.116,288.978,290.420,927656.404
20160224,288.988,294.974,286.532,293.343,928885.109
20160225,294.556,305.892,294.526,305.763,986617.517
20160226,304.758,313.280,301.447,305.027,864427.193
20160229,303.585,307.125,301.238,301.934,864456.346
20160301,304.510,306.836,301.308,306.658,1275285.375
20160302,305.971,306.528,297.609,302.292,974223.524
20160303,301.069,309.084,299.995,308.825,1057370.254
20160304,308.835,310.227,301.736,307.980,991737.424
20160307,305.890,308.020,294.050,297.720,1028881.000
20160308,295.840,303.720,295.000,298.740,757744.000
20160309,299.920,303.700,299.290,301.260,654360.000
20160310,303.460,307.595,300.000,306.710,782538.000
20160311,310.000,319.360,307.500,318.000,927763.000
20160314,313.770,315.670,309.300,314.030,806901.000
20160315,311.260,315.710,309.770,312.470,786703.000
20160316,310.280,318.320,310.170,316.760,653034.000
20160317,316.590,321.450,314.300,316.990,877830.000
20160318,317.500,318.290,314.200,315.870,885452.000
20160321,314.760,319.010,312.890,317.390,586671.000
20160322,315.650,320.445,315.070,319.040,451600.000
20160323,319.310,320.920,317.720,319.360,412898.000
20160324,317.960,323.041,317.460,320.750,508742.000
