Date,Open,High,Low,Close,Volume
20160104,71.615,71.703,70.214,70.852,1547688.683
20160105,71.047,72.475,70.915,72.262,1385672.778
20160106,71.588,72.271,71.180,71.588,1431720.083
20160107,70.524,71.757,70.524,71.349,1671538.501
20160108,71.854,71.916,69.753,69.868,1396749.500
20160111,70.161,71.047,69.868,70.728,1814170.860
20160112,71.677,71.765,70.471,70.870,1957232.452
20160113,70.994,71.863,70.090,70.179,1602185.923
20160114,70.321,70.852,69.576,69.620,2280627.690
20160115,68.379,69.868,67.936,69.665,2099455.053
20160119,69.736,70.666,69.416,70.188,1538946.968
20160120,69.523,69.736,66.819,67.714,2241060.932
20160121,68.060,68.645,67.404,67.759,1701980.637
20160122,68.583,69.204,68.042,68.885,1957765.951
20160125,68.796,70.205,68.388,69.354,1815871.282
20160126,69.452,70.835,69.195,70.675,1638551.048
20160127,70.604,70.604,68.796,69.399,1716745.158
20160128,69.248,69.487,67.058,67.183,2825971.140
20160129,67.972,68.459,66.420,68.335,2957263.175
20160201,67.537,68.964,67.183,67.998,2121053.369
20160202,68.255,68.450,66.296,67.050,2837510.777
20160203,67.192,67.316,65.064,67.085,3315997.886
20160204,66.722,68.193,66.021,67.608,2340712.990
20160205,67.316,67.502,64.984,65.224,2311055.806
20160208,64.958,64.958,62.848,64.036,2959529.597
20160209,63.779,64.213,63.114,63.256,2215620.172
20160210,63.699,64.674,63.300,63.610,1221921.788
20160211,62.458,63.070,61.935,62.679,2297030.078
20160212,63.531,63.531,62.617,63.176,1929971.332
20160216,63.850,64.098,63.070,63.956,1435709.094
20160217,64.115,64.603,63.912,64.186,2174799.162
20160218,64.107,64.878,63.725,64.683,1915812.425
20160219,64.665,65.374,64.257,64.816,1467979.965
20160222,65.312,66.145,65.268,65.764,1604348.897
20160223,66.394,66.695,65.153,65.436,1517471.032
20160224,65.153,65.649,63.965,64.896,1936549.372
20160225,65.454,66.083,65.073,66.048,2098746.994
20160226,66.030,66.394,65.188,66.066,3168069.300
20160229,66.190,66.846,65.853,66.021,2643776.807
20160301,66.697,68.196,66.160,68.117,2745057.326
20160302,68.097,69.865,68.097,69.537,2490023.992
20160303,69.547,70.510,69.308,70.471,2018587.107
20160304,70.480,71.027,69.954,70.967,1836905.604
20160307,70.500,71.335,70.172,71.156,1082930.856
20160308,71.215,71.503,70.351,70.460,1843775.752
20160309,70.510,71.623,70.312,71.195,1529761.504
20160310,71.623,72.218,70.212,70.570,2664377.130
20160311,71.474,72.477,70.302,72.397,2017011.141
20160314,71.474,72.695,71.474,72.089,1163327.741
20160315,72.010,72.397,71.573,72.189,1145596.061
20160316,72.010,73.092,71.642,72.874,1333632.470
20160317,72.983,74.046,72.655,73.927,1429746.704
20160318,74.185,74.870,73.698,73.758,2246321.133
20160321,73.648,73.847,72.318,72.516,1894189.348
20160322,72.470,73.410,72.295,72.750,1522743.000
20160323,72.250,72.940,72.250,72.550,1527988.000
20160324,72.190,72.550,71.770,72.490,1419047.000
