Date,Open,High,Low,Close,Volume
20160104,51.723,53.302,51.703,53.102,2023986.478
20160105,53.472,53.652,52.193,52.562,1380404.585
20160106,51.683,51.683,49.294,49.524,1790103.375
20160107,48.724,52.073,48.275,51.823,2712237.473
20160108,52.123,55.151,52.113,54.431,3005089.285
20160111,54.191,54.421,51.713,52.512,3722885.285
20160112,52.652,53.422,49.534,51.033,2735747.496
20160113,51.503,52.842,50.134,51.133,2542803.624
20160114,51.533,52.522,50.733,52.003,2206766.070
20160115,50.733,52.772,49.844,52.482,1755426.317
20160119,52.932,53.772,51.603,53.262,2055060.388
20160120,52.153,56.184,51.363,55.411,2704768.617
20160121,55.581,58.029,54.521,55.601,4237172.995
20160122,57.360,58.779,56.470,57.999,3516328.727
20160125,56.580,58.249,56.211,56.251,2171394.698
20160126,58.569,61.438,57.560,61.218,2230380.523
20160127,61.208,62.262,59.149,59.959,2021872.459
20160128,62.557,62.787,58.709,59.919,1988236.551
20160129,60.858,61.758,60.008,61.708,1935277.827
20160201,61.378,61.378,58.769,59.859,3358436.227
20160202,57.970,59.009,56.900,58.099,2989908.414
20160203,59.699,61.138,57.330,60.858,2885333.280
20160204,61.448,62.437,58.319,59.739,4495889.578
20160205,58.369,61.358,58.209,59.759,2200997.529
20160208,58.849,60.059,58.219,59.769,2448400.066
20160209,58.719,59.299,55.721,56.940,2144406.575
20160210,56.650,58.989,55.711,58.729,1825134.295
20160211,57.830,58.639,55.321,57.120,1545984.504
20160212,58.060,59.265,56.840,59.100,964934.000
20160216,60.110,60.460,58.700,60.340,1724083.000
20160217,60.950,62.500,59.750,62.370,1669928.000
20160218,62.260,62.570,59.320,60.920,1158306.000
20160219,59.200,59.500,58.500,58.910,7624988.000
20160222,59.640,60.550,59.130,60.240,2735171.000
20160223,60.060,60.200,55.470,55.520,3407970.000
20160224,54.710,57.350,54.220,57.140,2176917.000
20160225,56.680,57.190,54.830,56.180,2027548.000
20160226,57.000,57.390,55.700,56.770,1657701.000
20160229,56.930,57.340,54.780,55.720,2526209.000
20160301,56.360,58.010,54.380,57.830,1936689.000
20160302,57.180,59.000,57.000,58.950,1695116.000
20160303,58.840,60.355,57.960,59.680,2112872.000
20160304,59.890,60.840,56.320,56.380,4335133.000
20160307,56.380,61.620,56.380,61.470,3798028.000
20160308,60.860,60.860,57.720,57.960,2111331.000
20160309,59.240,60.030,57.440,57.870,1528163.000
20160310,58.110,60.200,56.740,59.980,1767273.000
20160311,60.630,61.420,59.720,61.220,1480519.000
20160314,60.240,61.950,59.990,60.680,1292349.000
20160315,59.900,62.640,59.900,62.600,1146842.000
20160316,63.100,65.350,62.610,64.720,2059571.000
20160317,66.000,66.060,63.280,64.560,1048535.000
20160318,65.160,66.520,64.700,65.740,1586515.000
20160321,65.920,65.920,62.660,63.310,1284309.000
20160322,63.280,64.330,62.760,63.740,873647.000
20160323,63.550,64.130,62.880,63.040,1015016.000
20160324,61.890,65.060,61.450,64.570,1310466.000
