Date,Open,High,Low,Close,Volume
20160104,50.239,50.506,49.812,50.467,1373944.075
20160105,50.437,51.022,49.604,50.913,1018476.002
20160106,50.625,51.230,50.318,51.052,1176974.593
20160107,50.467,50.873,50.278,50.724,1879994.713
20160108,50.665,51.072,50.303,50.377,1134372.462
20160111,50.496,50.923,50.169,50.596,1022644.919
20160112,50.655,51.022,49.990,50.705,1384886.144
20160113,50.853,51.310,50.645,50.868,2052509.492
20160114,50.863,51.796,50.159,51.429,3988323.120
20160115,50.883,51.310,50.397,50.972,2962732.911
20160119,51.032,52.321,50.933,52.163,2669409.897
20160120,51.944,52.182,50.109,50.744,3273021.798
20160121,50.853,51.052,49.802,50.159,2199177.225
20160122,50.219,51.211,50.040,51.161,1712359.598
20160125,51.230,51.548,50.804,51.220,1809641.341
20160126,51.349,52.252,51.240,51.736,1457976.696
20160127,51.806,52.252,51.419,51.915,1671568.246
20160128,51.766,53.085,51.340,52.639,1720205.645
20160129,53.194,53.710,52.966,53.363,2470585.872
20160201,53.164,54.474,53.055,54.107,2643995.121
20160202,53.829,54.781,53.566,54.642,1770756.231
20160203,54.900,55.510,54.861,55.277,1867568.827
20160204,55.178,55.456,54.394,54.494,3125239.837
20160205,53.968,54.414,52.936,54.196,2960791.143
20160208,53.700,54.375,52.996,53.680,3024163.310
20160209,53.561,54.454,53.403,54.246,2752740.381
20160210,54.543,54.831,53.373,54.494,1949623.467
20160211,54.345,54.692,53.343,53.462,1980985.342
20160212,52.877,53.710,52.500,53.075,2023089.487
20160216,53.204,53.541,52.688,53.403,1610730.122
20160217,53.373,53.462,52.857,53.115,1216070.362
20160218,53.214,54.295,53.065,54.017,1636955.045
20160219,53.978,54.295,53.393,54.226,1862436.662
20160222,54.385,55.059,54.206,54.880,1158818.248
20160223,54.573,55.545,54.499,55.386,1467707.034
20160224,55.089,56.031,55.084,55.763,1648246.777
20160225,55.991,56.458,55.793,56.190,889350.996
20160226,55.962,56.071,54.305,54.325,1410345.976
20160229,54.280,54.840,53.992,54.310,1375401.000
20160301,54.500,54.870,53.800,54.230,1960612.000
20160302,53.960,54.380,52.620,54.340,1711304.000
20160303,54.440,54.680,53.590,54.640,1019979.000
20160304,54.330,55.690,54.130,55.550,1708401.000
20160307,55.320,56.270,55.273,56.120,2409514.000
20160308,56.610,57.030,55.890,56.700,1491511.000
20160309,55.580,57.160,55.580,56.870,1378748.000
20160310,56.920,57.250,56.070,56.500,2007512.000
20160311,56.720,57.000,56.360,56.540,1521779.000
20160314,56.590,56.830,56.150,56.730,1430799.000
20160315,56.730,57.350,56.460,56.750,1903580.000
20160316,56.500,57.580,56.040,57.410,1316941.000
20160317,57.540,58.100,57.250,57.810,2022598.000
20160318,57.820,58.070,57.180,57.190,1865706.000
20160321,57.100,57.820,56.740,57.360,1405515.000
20160322,57.350,57.670,57.070,57.470,1608791.000
20160323,57.490,58.090,57.130,57.940,1192405.000
20160324,57.740,58.300,57.640,57.830,908604.000
