Date,Open,High,Low,Close,Volume
20160104,238.450,238.980,235.540,237.530,304052.000
20160105,237.900,240.590,237.280,239.900,232915.000
20160106,238.010,240.000,236.300,238.150,167604.000
20160107,235.560,237.990,234.720,235.710,431326.000
20160108,236.280,238.670,233.140,233.670,338499.000
20160111,234.850,236.590,234.010,235.710,406551.000
20160112,234.600,235.565,230.540,234.950,572992.000
20160113,235.270,237.080,232.515,233.880,577715.000
20160114,233.780,235.580,230.530,230.830,567629.000
20160115,228.880,231.850,226.240,230.190,547900.000
20160119,231.190,233.850,229.170,232.220,451598.000
20160120,231.610,231.610,223.950,224.260,683717.000
20160121,225.120,226.840,219.310,220.950,558385.000
20160122,222.820,225.400,221.630,224.790,692966.000
20160125,224.860,227.250,222.460,223.110,403158.000
20160126,223.370,226.640,222.880,226.500,418404.000
20160127,226.320,227.270,218.990,220.460,486519.000
20160128,219.380,220.630,209.850,210.600,929416.000
20160129,212.040,213.620,205.730,212.940,972515.000
20160201,211.390,216.350,210.360,214.160,759913.000
20160202,214.230,215.230,207.600,208.360,516726.000
20160203,209.380,211.970,207.240,210.495,584110.000
20160204,209.200,212.570,206.860,210.730,551208.000
20160205,209.860,215.720,202.080,202.500,632098.000
20160208,205.980,207.020,196.660,198.160,580105.000
20160209,196.830,198.400,191.640,193.500,708223.000
20160210,197.170,200.000,195.200,196.730,405821.000
20160211,193.460,195.030,191.160,192.160,432504.000
20160212,196.940,198.110,192.350,195.450,470491.000
20160216,197.000,199.200,195.420,198.720,382933.000
20160217,199.130,203.360,198.030,201.580,501940.000
20160218,201.780,203.800,198.980,202.070,369520.000
20160219,201.960,208.790,201.960,206.890,580193.000
20160222,208.550,210.880,207.680,209.540,379197.000
20160223,208.140,211.530,208.140,209.140,327531.000
20160224,208.040,211.240,205.440,207.360,241311.000
20160225,208.650,212.040,208.150,211.000,416958.000
20160226,210.960,211.740,209.790,210.000,400331.000
20160229,210.140,214.570,209.150,209.280,446159.000
20160301,210.640,216.820,209.500,216.660,466291.000
20160302,215.720,219.050,214.740,217.980,431640.000
20160303,218.660,221.120,217.185,220.980,423218.000
20160304,222.660,223.780,221.050,222.440,403466.000
20160307,221.570,223.560,219.980,223.200,310760.000
20160308,223.170,225.410,221.560,221.930,336054.000
20160309,222.190,224.390,220.240,222.140,381832.000
20160310,223.530,224.800,219.170,220.620,412056.000
20160311,222.360,224.555,220.140,224.400,465489.000
20160314,223.840,225.030,219.040,221.080,455460.000
20160315,220.150,221.460,219.460,221.280,295038.000
20160316,220.500,222.870,218.300,222.010,292801.000
20160317,222.410,227.120,221.040,226.350,448761.000
20160318,226.670,229.680,224.940,226.300,668288.000
20160321,226.070,227.410,225.150,226.330,358110.000
20160322,226.160,229.630,225.240,228.380,394764.000
20160323,228.500,230.370,227.730,228.590,486463.000
20160324,227.740,228.080,224.740,226.240,261516.000
