Date,Open,High,Low,Close,Volume
20160104,15.364,16.083,15.064,15.883,6441222.040
20160105,15.654,15.734,14.755,14.895,6398716.360
20160106,14.275,14.285,12.587,13.481,13922791.902
20160107,13.096,13.176,12.577,12.986,9687966.000
20160108,13.036,13.116,12.567,12.767,5681638.437
20160111,12.737,12.867,11.408,11.748,8068009.910
20160112,11.967,12.087,10.709,11.318,9966100.470
20160113,11.558,11.798,10.579,10.619,9656903.184
20160114,10.629,11.198,10.249,10.998,7875542.100
20160115,10.439,10.529,9.870,10.299,4663924.220
20160119,10.339,10.339,9.220,9.410,7450979.120
20160120,9.011,9.970,8.841,9.840,10441863.520
20160121,9.760,10.409,9.500,9.960,7443173.130
20160122,10.449,10.569,8.961,9.560,10324628.260
20160125,9.230,9.510,8.801,8.851,8184081.690
20160126,9.150,9.385,8.751,9.160,9942068.100
20160127,9.060,9.340,8.831,8.981,7001479.951
20160128,9.380,9.510,8.921,9.370,6509538.457
20160129,9.250,9.790,8.901,9.770,9227761.710
20160201,9.360,9.620,9.070,9.370,7345380.171
20160202,9.041,9.091,8.701,8.801,6634938.723
20160203,8.981,9.140,8.321,9.060,6933504.366
20160204,9.140,10.229,9.140,9.740,8999359.180
20160205,9.350,10.869,9.300,9.830,10807841.460
20160208,9.420,9.730,9.140,9.290,7299953.004
20160209,9.051,9.210,8.351,8.451,6239487.765
20160210,8.461,8.761,8.072,8.077,6507105.957
20160211,7.912,8.321,7.642,8.052,8269565.341
20160212,8.211,8.551,8.111,8.371,9347405.396
20160216,8.641,8.641,8.052,8.521,5025209.038
20160217,8.571,9.185,8.501,8.851,7164068.795
20160218,9.031,9.031,8.191,8.591,8366538.280
20160219,8.271,8.611,7.992,8.211,6535394.737
20160222,8.471,8.971,8.311,8.731,7080705.414
20160223,8.591,9.031,8.291,8.311,6224327.051
20160224,8.092,8.311,7.512,8.271,11911448.101
20160225,8.281,8.281,7.242,7.862,14379317.050
20160226,8.042,9.060,8.032,8.401,13560032.861
20160229,8.461,8.941,8.391,8.656,12454463.350
20160301,8.781,8.801,7.992,8.641,10759081.960
20160302,8.611,9.590,8.511,9.580,10596520.192
20160303,9.550,11.060,9.500,10.940,15271746.000
20160304,11.030,12.895,10.830,12.380,21213360.000
20160307,12.260,13.040,12.190,12.460,14721698.000
20160308,12.260,12.290,10.500,10.850,15125520.000
20160309,11.120,11.220,9.990,10.470,12115934.000
20160310,10.420,11.270,10.080,10.980,13245867.000
20160311,11.100,11.537,10.970,11.180,7269857.000
20160314,10.900,11.340,10.610,10.970,7433460.000
20160315,10.650,10.960,10.335,10.900,6016585.000
20160316,11.020,11.600,11.005,11.260,8114123.000
20160317,11.410,11.590,10.980,11.390,8116978.000
20160318,11.470,11.600,10.985,11.260,8312944.000
20160321,11.280,11.400,10.890,11.320,4624768.000
20160322,10.870,11.160,10.720,11.020,4515080.000
20160323,10.880,11.030,10.280,10.480,5835559.000
20160324,10.170,10.786,10.050,10.590,4972118.000
