Date,Open,High,Low,Close,Volume
20160104,28.890,28.900,28.180,28.770,3569214.000
20160105,28.720,29.050,28.320,28.570,2210088.000
20160106,28.140,28.400,27.750,27.970,3517320.000
20160107,27.310,27.840,26.760,26.890,4772595.000
20160108,27.260,27.415,26.680,26.710,4516316.000
20160111,26.990,27.000,26.430,26.650,6632912.000
20160112,26.920,27.040,26.520,26.980,5800791.000
20160113,27.210,27.290,25.400,25.490,4267874.000
20160114,25.840,26.170,24.930,25.990,2902752.000
20160115,24.960,25.620,24.460,25.060,6219143.000
20160119,25.480,25.690,24.530,24.810,5132743.000
20160120,24.220,24.760,23.430,24.330,8001766.000
20160121,24.410,24.980,24.160,24.310,5759843.000
20160122,23.630,24.860,23.350,24.060,12493421.000
20160125,23.810,24.180,23.270,23.440,6058273.000
20160126,23.600,23.980,23.350,23.690,3792896.000
20160127,23.570,24.295,23.290,23.470,4268693.000
20160128,23.720,23.830,23.190,23.260,5416669.000
20160129,23.320,23.720,22.790,23.520,8249037.000
20160201,23.420,23.750,23.090,23.670,5488063.000
20160202,23.230,23.230,22.510,22.630,5525193.000
20160203,22.870,23.030,21.770,22.570,6126635.000
20160204,22.520,23.240,22.460,23.170,6590222.000
20160205,23.120,23.730,22.420,22.680,4542515.000
20160208,22.120,22.320,20.850,21.170,7560966.000
20160209,20.670,21.290,20.450,20.820,6627633.000
20160210,21.120,21.770,20.650,20.690,4628786.000
20160211,19.970,20.490,19.610,20.240,4787361.000
20160212,20.820,21.230,20.305,21.150,5498702.000
20160216,21.600,22.130,21.480,21.870,5334508.000
20160217,22.130,22.580,22.050,22.280,5154283.000
20160218,22.420,22.610,21.920,22.000,3995398.000
20160219,21.870,22.630,21.670,22.490,4742091.000
20160222,22.890,23.110,22.510,22.810,4288550.000
20160223,22.720,22.830,22.250,22.680,3661415.000
20160224,22.140,22.660,21.725,22.570,4431221.000
20160225,22.600,23.250,22.460,23.250,3556786.000
20160226,23.530,24.560,23.530,24.250,6039835.000
20160229,24.090,24.230,23.450,23.470,3403140.000
20160301,23.740,24.940,23.560,24.880,4399829.000
20160302,24.820,25.150,24.600,24.980,2708196.000
20160303,24.880,25.360,24.690,25.240,3918372.000
20160304,25.410,25.940,25.120,25.310,3762946.000
20160307,24.990,25.470,24.570,25.420,2469084.000
20160308,25.060,25.260,24.350,24.350,5416242.000
20160309,24.630,24.700,24.090,24.450,4652663.000
20160310,24.760,24.940,23.870,24.370,3640130.000
20160311,24.700,25.430,24.700,25.400,4373956.000
20160314,25.400,25.480,24.595,24.840,4799825.000
20160315,24.450,24.870,23.580,24.830,3451953.000
20160316,24.520,25.260,24.270,24.410,4596230.000
20160317,24.360,25.170,24.070,25.000,3675348.000
20160318,25.080,25.260,24.900,25.170,4649520.000
20160321,25.160,25.760,24.990,25.210,1937969.000
20160322,24.890,25.405,24.680,25.210,2164632.000
20160323,25.010,25.280,24.750,24.800,2041393.000
20160324,24.500,24.770,24.270,24.670,2598616.000
