Date,Open,High,Low,Close,Volume
20160104,67.102,67.794,66.746,67.754,1087284.675
20160105,67.656,68.337,66.233,68.150,1192381.090
20160106,67.734,67.912,67.013,67.715,1101034.375
20160107,67.102,67.833,66.470,66.746,1338776.550
20160108,66.776,67.478,66.559,66.707,1050729.858
20160111,66.934,67.379,66.272,66.746,959382.088
20160112,67.468,67.705,66.243,67.576,1788265.104
20160113,67.804,68.258,66.895,67.389,1525204.688
20160114,67.468,68.762,66.954,68.258,959849.551
20160115,67.774,67.922,66.618,67.280,1229600.940
20160119,68.011,68.426,67.349,68.051,1481743.189
20160120,67.616,68.086,64.602,65.758,1350379.615
20160121,65.788,66.282,64.859,65.897,1019251.372
20160122,66.460,68.031,66.018,67.922,1179308.573
20160125,67.833,67.912,66.420,66.806,889997.824
20160126,67.122,68.713,67.082,67.883,729655.349
20160127,67.774,69.187,67.576,68.733,1047863.775
20160128,69.671,70.096,68.298,69.701,790819.919
20160129,70.541,70.738,69.553,69.731,1506252.098
20160201,69.780,70.966,69.503,70.738,1056915.384
20160202,70.254,71.084,69.879,70.906,1191023.732
20160203,71.074,73.100,70.966,72.487,1383824.573
20160204,72.250,73.594,71.331,71.440,1262782.452
20160205,71.193,71.805,70.304,71.351,1547328.553
20160208,71.835,72.151,69.572,70.600,1653211.233
20160209,69.730,71.300,69.650,70.730,1524850.000
20160210,70.570,71.860,69.340,71.440,1382882.000
20160211,71.000,71.510,70.210,70.530,1300848.000
20160212,70.340,70.610,69.340,70.430,1169801.000
20160216,70.700,71.100,69.830,70.760,1307057.000
20160217,70.780,71.190,69.940,71.010,1446072.000
20160218,71.550,73.930,70.850,73.440,2250226.000
20160219,73.790,73.919,72.000,72.985,1894287.000
20160222,73.450,74.240,73.000,73.990,923447.000
20160223,73.880,74.240,72.980,73.490,1210604.000
20160224,73.420,74.030,72.770,73.450,889964.000
20160225,73.640,74.330,73.120,74.240,815025.000
20160226,73.830,74.590,71.640,71.740,1147284.000
20160229,71.830,73.110,71.530,72.170,964535.000
20160301,72.700,72.990,71.950,72.190,1029310.000
20160302,71.860,73.250,70.610,73.210,964678.000
20160303,73.200,73.330,71.760,73.150,978275.000
20160304,72.790,74.280,72.220,74.205,854210.000
20160307,74.000,74.590,73.550,73.940,1000352.000
20160308,74.040,74.670,73.340,74.570,964688.000
20160309,74.610,75.910,74.580,75.220,1285736.000
20160310,75.310,76.140,75.140,75.970,1356214.000
20160311,76.220,76.720,75.740,75.890,1172938.000
20160314,76.020,76.910,75.500,76.520,978814.000
20160315,76.190,77.320,76.160,76.630,747617.000
20160316,76.510,78.230,75.784,78.010,1167301.000
20160317,78.150,79.160,77.740,78.920,957421.000
20160318,78.920,79.400,77.900,77.940,1400430.000
20160321,77.540,78.690,77.470,78.410,1198876.000
20160322,78.470,78.850,77.610,77.680,1054063.000
20160323,77.780,78.640,77.430,78.160,793400.000
20160324,77.840,78.990,77.590,78.840,709929.000
