Date,Open,High,Low,Close,Volume
20160104,78.100,79.010,76.500,78.860,2335395.000
20160105,78.670,80.450,78.430,80.040,1384233.000
20160106,79.280,81.000,78.850,80.440,1635345.000
20160107,79.390,79.390,76.790,77.560,2054377.000
20160108,77.300,78.580,75.800,76.020,1544408.000
20160111,76.660,77.370,75.540,75.930,1973110.000
20160112,76.490,77.870,76.200,77.730,1336081.000
20160113,78.150,78.545,74.610,74.820,1545475.000
20160114,74.810,77.330,73.920,77.110,2038753.000
20160115,74.840,76.590,73.960,74.690,2773836.000
20160119,75.620,76.100,74.010,74.510,1586268.000
20160120,73.480,76.040,72.200,75.500,1973029.000
20160121,76.630,79.660,76.330,77.800,3419464.000
20160122,78.680,79.780,78.340,78.860,1941269.000
20160125,79.100,80.700,79.060,80.200,1300934.000
20160126,79.160,80.850,78.870,80.170,1402132.000
20160127,80.350,80.590,77.250,77.900,2727481.000
20160128,78.570,78.570,75.240,75.900,1983043.000
20160129,75.840,78.310,75.840,78.170,1980990.000
20160201,77.890,79.580,77.590,78.810,2049711.000
20160202,77.610,78.180,76.580,76.920,2559145.000
20160203,82.620,83.450,80.950,83.350,4701743.000
20160204,83.190,84.480,82.470,83.590,3057146.000
20160205,85.020,85.020,81.650,82.030,1946894.000
20160208,80.980,81.685,75.260,76.980,3508552.000
20160209,75.640,78.110,75.620,76.320,2354277.000
20160210,77.430,80.610,77.210,79.000,2348443.000
20160211,77.550,79.780,76.880,79.030,2011697.000
20160212,79.610,81.115,78.580,81.040,2043025.000
20160216,81.040,84.470,81.040,84.460,2179512.000
20160217,85.170,86.700,84.440,86.615,2112275.000
20160218,86.720,88.540,86.050,86.260,2245888.000
20160219,86.290,86.620,85.040,86.220,1448402.000
20160222,86.910,87.310,85.770,86.600,1528427.000
20160223,86.500,87.378,85.950,86.860,1575086.000
20160224,86.340,88.119,85.400,87.790,1398842.000
20160225,88.080,89.590,87.920,89.570,1332035.000
20160226,89.650,89.930,87.640,87.920,1938269.000
20160229,87.610,88.295,86.734,86.990,1654872.000
20160301,87.280,87.890,86.100,87.880,1632302.000
20160302,88.500,88.630,87.470,88.310,1082336.000
20160303,88.090,88.310,86.500,87.090,1179489.000
20160304,86.920,87.860,86.460,87.360,1015787.000
20160307,87.360,88.113,86.880,87.240,1212953.000
20160308,86.940,87.120,85.020,85.130,2060296.000
20160309,84.960,86.330,84.650,85.750,1331367.000
20160310,86.110,87.040,85.660,86.490,1171516.000
20160311,86.860,87.869,86.490,87.630,1218952.000
20160314,87.360,88.670,86.860,87.940,1118794.000
20160315,87.750,87.940,85.940,86.290,1409347.000
20160316,85.760,86.850,85.030,85.780,1323059.000
20160317,86.040,86.230,83.900,84.370,1637724.000
20160318,84.690,86.100,84.020,85.820,1401643.000
20160321,85.570,86.130,85.205,85.610,944162.000
20160322,85.100,86.820,85.020,86.260,968655.000
20160323,86.120,86.910,85.670,85.890,929325.000
20160324,85.230,87.640,85.130,87.360,1676817.000
