Date,Open,High,Low,Close,Volume
20160104,27.213,27.723,27.065,27.718,6728642.540
20160105,27.609,27.916,27.154,27.887,5032837.069
20160106,27.619,28.006,27.491,27.907,6205299.389
20160107,27.550,27.916,27.401,27.550,5130528.326
20160108,27.629,27.708,27.179,27.530,6629420.223
20160111,27.679,28.085,27.619,27.768,7882823.796
20160112,27.907,27.926,27.302,27.669,6432484.020
20160113,27.689,27.897,27.084,27.253,7214519.689
20160114,27.263,27.827,26.916,27.639,8424649.750
20160115,27.095,27.698,26.698,27.194,9495615.810
20160119,27.362,27.659,27.194,27.382,8137689.628
20160120,27.144,27.184,26.005,26.530,10392538.830
20160121,26.619,27.263,26.322,27.144,8634882.810
20160122,27.243,27.817,27.194,27.758,6588831.286
20160125,27.728,27.827,26.877,26.896,7143561.337
20160126,26.976,27.728,26.956,27.560,6260622.243
20160127,27.698,28.144,27.372,27.788,5029857.974
20160128,27.788,28.654,27.580,28.421,6509037.762
20160129,28.718,29.382,28.679,29.263,8990948.833
20160201,29.115,29.818,28.976,29.709,8710531.100
20160202,29.412,29.867,29.117,29.852,9508670.030
20160203,29.947,31.422,29.857,31.293,14130528.510
20160204,31.353,32.105,31.303,31.937,13587569.160
20160205,32.145,32.630,31.724,32.571,9926599.730
20160208,32.442,32.808,31.798,32.076,8803687.750
20160209,31.798,32.082,31.462,31.630,8144596.430
20160210,31.000,31.420,30.550,31.120,10433688.000
20160211,30.780,31.080,30.000,30.320,8678699.000
20160212,30.300,30.620,29.980,30.460,7914342.000
20160216,30.790,31.030,30.450,31.010,7676968.000
20160217,31.130,31.280,30.740,31.070,6654375.000
20160218,31.100,31.640,31.050,31.450,6624891.000
20160219,31.320,31.355,30.942,31.225,5655104.000
20160222,31.490,31.730,31.220,31.680,6246935.000
20160223,31.090,31.620,31.000,31.190,8000070.000
20160224,31.200,31.850,31.080,31.750,7288253.000
20160225,31.740,31.980,31.560,31.970,5073477.000
20160226,31.860,32.140,31.160,31.720,12385475.000
20160229,31.730,32.140,31.440,31.480,7229539.000
20160301,31.800,31.960,31.205,31.760,9439528.000
20160302,31.610,32.350,30.870,32.310,6993219.000
20160303,32.370,33.100,32.020,33.070,8293701.000
20160304,32.860,33.630,32.720,33.360,7060517.000
20160307,33.480,34.050,33.300,33.910,5982950.000
20160308,33.900,34.320,33.390,34.240,7656025.000
20160309,34.070,34.360,33.950,34.170,6246542.000
20160310,34.250,34.850,34.110,34.750,7092151.000
20160311,34.930,34.980,34.440,34.720,5005323.000
20160314,34.670,34.870,34.490,34.630,4398092.000
20160315,34.510,34.750,34.270,34.500,4562557.000
20160316,34.390,34.850,34.040,34.780,4798131.000
20160317,34.860,35.000,34.550,34.910,4399017.000
20160318,34.980,35.110,34.660,34.810,6657358.000
20160321,34.750,35.080,34.650,34.860,4010448.000
20160322,34.890,35.200,34.630,35.000,3256136.000
20160323,34.980,35.500,34.505,34.740,11069430.000
20160324,34.720,35.360,34.350,35.320,5375852.000
