Date,Open,High,Low,Close,Volume
20160104,44.350,44.470,43.490,44.250,1939689.000
20160105,44.320,44.663,43.740,44.550,1781033.000
20160106,44.000,44.330,43.560,43.630,1180322.000
20160107,41.450,42.950,40.710,42.660,4375312.000
20160108,42.660,43.300,42.555,42.780,1984653.000
20160111,43.000,43.130,42.410,42.980,2412454.000
20160112,43.300,43.555,42.790,43.500,1432630.000
20160113,43.390,43.710,42.301,42.620,1231844.000
20160114,42.820,43.620,42.300,43.190,2233470.000
20160115,40.950,42.250,40.410,42.200,3371370.000
20160119,42.750,43.360,42.445,42.930,2049523.000
20160120,42.340,43.550,42.250,43.270,3008293.000
20160121,43.220,43.780,42.960,43.400,2082531.000
20160122,43.890,44.355,43.150,43.660,1716144.000
20160125,43.320,43.530,42.990,43.110,1459780.000
20160126,43.180,44.380,43.180,44.190,1293108.000
20160127,44.110,44.580,43.780,44.060,1352935.000
20160128,44.460,44.590,43.840,44.470,1388760.000
20160129,44.710,45.250,44.410,45.090,1655237.000
20160201,44.940,45.350,44.600,45.160,1418013.000
20160202,44.750,44.960,44.180,44.330,1525681.000
20160203,44.710,44.970,44.130,44.360,1620434.000
20160204,44.370,45.835,44.370,45.780,1220413.000
20160205,45.790,45.990,45.470,45.850,1628600.000
20160208,45.240,46.170,45.080,46.040,1936514.000
20160209,45.760,46.100,45.340,45.900,2038502.000
20160210,46.060,46.250,45.030,45.050,1164552.000
20160211,44.430,45.020,44.220,44.690,1516343.000
20160212,45.230,45.940,45.050,45.700,1584153.000
20160216,46.160,46.740,45.490,46.580,927999.000
20160217,46.840,47.210,46.600,46.795,1032398.000
20160218,46.850,47.160,46.510,46.730,820116.000
20160219,46.660,46.810,46.210,46.670,1008908.000
20160222,47.000,47.470,46.600,46.760,1928890.000
20160223,43.940,45.960,43.746,45.190,3144643.000
20160224,44.700,45.740,44.600,45.470,1892001.000
20160225,45.760,45.985,45.400,45.910,894632.000
20160226,46.000,46.480,45.750,46.080,835786.000
20160229,46.080,46.390,45.760,45.780,1110112.000
20160301,46.090,46.495,45.860,46.300,1450423.000
20160302,46.400,46.490,45.760,46.180,1796249.000
20160303,46.070,46.810,45.620,46.640,1128062.000
20160304,46.770,47.330,46.550,46.930,1052684.000
20160307,46.240,47.350,46.160,47.260,1336073.000
20160308,46.910,47.570,46.540,47.210,1922618.000
20160309,47.260,47.820,47.060,47.390,1757292.000
20160310,47.470,47.960,47.090,47.790,1375621.000
20160311,48.000,48.680,47.860,48.060,1722832.000
20160314,47.890,48.060,47.270,47.810,1747045.000
20160315,47.590,48.270,47.330,48.120,940203.000
20160316,47.860,48.106,47.310,48.000,1513370.000
20160317,48.150,49.360,48.020,48.750,1491218.000
20160318,48.770,48.990,48.280,48.470,2187314.000
20160321,48.460,48.650,48.240,48.480,1459013.000
20160322,48.310,48.650,47.915,48.380,1094927.000
20160323,48.430,48.670,48.040,48.490,996531.000
20160324,48.300,48.770,48.060,48.660,1018879.000
