Date,Open,High,Low,Close,Volume
20160104,13.418,13.543,13.301,13.534,30542236.810
20160105,13.514,13.543,13.069,13.272,45065882.640
20160106,13.118,13.118,12.624,12.682,55975982.510
20160107,12.479,12.614,12.189,12.276,55687995.600
20160108,12.624,12.673,12.092,12.131,43097844.800
20160111,12.382,12.402,12.140,12.344,35747661.860
20160112,12.605,12.614,12.170,12.431,44502646.090
20160113,12.286,12.421,11.666,11.802,98229420.600
20160114,11.792,11.908,11.434,11.802,58558967.100
20160115,11.425,11.608,11.202,11.579,64603528.000
20160119,11.754,11.802,11.434,11.570,38082745.480
20160120,11.405,11.676,11.096,11.504,56840894.200
20160121,11.618,11.879,11.473,11.608,48043646.470
20160122,11.850,11.957,11.637,11.749,40081269.130
20160125,11.899,11.918,11.541,11.599,38091297.920
20160126,11.744,11.894,11.645,11.860,45254672.770
20160127,12.050,12.100,11.730,11.850,39440217.000
20160128,12.030,12.060,11.200,11.720,72421376.000
20160129,11.830,11.940,11.650,11.900,44303443.000
20160201,11.920,12.140,11.730,12.070,34307659.000
20160202,11.940,12.080,11.450,11.520,51692164.000
20160203,11.670,11.680,11.020,11.450,62226519.000
20160204,11.370,11.690,11.260,11.530,37498281.000
20160205,11.510,11.700,11.420,11.440,30284382.000
20160208,11.390,11.690,11.250,11.600,42979633.000
20160209,11.470,11.610,11.220,11.360,46930536.000
20160210,11.460,11.570,11.330,11.350,29723180.000
20160211,11.170,11.430,11.100,11.170,35997796.000
20160212,11.240,11.580,11.180,11.540,25446672.000
20160216,11.730,11.880,11.520,11.860,36053657.000
20160217,11.990,12.300,11.960,12.270,32768956.000
20160218,12.400,12.440,12.120,12.260,27221487.000
20160219,12.190,12.230,12.010,12.100,22309135.000
20160222,12.240,12.560,12.240,12.550,29366148.000
20160223,12.530,12.650,12.410,12.420,27527705.000
20160224,12.110,12.110,11.600,12.070,54077713.000
20160225,12.110,12.400,12.050,12.400,30048151.000
20160226,12.520,12.590,12.400,12.470,28060545.000
20160229,12.420,12.650,12.390,12.520,26753867.000
20160301,13.010,13.120,12.720,13.070,65958693.000
20160302,13.060,13.350,13.040,13.232,33152975.000
20160303,13.240,13.610,13.240,13.540,40155681.000
20160304,13.560,13.860,13.430,13.600,29365198.000
20160307,13.460,13.740,13.450,13.620,24464050.000
20160308,13.510,13.575,13.150,13.250,29316809.000
20160309,13.250,13.320,13.010,13.180,30252468.000
20160310,13.250,13.280,12.920,13.150,37584217.000
20160311,13.260,13.300,13.200,13.280,25651750.000
20160314,13.280,13.370,13.180,13.260,18800431.000
20160315,13.120,13.240,13.050,13.220,26044837.000
20160316,13.200,13.510,13.180,13.500,32460418.000
20160317,13.470,13.680,13.390,13.470,27648354.000
20160318,13.540,13.700,13.490,13.630,25456103.000
20160321,13.640,13.760,13.560,13.660,17587340.000
20160322,13.650,13.730,13.510,13.580,21227594.000
20160323,13.570,13.605,13.190,13.260,27590901.000
20160324,13.110,13.120,12.780,13.040,30121358.000
