Date,Open,High,Low,Close,Volume
20160104,31.176,31.285,30.879,31.156,4225697.359
20160105,31.285,31.294,30.602,31.186,4836788.790
20160106,30.978,31.660,30.839,31.512,3566102.702
20160107,31.176,31.423,30.553,30.671,3819415.807
20160108,30.681,31.433,30.642,31.235,4238574.246
20160111,31.354,31.898,31.265,31.715,4681444.495
20160112,31.848,31.937,31.245,31.819,4889151.322
20160113,31.858,32.046,31.067,31.156,3504203.846
20160114,31.255,32.442,30.993,32.204,4308294.079
20160115,31.819,32.115,31.047,31.473,5121760.040
20160119,31.571,32.224,31.364,32.155,4261006.733
20160120,31.908,31.987,30.335,30.790,5783837.760
20160121,30.810,31.294,30.286,30.948,5002921.153
20160122,31.235,32.026,31.008,31.937,3201883.252
20160125,31.927,31.967,31.428,31.473,2726214.998
20160126,31.512,32.165,31.423,31.730,2746267.908
20160127,31.611,31.987,31.255,31.561,1846547.366
20160128,31.848,32.046,31.443,31.789,3682243.731
20160129,32.066,32.748,31.997,32.709,3480061.072
20160201,32.630,32.916,32.541,32.689,3845257.412
20160202,32.343,32.758,32.244,32.600,4590584.664
20160203,32.820,33.720,32.620,33.520,5501810.000
20160204,33.540,33.610,33.200,33.260,3497039.000
20160205,33.080,34.210,32.910,33.690,5237091.000
20160208,33.510,33.900,32.680,33.210,4857704.000
20160209,33.040,33.500,32.730,33.325,2683472.000
20160210,33.180,33.802,32.860,33.630,2688346.000
20160211,33.310,33.570,32.560,32.810,2646114.000
20160212,32.850,33.110,32.527,32.860,2807358.000
20160216,33.090,33.470,32.790,33.450,3175645.000
20160217,33.200,33.350,32.170,32.260,5184315.000
20160218,32.510,34.130,32.370,33.930,5894744.000
20160219,33.820,33.880,32.800,32.970,4879229.000
20160222,33.150,33.420,32.930,33.330,2730557.000
20160223,33.320,33.590,32.930,33.050,3219982.000
20160224,33.000,33.170,32.400,32.700,4561044.000
20160225,32.930,33.990,32.770,33.950,4184007.000
20160226,33.940,34.060,32.650,32.820,4007641.000
20160229,32.820,33.720,32.650,33.470,2804849.000
20160301,33.580,33.790,33.270,33.430,3247701.000
20160302,33.300,33.740,32.550,33.710,2286937.000
20160303,33.660,34.130,33.340,33.970,2256914.000
20160304,33.730,34.745,33.530,34.560,2532363.000
20160307,34.430,35.140,34.340,35.100,2320922.000
20160308,35.120,35.770,34.710,35.570,3269542.000
20160309,35.520,36.450,35.505,35.790,3899708.000
20160310,35.680,36.230,35.580,35.965,3511002.000
20160311,36.080,36.360,35.690,35.690,3101495.000
20160314,35.710,35.770,35.430,35.590,2221938.000
20160315,35.520,35.700,35.250,35.580,2540563.000
20160316,35.420,36.170,35.220,35.900,3567188.000
20160317,36.040,36.350,35.860,36.170,2320876.000
20160318,36.160,36.200,35.750,35.770,3434668.000
20160321,35.730,36.070,35.403,35.860,2809347.000
20160322,35.880,36.180,35.610,35.760,2716255.000
20160323,35.730,36.075,35.520,35.990,2628434.000
20160324,35.850,36.250,35.780,36.160,2688711.000
