Date,Open,High,Low,Close,Volume
20160104,95.600,97.700,94.680,96.860,1590809.000
20160105,95.660,96.700,95.500,96.530,1118541.000
20160106,95.410,96.420,94.620,95.040,929687.000
20160107,93.680,94.500,90.750,91.830,1465435.000
20160108,93.110,93.710,91.230,92.130,1133037.000
20160111,91.790,94.395,91.180,93.540,1627221.000
20160112,93.190,93.760,91.440,92.610,1473561.000
20160113,92.790,94.240,92.130,94.000,1642989.000
20160114,93.080,96.210,93.020,94.160,1901773.000
20160115,91.330,94.120,91.000,93.510,2190834.000
20160119,94.590,94.980,92.385,93.500,1695648.000
20160120,92.010,92.490,88.745,90.020,3003794.000
20160121,93.750,94.499,88.790,89.510,3881278.000
20160122,90.370,93.920,90.250,93.790,1883121.000
20160125,93.610,95.774,93.400,93.920,1708335.000
20160126,94.280,96.580,94.180,96.410,1409870.000
20160127,95.900,96.940,95.140,95.340,1672503.000
20160128,95.980,95.980,92.490,92.500,1801349.000
20160129,93.260,94.600,93.183,93.750,1233642.000
20160201,93.140,94.290,92.680,94.000,949277.000
20160202,91.530,93.300,90.810,90.930,1207689.000
20160203,91.500,92.420,89.640,91.160,949385.000
20160204,91.190,92.650,90.920,92.040,603660.000
20160205,91.760,92.250,89.830,90.210,1094865.000
20160208,89.790,89.940,87.110,88.190,1294977.000
20160209,87.590,88.835,86.850,87.600,863046.000
20160210,88.600,89.270,87.310,87.550,759206.000
20160211,86.790,87.600,86.260,86.970,1113083.000
20160212,87.640,88.060,86.900,87.790,746992.000
20160216,87.710,89.859,87.710,89.500,858675.000
20160217,90.020,91.780,89.670,91.510,1270187.000
20160218,92.190,92.770,91.220,91.870,755779.000
20160219,91.700,92.855,91.110,92.650,626131.000
20160222,93.220,94.930,92.900,94.570,649570.000
20160223,93.580,94.920,93.020,93.500,905736.000
20160224,92.830,94.420,91.350,94.310,786766.000
20160225,94.370,95.960,93.900,95.960,693409.000
20160226,96.300,97.720,96.210,97.110,763901.000
20160229,96.980,97.430,96.020,96.160,593326.000
20160301,96.730,98.760,96.470,98.700,748424.000
20160302,98.770,100.500,97.910,100.120,1045574.000
20160303,99.770,100.780,99.370,100.430,713821.000
20160304,100.730,100.780,99.440,99.790,503569.000
20160307,99.310,101.270,98.760,100.910,695348.000
20160308,100.510,100.830,99.250,99.770,472288.000
20160309,100.250,100.950,99.350,99.790,456151.000
20160310,100.000,100.340,97.350,98.480,600021.000
20160311,99.640,100.830,98.630,100.660,359580.000
20160314,99.970,100.715,99.130,99.430,404735.000
20160315,98.750,99.480,98.410,99.010,591793.000
20160316,98.500,100.320,98.030,99.780,417274.000
20160317,99.580,101.310,99.580,100.930,428594.000
20160318,101.090,102.420,100.040,102.310,596276.000
20160321,102.130,103.300,102.001,103.030,582718.000
20160322,102.050,106.860,102.050,104.360,1344022.000
20160323,104.350,104.700,102.700,102.980,578330.000
20160324,103.610,103.791,100.990,103.140,662601.000
