Date,Open,High,Low,Close,Volume
20160104,14.142,14.162,13.834,14.093,4147184.752
20160105,14.122,14.192,13.943,14.122,3853300.408
20160106,13.894,14.013,13.754,13.938,2868081.225
20160107,13.665,13.804,13.317,13.357,3987342.184
20160108,13.486,13.526,13.018,13.038,3152531.699
20160111,13.307,13.367,12.929,13.078,3560081.527
20160112,13.247,13.297,13.018,13.287,3631952.732
20160113,13.357,13.396,12.700,12.949,4082663.372
20160114,13.028,13.148,12.750,13.038,3677202.260
20160115,12.561,12.760,12.342,12.740,3231525.960
20160119,12.889,12.949,12.382,12.511,3446536.375
20160120,12.253,12.382,11.815,12.253,4576716.818
20160121,12.253,12.501,12.113,12.163,2686637.218
20160122,12.342,12.541,12.243,12.452,2946875.815
20160125,12.392,12.432,11.925,11.964,4524504.974
20160126,12.064,12.342,12.004,12.287,5758288.327
20160127,12.253,12.700,12.253,12.382,3956030.804
20160128,12.561,12.760,12.481,12.611,2398017.765
20160129,12.640,12.810,12.521,12.690,4465123.512
20160201,12.621,12.740,12.556,12.631,4687310.314
20160202,12.392,12.447,12.094,12.193,4141015.036
20160203,12.312,12.422,11.859,12.392,3727977.760
20160204,12.392,12.631,12.263,12.442,2041633.303
20160205,12.442,12.591,12.233,12.263,1959270.921
20160208,12.024,12.054,11.656,11.855,4368798.464
20160209,11.626,12.104,11.596,12.004,2547294.578
20160210,12.084,12.297,11.954,11.959,2511707.609
20160211,11.586,11.741,11.447,11.547,2388696.491
20160212,11.795,12.104,11.770,12.084,3259739.182
20160216,12.293,12.412,12.113,12.332,2397466.456
20160217,12.472,12.581,12.263,12.302,2490123.959
20160218,12.362,12.392,11.934,12.034,1911689.993
20160219,11.974,12.193,11.919,12.133,1416303.240
20160222,12.283,12.387,12.263,12.347,1297844.701
20160223,12.312,12.312,11.964,12.094,1855355.933
20160224,11.905,11.934,11.596,11.880,3615977.439
20160225,11.895,12.104,11.835,12.094,1523003.312
20160226,12.253,12.601,12.183,12.392,2801951.093
20160229,12.372,12.422,11.934,11.954,4368825.156
20160301,12.054,12.571,12.024,12.432,4119758.080
20160302,12.432,12.844,12.402,12.790,2506704.318
20160303,12.810,13.028,12.760,12.949,1914943.164
20160304,12.999,13.168,12.949,13.118,1860685.435
20160307,13.028,13.158,12.949,13.118,1326227.849
20160308,12.979,13.038,12.720,12.740,2065865.354
20160309,12.840,12.890,12.620,12.640,1071261.000
20160310,12.790,12.880,12.530,12.760,1368795.000
20160311,12.890,13.240,12.840,13.220,1192037.000
20160314,13.190,13.280,13.030,13.210,1375894.000
20160315,13.030,13.130,12.990,13.080,1262352.000
20160316,13.010,13.230,12.860,12.960,1849634.000
20160317,12.920,13.000,12.730,12.990,1845155.000
20160318,13.060,13.370,13.000,13.310,2901988.000
20160321,13.280,13.420,13.190,13.360,950703.000
20160322,13.260,13.370,13.140,13.305,1512943.000
20160323,13.280,13.345,13.080,13.080,1407329.000
20160324,12.970,13.040,12.800,13.040,1258889.000
