Date,Open,High,Low,Close,Volume
20160104,59.453,59.722,58.746,59.682,1824895.055
20160105,59.941,60.837,59.423,60.050,2108078.522
20160106,59.204,59.493,58.656,58.935,1279265.404
20160107,58.258,59.363,57.840,58.935,1930687.332
20160108,59.274,59.443,57.800,57.849,1703268.634
20160111,58.367,59.025,57.822,58.706,1625516.720
20160112,59.682,59.951,58.696,59.772,2494565.679
20160113,59.961,60.449,58.686,58.875,2122805.619
20160114,59.164,60.369,58.686,60.040,2714241.334
20160115,58.328,59.025,57.381,58.208,2828369.661
20160119,58.905,59.094,58.059,58.497,1179797.507
20160120,57.680,58.108,56.565,57.650,2265080.388
20160121,57.899,58.706,57.421,57.820,2461056.977
20160122,58.816,59.303,58.666,59.204,1838387.244
20160125,58.925,59.403,58.517,58.626,1158359.796
20160126,58.766,59.841,58.507,59.811,1159963.171
20160127,59.622,60.160,58.208,58.586,1791491.993
20160128,59.054,59.254,57.820,57.969,1553916.137
20160129,58.357,59.508,58.039,59.423,1761429.255
20160201,59.134,60.782,58.965,60.409,1627046.367
20160202,59.752,59.891,59.054,59.313,1054693.549
20160203,59.353,59.702,58.616,59.403,1361220.456
20160204,59.214,60.020,59.189,59.921,1351161.006
20160205,59.602,60.150,58.049,58.298,1791818.105
20160208,57.501,57.556,54.877,55.813,3975048.208
20160209,57.411,59.084,56.147,57.720,5280208.762
20160210,57.650,58.437,57.083,57.152,2848945.824
20160211,55.967,56.654,55.758,56.226,1659327.259
20160212,56.864,57.391,56.555,57.342,1367595.042
20160216,58.268,58.726,57.959,58.417,2452262.866
20160217,58.865,59.303,58.586,59.283,2184144.289
20160218,59.264,59.513,58.676,58.915,1127533.040
20160219,58.925,59.503,58.417,59.443,1569224.697
20160222,59.662,60.449,59.408,59.732,1555433.350
20160223,59.413,59.742,58.656,58.746,1618601.198
20160224,58.268,58.985,57.561,58.925,1452977.772
20160225,59.084,59.821,58.686,59.811,1471979.155
20160226,59.931,60.359,59.144,59.244,1692204.762
20160229,59.184,59.473,57.989,57.999,2043246.113
20160301,58.566,59.762,58.457,59.752,2027744.847
20160302,59.712,59.742,59.104,59.672,1470905.563
20160303,59.602,60.220,59.244,60.080,1766026.344
20160304,60.080,60.588,59.702,60.558,2509603.287
20160307,60.190,60.409,59.587,59.811,1672126.930
20160308,59.283,59.513,58.885,58.935,1277850.322
20160309,59.274,59.801,58.865,59.782,1786748.255
20160310,59.991,61.494,59.821,61.315,4157560.867
20160311,61.564,62.749,61.006,62.540,3715501.299
20160314,62.480,62.660,61.913,62.540,2256840.591
20160315,62.040,62.700,61.820,62.430,1303003.000
20160316,62.320,63.000,62.160,62.770,1390258.000
20160317,62.730,63.370,62.530,63.060,1600755.000
20160318,61.930,62.850,61.250,62.560,8019078.000
20160321,62.360,62.928,62.190,62.760,2091040.000
20160322,62.500,62.750,62.370,62.440,1254366.000
20160323,62.490,63.030,62.200,62.880,2103156.000
20160324,62.670,62.775,61.950,62.620,1362143.000
