Date,Open,High,Low,Close,Volume
20160104,89.990,90.990,88.110,89.500,1456049.000
20160105,89.410,90.240,89.280,89.910,1021885.000
20160106,88.560,89.610,88.500,89.230,941179.000
20160107,86.410,88.730,85.940,88.210,1634028.000
20160108,88.240,89.020,87.100,87.530,1314977.000
20160111,87.850,88.360,87.280,87.940,1287698.000
20160112,88.070,89.480,87.680,89.280,985618.000
20160113,89.540,89.560,86.660,86.830,924886.000
20160114,87.170,89.830,86.790,89.010,1279719.000
20160115,86.210,87.960,86.020,87.330,1200427.000
20160119,87.930,89.460,87.770,89.040,1541196.000
20160120,87.650,89.670,86.330,88.950,1884681.000
20160121,89.390,90.550,88.570,89.640,1237699.000
20160122,90.980,91.860,90.370,91.480,839185.000
20160125,90.400,91.500,89.960,90.160,1154960.000
20160126,90.520,91.870,90.090,91.400,757629.000
20160127,91.180,92.270,90.190,90.470,935612.000
20160128,91.200,91.950,90.270,91.020,858848.000
20160129,91.600,94.640,91.270,94.550,1034997.000
20160201,93.550,94.930,93.340,94.360,1338209.000
20160202,93.910,93.910,92.570,93.030,1031939.000
20160203,95.010,95.210,92.690,94.790,2461522.000
20160204,95.020,96.560,94.620,96.530,1452912.000
20160205,92.290,96.480,92.290,94.600,1361488.000
20160208,93.580,94.740,90.490,91.810,1981424.000
20160209,91.340,92.940,90.920,92.100,1472709.000
20160210,93.170,94.360,92.540,92.710,789619.000
20160211,90.930,92.290,90.600,91.680,1371731.000
20160212,93.390,93.400,92.410,93.070,997799.000
20160216,93.960,94.770,93.130,94.350,1361302.000
20160217,95.000,96.250,94.350,95.860,1880488.000
20160218,96.040,96.650,95.550,96.320,1032719.000
20160219,96.070,96.790,95.362,96.660,1328160.000
20160222,96.920,98.310,96.890,97.910,902782.000
20160223,97.800,98.090,97.110,97.200,1477247.000
20160224,96.710,98.460,95.820,98.300,895518.000
20160225,98.500,99.480,97.720,99.470,850862.000
20160226,99.590,99.900,97.570,98.000,792661.000
20160229,97.670,98.270,95.500,95.640,1842899.000
20160301,96.720,98.340,96.350,98.340,1610873.000
20160302,98.240,98.970,96.600,97.290,818785.000
20160303,96.830,97.340,96.470,97.280,935947.000
20160304,97.630,97.730,96.440,97.160,964867.000
20160307,96.880,97.150,96.110,96.570,829964.000
20160308,96.290,96.810,95.740,95.830,1044726.000
20160309,96.350,96.700,95.990,96.460,886746.000
20160310,96.980,98.020,95.590,96.440,696193.000
20160311,97.420,98.200,96.840,98.150,641609.000
20160314,97.840,98.640,97.580,98.410,792034.000
20160315,97.870,98.840,97.744,98.840,598980.000
20160316,98.060,100.020,98.060,99.930,857341.000
20160317,99.480,100.990,99.480,100.610,890017.000
20160318,101.080,101.690,99.640,101.570,1998876.000
20160321,100.630,101.220,99.755,100.420,1222854.000
20160322,99.950,100.840,99.700,99.930,1161726.000
20160323,99.870,101.010,99.370,100.310,818001.000
20160324,100.000,100.530,99.040,99.760,817881.000
