Date,Open,High,Low,Close,Volume
20160104,64.206,65.072,63.797,65.043,1984724.008
20160105,65.321,66.716,65.112,65.979,1950515.746
20160106,64.993,66.297,64.206,65.003,2185115.285
20160107,63.768,65.999,63.748,64.186,3098402.518
20160108,65.192,65.242,62.413,62.443,3529636.799
20160111,62.672,63.429,61.526,62.363,2567603.984
20160112,63.110,63.519,61.875,63.150,1592525.646
20160113,63.430,63.430,61.340,61.640,2209916.000
20160114,61.210,62.360,60.360,61.550,2747807.000
20160115,60.190,60.980,59.010,60.640,2806649.000
20160119,61.300,63.750,61.240,62.795,3844217.000
20160120,62.010,62.820,59.760,62.230,4941777.000
20160121,61.820,65.090,61.710,64.560,3042167.000
20160122,64.960,65.610,64.500,65.200,2058273.000
20160125,65.350,65.500,64.300,64.450,1564601.000
20160126,65.740,66.760,65.220,66.140,2517977.000
20160127,65.640,66.900,65.371,65.730,2266234.000
20160128,66.800,67.540,65.830,67.330,2192271.000
20160129,67.650,68.500,67.220,67.590,1854605.000
20160201,67.580,69.500,67.230,69.110,1988161.000
20160202,68.900,69.650,68.700,69.120,2074862.000
20160203,69.040,69.570,67.004,68.500,2147790.000
20160204,67.350,68.710,67.044,68.060,1924697.000
20160205,67.890,68.000,65.740,65.800,2275929.000
20160208,65.390,65.500,63.110,64.490,2476596.000
20160209,63.640,64.990,62.720,63.655,1699058.000
20160210,64.280,64.880,63.820,64.000,1636790.000
20160211,63.310,64.460,62.990,63.980,2117366.000
20160212,64.650,66.110,64.020,65.966,1529552.000
20160216,66.610,68.030,66.200,67.680,1678469.000
20160217,67.960,68.360,66.760,67.640,1812435.000
20160218,67.680,67.802,66.260,66.995,1876516.000
20160219,66.500,67.760,65.650,67.510,2289997.000
20160222,68.220,68.450,67.040,67.250,1969247.000
20160223,67.660,68.150,65.260,66.220,3494982.000
20160224,66.230,67.070,64.510,66.760,3600507.000
20160225,67.210,68.000,66.230,67.020,5993371.000
20160226,65.760,66.890,63.780,64.120,8365741.000
20160229,64.140,64.470,62.270,62.470,6159564.000
20160301,62.580,63.770,62.430,63.480,3421433.000
20160302,63.650,64.060,63.280,63.590,2316929.000
20160303,63.570,63.720,62.360,63.240,2323539.000
20160304,63.240,63.470,62.020,63.000,2603081.000
20160307,62.460,63.490,62.050,62.360,1789797.000
20160308,62.130,64.000,62.030,63.450,3102529.000
20160309,63.550,63.690,62.530,62.720,1665109.000
20160310,62.910,64.450,62.760,63.390,1701899.000
20160311,63.660,64.240,63.334,64.140,1478739.000
20160314,63.770,64.370,63.560,64.270,1185607.000
20160315,64.250,64.930,63.090,63.130,1727908.000
20160316,63.070,63.790,62.880,63.520,1922116.000
20160317,63.330,65.290,63.160,65.130,1951696.000
20160318,64.190,65.400,63.570,65.230,1771327.000
20160321,65.220,67.140,65.030,66.660,3213345.000
20160322,66.640,67.270,66.170,66.200,1948609.000
20160323,64.850,64.850,62.710,63.780,3922745.000
20160324,63.730,63.830,63.120,63.470,1680531.000
