Date,Open,High,Low,Close,Volume
20160104,28.238,28.736,27.949,28.636,1232397.624
20160105,30.160,31.295,29.841,30.180,2465201.729
20160106,29.672,30.399,29.582,30.329,1585979.452
20160107,29.771,30.110,29.682,29.911,1379445.188
20160108,30.110,30.518,29.841,30.160,1994515.113
20160111,30.230,31.141,30.160,31.046,2788168.700
20160112,31.166,31.355,30.688,30.987,1863429.399
20160113,30.987,31.534,30.977,31.166,3041353.082
20160114,31.206,31.734,31.017,31.614,2228216.244
20160115,31.106,31.644,30.877,31.126,2402869.106
20160119,31.674,31.853,29.753,30.110,2212057.978
20160120,29.811,30.285,29.164,30.070,2119904.528
20160121,30.130,30.618,29.702,29.702,1781022.466
20160122,30.190,30.449,29.981,30.299,1079037.430
20160125,30.250,30.558,29.981,30.050,1266403.547
20160126,30.150,30.409,29.164,29.383,1815704.773
20160127,29.194,29.333,28.646,28.775,1854187.779
20160128,28.994,29.194,28.138,28.377,1319777.518
20160129,28.486,29.194,27.869,29.114,2570931.611
20160201,28.935,29.373,28.626,29.224,1100346.528
20160202,29.054,29.164,28.437,28.457,605258.011
20160203,28.756,28.885,28.178,28.367,1168106.091
20160204,28.427,28.885,28.377,28.561,831692.213
20160205,27.441,28.576,27.441,28.247,651415.209
20160208,26.544,27.690,26.395,27.481,1463973.521
20160209,27.321,28.731,27.212,28.656,1747253.451
20160210,28.825,29.044,28.387,28.397,1867361.853
20160211,27.700,29.074,27.202,28.506,1899580.791
20160212,28.477,29.483,27.869,29.184,2030200.632
20160216,29.512,30.299,29.196,30.130,1063628.517
20160217,30.330,30.950,30.030,30.875,1066669.000
20160218,31.000,31.410,30.440,30.470,757598.000
20160219,30.330,31.110,29.110,30.830,1453445.000
20160222,31.750,31.760,30.773,31.180,1024055.000
20160223,30.930,31.520,30.740,31.150,865253.000
20160224,30.970,31.290,30.700,31.250,609901.000
20160225,31.250,31.480,30.450,31.020,755687.000
20160226,31.210,31.280,30.820,31.050,501186.000
20160229,31.050,31.340,30.883,30.960,671748.000
20160301,31.140,32.160,30.950,31.930,1029692.000
20160302,31.830,32.100,31.595,31.790,595166.000
20160303,31.760,32.380,31.630,32.310,638858.000
20160304,32.210,32.610,32.100,32.360,593535.000
20160307,32.270,32.563,32.000,32.420,617070.000
20160308,32.170,32.250,31.470,31.560,671521.000
20160309,31.780,32.150,31.780,31.990,455833.000
20160310,32.020,32.300,30.990,31.390,581194.000
20160311,31.590,32.120,31.510,32.070,452353.000
20160314,31.970,32.150,31.840,31.960,419727.000
20160315,31.730,31.850,31.480,31.750,433649.000
20160316,31.830,32.150,31.580,32.020,465755.000
20160317,31.960,32.470,31.940,32.400,339220.000
20160318,32.510,32.780,32.090,32.470,633089.000
20160321,32.450,33.430,32.250,33.360,682254.000
20160322,33.150,33.740,32.990,33.710,1042361.000
20160323,33.720,33.750,33.120,33.370,784241.000
20160324,33.200,33.330,32.870,33.110,490083.000
