Date,Open,High,Low,Close,Volume
20160104,41.233,41.861,40.735,41.851,843348.461
20160105,41.861,41.901,40.586,40.974,885647.645
20160106,40.138,40.576,39.819,40.118,1908321.075
20160107,39.490,39.570,38.853,39.132,1922955.162
20160108,38.813,39.331,37.827,37.887,1427613.328
20160111,37.967,38.096,37.130,37.658,1279202.990
20160112,38.116,38.285,37.080,37.867,1208665.161
20160113,38.096,38.634,37.210,37.249,1553367.377
20160114,37.439,37.618,36.582,37.020,2219066.392
20160115,35.905,36.084,35.517,35.860,2399222.593
20160119,35.915,36.672,34.760,35.248,1270508.974
20160120,34.471,35.586,33.724,35.387,2496693.262
20160121,35.248,36.194,34.755,35.686,1727762.907
20160122,36.602,37.389,36.323,36.851,1695522.401
20160125,36.652,36.851,35.726,35.785,1003266.091
20160126,36.483,37.339,36.034,37.210,1157052.698
20160127,37.160,37.897,36.652,36.861,1156014.069
20160128,37.628,38.355,36.771,37.369,1046659.255
20160129,37.588,38.544,37.469,38.495,852425.805
20160201,37.897,38.375,36.961,38.196,949811.630
20160202,35.108,37.170,35.108,36.901,2746995.512
20160203,37.329,38.355,36.702,38.265,1487449.132
20160204,38.335,40.984,37.758,40.138,2321844.283
20160205,39.939,40.845,39.651,40.566,1201799.429
20160208,39.968,40.666,39.570,40.227,1054787.102
20160209,39.451,40.247,39.182,39.441,931952.800
20160210,39.281,40.038,38.714,39.052,874962.383
20160211,38.245,39.919,37.996,39.640,1526290.421
20160212,40.198,41.403,39.949,40.636,1035960.405
20160216,41.214,41.791,40.357,41.761,1243977.018
20160217,42.030,43.245,41.896,42.996,1465057.665
20160218,43.046,43.176,42.459,42.966,1108038.520
20160219,42.070,42.070,40.357,41.224,2209432.380
20160222,41.512,43.126,41.343,43.126,1510857.139
20160223,42.847,43.425,42.040,42.050,894951.120
20160224,41.333,41.811,40.477,41.731,1158966.249
20160225,41.950,42.190,41.064,41.443,1586700.283
20160226,42.020,42.668,41.462,42.120,1285613.692
20160229,42.070,42.538,41.831,41.841,1265994.978
20160301,42.459,42.927,41.741,42.638,987363.618
20160302,42.528,42.986,42.299,42.927,1444373.422
20160303,42.887,43.504,42.737,43.345,1012877.496
20160304,43.554,44.480,43.156,43.962,709726.634
20160307,43.903,45.456,43.604,45.426,1050770.937
20160308,44.919,44.948,43.813,43.843,1453463.059
20160309,44.181,44.191,43.564,43.763,451282.908
20160310,43.793,43.813,42.927,43.723,951868.038
20160311,44.291,45.048,44.172,44.988,814942.127
20160314,44.610,45.357,44.550,44.998,1192120.433
20160315,44.460,44.460,43.340,43.733,744954.350
20160316,43.733,44.759,43.425,44.441,1657601.329
20160317,44.600,46.014,44.600,45.815,1844199.561
20160318,46.104,46.920,46.019,46.632,1303169.752
20160321,46.393,47.140,46.363,47.030,873775.631
20160322,46.690,47.220,46.670,46.690,722711.000
20160323,46.380,46.470,44.450,44.460,1361480.000
20160324,43.960,44.140,43.330,44.130,1822576.000
