Date,Open,High,Low,Close,Volume
20160104,35.620,35.620,33.657,34.290,3208207.000
20160105,34.520,34.530,32.830,33.380,2604110.000
20160106,32.840,33.730,32.520,32.610,1532459.000
20160107,32.200,33.070,31.460,32.050,1594670.000
20160108,32.330,32.410,29.900,29.910,1894578.000
20160111,30.330,30.820,29.980,30.650,2802776.000
20160112,31.530,31.960,30.380,30.610,1705439.000
20160113,30.690,30.980,29.530,29.720,978661.000
20160114,29.870,30.465,28.830,30.090,2097768.000
20160115,29.010,30.756,28.814,30.560,1766938.000
20160119,31.060,31.090,28.260,28.910,1269104.000
20160120,28.440,30.770,28.280,30.440,1440043.000
20160121,30.630,32.170,30.130,31.370,1697850.000
20160122,31.800,32.310,30.270,30.670,1083416.000
20160125,30.550,31.180,30.160,30.260,828464.000
20160126,30.570,31.440,30.410,31.360,659575.000
20160127,31.210,32.010,31.030,31.270,581542.000
20160128,31.710,32.230,31.120,31.450,630608.000
20160129,31.680,32.615,31.680,32.600,882278.000
20160201,32.190,33.250,31.390,32.750,1262575.000
20160202,33.750,34.840,32.200,32.790,1980252.000
20160203,32.810,34.060,32.070,33.830,1025749.000
20160204,33.300,34.570,33.180,34.400,1272540.000
20160205,33.730,34.670,33.730,34.620,1495871.000
20160208,34.140,35.245,33.020,34.050,2018336.000
20160209,33.660,34.110,33.090,33.670,1069643.000
20160210,33.150,33.550,32.290,33.310,1090621.000
20160211,32.710,33.170,31.870,32.540,1319102.000
20160212,32.810,33.520,31.840,33.320,1368050.000
20160216,33.860,35.140,33.500,34.450,1909692.000
20160217,39.290,45.689,39.000,44.300,11529669.000
20160218,44.050,45.440,42.660,44.750,3186483.000
20160219,43.990,44.540,42.500,44.350,1944574.000
20160222,44.340,46.310,44.160,45.950,1561363.000
20160223,46.170,46.980,45.760,46.010,1035925.000
20160224,45.440,46.330,44.960,45.940,1028768.000
20160225,46.210,46.540,45.210,46.410,777387.000
20160226,46.520,47.250,46.410,47.030,690697.000
20160229,46.900,47.540,46.610,46.910,857129.000
20160301,47.360,47.583,46.430,47.490,1007218.000
20160302,47.310,49.270,47.300,49.250,1247658.000
20160303,49.130,51.250,49.000,50.360,1711404.000
20160304,50.230,51.930,50.010,51.200,1023246.000
20160307,50.580,51.770,50.470,50.910,1303549.000
20160308,50.590,50.860,48.910,49.185,1027191.000
20160309,49.730,49.930,48.050,49.090,1065927.000
20160310,49.050,49.590,48.210,48.900,836742.000
20160311,49.430,49.890,49.200,49.760,592124.000
20160314,49.090,49.860,48.980,49.580,761424.000
20160315,49.230,49.380,46.590,46.850,1206592.000
20160316,44.540,44.950,43.510,44.620,2268080.000
20160317,45.090,46.060,44.470,45.350,1212397.000
20160318,45.730,46.090,44.820,45.360,1103701.000
20160321,45.430,46.270,45.400,45.870,803346.000
20160322,45.740,45.800,44.310,45.150,754027.000
20160323,44.710,44.950,43.560,43.590,677876.000
20160324,43.310,44.040,42.870,43.980,561773.000
