Date,Open,High,Low,Close,Volume
20160104,26.616,26.676,26.219,26.457,4996079.891
20160105,26.428,26.607,26.298,26.448,4073600.879
20160106,26.169,26.656,26.010,26.363,7658958.754
20160107,25.940,26.358,25.731,25.781,4161223.246
20160108,25.920,26.179,25.721,25.791,3731887.167
20160111,25.970,26.030,25.572,25.861,2783963.163
20160112,25.950,26.378,25.791,26.318,3518780.430
20160113,26.248,26.487,25.572,25.682,4066362.405
20160114,25.851,27.004,25.761,26.627,10179885.662
20160115,26.070,26.408,25.731,26.020,4912033.585
20160119,26.288,26.676,26.000,26.438,3763789.886
20160120,26.010,26.149,24.891,25.612,6517122.610
20160121,25.682,25.900,25.353,25.493,4360896.979
20160122,25.920,26.328,25.910,26.268,3153207.118
20160125,26.089,26.169,25.831,25.875,2982011.198
20160126,25.940,26.835,25.940,26.805,3052531.871
20160127,26.786,27.146,26.318,26.442,3257600.675
20160128,26.607,26.746,25.881,26.089,2676780.750
20160129,26.259,27.014,26.259,26.950,2602565.914
20160201,26.676,27.084,26.537,26.965,2381503.687
20160202,26.587,26.636,25.841,25.920,2960055.045
20160203,26.040,26.467,25.701,26.358,6189741.260
20160204,26.408,26.845,26.010,26.099,3650311.591
20160205,25.960,26.089,24.866,24.906,4510224.781
20160208,24.587,24.657,23.961,24.408,5711050.088
20160209,23.056,24.389,22.529,24.080,9784582.000
20160210,24.130,24.945,23.384,24.339,5135549.917
20160211,23.881,24.752,23.817,24.578,4178684.841
20160212,24.945,24.945,24.140,24.538,2320708.698
20160216,24.995,25.512,24.826,25.493,3237201.224
20160217,25.662,26.507,25.612,26.323,4109314.336
20160218,26.199,26.378,25.841,26.268,3116118.334
20160219,26.059,26.656,25.940,26.547,3105370.816
20160222,26.855,27.472,26.786,27.164,4253528.398
20160223,26.945,27.273,26.825,26.885,2787438.452
20160224,26.428,27.233,26.348,27.178,1894581.857
20160225,27.313,27.421,26.766,27.243,1711702.099
20160226,27.372,27.482,27.054,27.064,1734844.754
20160229,27.024,27.248,26.920,27.024,2038852.025
20160301,27.283,27.910,27.164,27.875,2695252.420
20160302,27.840,27.930,27.372,27.522,1999488.161
20160303,27.452,27.860,27.402,27.840,1618343.950
20160304,27.939,27.939,27.333,27.830,2731640.210
20160307,27.640,28.280,27.600,28.140,1772055.000
20160308,27.960,28.120,27.670,27.840,3240526.000
20160309,27.940,28.185,27.800,28.080,2265801.000
20160310,28.160,28.220,27.720,27.990,3041950.000
20160311,28.170,28.420,28.060,28.190,3318258.000
20160314,28.140,28.260,27.940,28.135,2714638.000
20160315,27.920,28.140,27.890,28.110,1777603.000
20160316,27.990,28.590,27.870,28.190,6321263.000
20160317,28.140,28.630,28.060,28.200,5004426.000
20160318,28.210,28.350,27.910,28.200,8510248.000
20160321,28.220,28.330,27.980,28.030,1746102.000
20160322,27.920,28.140,27.780,28.000,1061744.000
20160323,28.020,28.080,27.820,28.000,2567621.000
20160324,27.900,28.115,27.740,28.010,2560135.000
