Date,Open,High,Low,Close,Volume
20160104,26.556,26.616,26.153,26.437,11023821.562
20160105,26.337,26.606,26.297,26.437,9229272.354
20160106,26.347,26.879,26.029,26.581,14276635.510
20160107,26.059,26.397,25.740,25.750,15178518.648
20160108,25.929,26.198,25.691,25.760,11079645.210
20160111,25.929,26.014,25.477,25.740,8977978.530
20160112,25.890,26.412,25.730,26.277,10448329.350
20160113,26.208,26.486,25.621,25.735,11827621.740
20160114,25.890,26.944,25.725,26.407,15227195.980
20160115,25.621,26.218,25.581,25.959,14183621.940
20160119,26.427,26.621,25.959,26.228,12266822.140
20160120,25.820,26.029,24.805,25.517,20669448.860
20160121,25.591,25.820,25.253,25.383,19550002.530
20160122,25.870,26.322,25.810,26.238,14417122.510
20160125,26.059,26.158,25.830,25.850,11554549.193
20160126,25.939,26.795,25.939,26.755,9034586.910
20160127,26.735,27.163,26.332,26.447,9507545.490
20160128,26.645,26.695,25.830,25.989,13167335.470
20160129,26.307,26.914,26.188,26.795,11526781.010
20160201,26.695,26.994,26.511,26.825,8279820.570
20160202,26.456,26.506,25.815,25.850,9958152.150
20160203,26.118,26.466,25.730,26.357,15299905.570
20160204,26.486,26.864,25.810,25.939,15945726.930
20160205,25.890,25.959,24.865,24.930,16135557.570
20160208,24.646,24.676,23.970,24.457,16749380.800
20160209,22.975,24.597,22.538,24.000,30266584.370
20160210,23.771,24.974,23.254,24.199,24552908.340
20160211,23.721,24.785,23.721,24.557,18083856.060
20160212,24.895,25.004,24.079,24.418,11992638.658
20160216,24.796,25.472,24.547,25.472,9137182.823
20160217,25.850,26.606,25.581,26.317,14395027.349
20160218,26.297,26.407,25.810,26.258,10543651.678
20160219,26.009,26.631,25.919,26.476,10390497.568
20160222,26.685,27.471,26.685,27.202,10851230.180
20160223,27.003,27.282,26.775,26.810,10202365.259
20160224,26.566,27.232,26.307,27.173,8282124.615
20160225,27.332,27.332,26.720,27.232,7755638.653
20160226,27.352,27.471,26.924,26.934,8088011.614
20160229,26.984,27.073,26.735,26.869,8574575.704
20160301,27.043,27.759,26.984,27.650,9182762.277
20160302,27.779,27.784,27.272,27.436,7213108.082
20160303,27.362,27.710,27.332,27.690,7070665.998
20160304,27.710,27.779,27.212,27.650,8121418.736
20160307,27.460,28.150,27.460,27.900,8563292.000
20160308,27.790,27.900,27.380,27.450,9796779.000
20160309,27.620,27.790,27.410,27.700,7467022.000
20160310,27.510,27.840,27.200,27.460,8596184.000
20160311,27.640,27.950,27.540,27.910,7830473.000
20160314,27.770,27.930,27.625,27.820,4236519.000
20160315,27.630,27.830,27.545,27.830,5410071.000
20160316,27.410,28.250,27.410,28.130,8981054.000
20160317,27.780,28.540,27.780,28.180,8795958.000
20160318,28.250,28.400,27.900,28.215,12542138.000
20160321,28.280,28.500,27.940,27.970,5309508.000
20160322,27.860,28.150,27.735,27.960,6412583.000
20160323,27.970,28.060,27.720,27.790,5458791.000
20160324,27.580,27.845,27.550,27.740,5222086.000
