Date,Open,High,Low,Close,Volume
20160104,144.284,144.716,142.574,143.916,382874.059
20160105,144.254,146.142,143.901,145.645,451272.799
20160106,145.218,146.649,144.890,146.620,248415.384
20160107,144.403,145.657,144.065,144.214,287004.959
20160108,145.009,145.486,143.717,144.443,460439.813
20160111,144.950,146.207,144.333,145.377,295725.123
20160112,146.480,146.480,144.373,145.586,339662.368
20160113,145.755,147.534,144.731,145.983,547950.860
20160114,146.232,147.584,145.635,146.172,323639.611
20160115,145.427,146.580,143.459,145.834,358019.404
20160119,146.351,148.389,146.063,147.385,467584.346
20160120,145.655,146.928,140.934,144.622,428349.656
20160121,145.357,147.295,144.085,144.751,441434.599
20160122,146.580,150.327,145.854,149.422,332576.131
20160125,148.717,149.611,146.172,147.902,809754.773
20160126,147.981,149.571,147.633,149.214,820144.290
20160127,149.134,149.134,146.182,147.176,585317.888
20160128,147.285,148.508,145.546,146.987,599244.913
20160129,147.991,151.062,147.017,150.993,1429212.490
20160201,150.078,152.384,149.333,151.072,857324.442
20160202,151.162,151.997,148.120,149.492,647444.309
20160203,149.651,151.957,149.104,151.420,593782.467
20160204,150.605,151.902,149.223,150.535,470273.786
20160205,149.760,150.983,148.657,149.790,587089.779
20160208,148.160,148.786,144.125,146.301,442903.687
20160209,145.228,147.534,144.274,146.013,639789.373
20160210,145.109,147.792,143.628,145.785,641676.979
20160211,143.340,145.387,143.340,143.797,461367.304
20160212,146.192,147.136,142.783,143.986,605288.861
20160216,144.234,148.071,144.020,147.961,502660.334
20160217,148.528,149.621,146.818,147.226,547730.620
20160218,147.434,147.693,145.536,147.087,517522.156
20160219,146.401,147.424,145.606,146.033,987640.008
20160222,147.196,148.528,146.421,146.719,351733.127
20160223,146.580,148.975,146.233,146.490,362151.749
20160224,144.990,147.136,144.990,145.775,373280.541
20160225,146.818,149.730,146.689,149.522,845517.217
20160226,149.691,149.691,147.474,147.534,336322.977
20160229,147.762,149.233,147.116,147.166,286430.407
20160301,147.564,150.446,147.444,150.396,259489.995
20160302,147.971,149.537,147.882,149.333,572981.567
20160303,149.621,150.217,148.150,149.323,506296.523
20160304,149.164,149.452,147.693,148.727,532877.822
20160307,148.339,149.035,147.594,148.259,394247.553
20160308,148.468,149.333,147.753,148.895,388955.339
20160309,149.363,150.123,148.200,148.687,291867.593
20160310,149.402,150.516,147.961,149.532,253501.421
20160311,150.893,151.400,150.227,151.340,239978.887
20160314,151.082,154.034,150.615,152.016,322599.248
20160315,151.122,153.572,150.277,153.050,272370.671
20160316,152.770,155.570,151.710,154.900,379405.000
20160317,155.680,159.790,154.840,159.050,533728.000
20160318,159.150,159.640,155.470,155.640,509142.000
20160321,155.390,156.540,154.010,154.040,342846.000
20160322,154.080,154.340,153.000,153.690,351443.000
20160323,153.710,154.220,152.030,152.090,457365.000
20160324,151.930,152.570,151.220,152.350,439860.000
