Date,Open,High,Low,Close,Volume
20160104,28.880,29.240,28.350,29.230,2277010.000
20160105,29.140,29.270,28.484,28.820,2158919.000
20160106,28.040,28.300,26.760,27.110,4726344.000
20160107,26.550,27.415,26.370,26.840,4923083.000
20160108,27.210,27.210,25.975,25.990,3316834.000
20160111,26.120,26.180,25.220,25.430,3033615.000
20160112,26.200,26.200,24.720,25.240,4027928.000
20160113,25.530,25.750,24.745,24.750,4314297.000
20160114,24.950,25.620,24.550,25.500,3936791.000
20160115,24.480,24.800,24.090,24.330,4765958.000
20160119,24.490,24.560,23.570,23.940,3762172.000
20160120,23.340,23.880,22.840,23.580,5197412.000
20160121,23.360,24.420,23.230,23.770,3988406.000
20160122,24.810,24.980,23.680,24.310,5450880.000
20160125,23.610,24.550,23.370,23.380,4382068.000
20160126,24.000,24.250,23.520,23.930,3344268.000
20160127,23.840,24.500,23.650,23.920,3949875.000
20160128,24.970,25.130,23.950,24.320,4595227.000
20160129,24.350,25.150,24.150,25.140,6212617.000
20160201,25.050,25.140,24.220,24.770,4853270.000
20160202,23.530,24.220,23.530,23.630,3031463.000
20160203,23.940,24.400,22.910,24.060,5908462.000
20160204,24.350,25.450,24.040,24.290,5896809.000
20160205,23.820,24.380,23.540,23.805,4982075.000
20160208,23.390,23.720,23.160,23.630,5390751.000
20160209,23.240,23.510,22.520,22.980,4497575.000
20160210,22.880,23.610,22.705,23.160,5463144.000
20160211,22.740,23.140,22.300,22.770,4354801.000
20160212,23.100,23.710,22.980,23.120,8770746.000
20160216,23.530,23.650,23.040,23.470,8551972.000
20160217,26.190,26.830,24.930,25.140,13994875.000
20160218,25.410,25.410,24.435,24.840,5752294.000
20160219,24.630,25.170,24.300,25.160,3934699.000
20160222,26.250,26.250,25.260,25.320,3365168.000
20160223,25.120,25.300,24.190,24.200,2629616.000
20160224,23.790,24.510,23.520,24.470,3271737.000
20160225,24.460,24.620,23.270,23.850,2826498.000
20160226,24.360,24.850,24.120,24.525,2693067.000
20160229,24.540,24.880,24.230,24.520,5013975.000
20160301,24.820,25.560,24.660,25.380,2813542.000
20160302,25.240,25.770,24.700,25.750,2555946.000
20160303,25.720,26.470,25.620,26.430,3210622.000
20160304,26.540,26.660,25.350,25.700,5420906.000
20160307,25.600,26.670,25.440,26.630,6139995.000
20160308,26.390,26.390,23.990,24.350,7118029.000
20160309,24.640,25.670,23.680,25.270,4694775.000
20160310,25.120,25.540,24.820,25.370,3252094.000
20160311,26.160,27.590,26.110,27.530,5542447.000
20160314,27.040,27.530,26.820,27.170,3836550.000
20160315,26.770,26.850,26.220,26.780,2487035.000
20160316,26.870,27.192,26.540,27.060,2256239.000
20160317,27.360,27.710,27.070,27.590,2334382.000
20160318,27.800,27.880,27.425,27.540,4543232.000
20160321,27.300,27.870,27.160,27.830,2218900.000
20160322,27.400,27.950,27.230,27.440,1921980.000
20160323,27.190,27.540,26.860,26.870,2145763.000
20160324,26.350,27.030,26.110,26.970,1914869.000
