Date,Open,High,Low,Close,Volume
20160104,4.514,4.632,4.485,4.554,8888731.361
20160105,4.544,4.652,4.524,4.632,6655577.137
20160106,4.573,4.691,4.554,4.667,10721324.410
20160107,4.632,4.701,4.593,4.603,12041261.286
20160108,4.652,4.681,4.554,4.593,13325485.352
20160111,4.593,4.632,4.387,4.426,14042505.882
20160112,4.456,4.485,4.289,4.289,15525666.056
20160113,4.318,4.367,4.053,4.093,26028512.210
20160114,4.132,4.289,3.886,4.289,21266510.978
20160115,4.142,4.210,4.034,4.156,24568699.510
20160119,4.200,4.240,4.083,4.117,14631182.624
20160120,4.024,4.073,3.739,3.867,28471966.120
20160121,3.936,4.024,3.828,3.926,29033075.680
20160122,4.014,4.279,3.994,4.279,23137642.994
20160125,4.259,4.318,4.112,4.122,12924593.167
20160126,4.132,4.377,4.112,4.338,11156375.305
20160127,4.328,4.426,4.269,4.367,13607514.388
20160128,4.407,4.456,4.338,4.416,9652038.002
20160129,4.446,4.495,4.416,4.465,10417723.023
20160201,4.554,4.554,4.367,4.495,9181230.880
20160202,4.436,4.456,4.259,4.269,12085281.531
20160203,4.338,4.554,4.299,4.514,15482298.305
20160204,4.603,4.799,4.534,4.608,25978383.850
20160205,4.603,4.770,4.524,4.593,22710615.190
20160208,4.544,4.573,4.132,4.230,17533314.130
20160209,4.171,4.279,4.004,4.230,21752709.820
20160210,4.279,4.289,4.029,4.083,18207769.780
20160211,4.043,4.181,3.994,4.088,20646710.510
20160212,4.122,4.210,3.985,4.171,19122666.200
20160216,4.269,4.269,4.073,4.181,11074503.750
20160217,4.240,4.387,4.200,4.338,12988953.135
20160218,4.377,4.613,4.318,4.436,17596966.792
20160219,4.456,4.465,4.289,4.348,11645122.981
20160222,4.465,4.564,4.407,4.426,20644354.200
20160223,4.652,4.995,4.554,4.986,50837816.500
20160224,4.878,5.295,4.878,5.211,61920972.450
20160225,5.251,5.280,5.035,5.211,39915029.220
20160226,5.221,5.386,5.093,5.329,18987955.420
20160229,5.300,5.417,5.260,5.300,23388858.508
20160301,5.349,5.417,5.309,5.359,18930894.300
20160302,5.388,5.574,5.329,5.525,16848564.179
20160303,5.525,5.702,5.496,5.579,18872850.890
20160304,5.574,5.741,5.417,5.466,27614577.490
20160307,5.437,5.741,5.368,5.678,18326558.186
20160308,5.653,5.673,5.417,5.545,20281506.034
20160309,5.380,5.380,5.110,5.170,31864110.000
20160310,5.010,5.360,4.970,5.320,24721173.000
20160311,5.360,5.410,5.300,5.370,8630721.000
20160314,5.290,5.390,5.250,5.340,10219885.000
20160315,5.260,5.300,5.020,5.160,17782560.000
20160316,5.120,5.360,5.045,5.360,15418355.000
20160317,5.350,5.370,5.260,5.290,19047713.000
20160318,5.250,5.360,5.250,5.270,14103485.000
20160321,5.300,5.400,5.250,5.270,6521401.000
20160322,5.250,5.340,5.230,5.300,6248561.000
20160323,5.280,5.300,5.200,5.210,6857304.000
20160324,5.210,5.280,5.070,5.270,8811011.000
