Date,Open,High,Low,Close,Volume
20160104,63.079,63.386,62.821,63.247,685249.960
20160105,63.227,63.555,63.049,63.495,796349.490
20160106,63.297,63.456,63.168,63.327,455818.286
20160107,63.208,63.307,62.672,62.880,484408.579
20160108,62.930,63.138,62.553,62.623,543373.806
20160111,62.652,63.346,62.652,63.198,370360.759
20160112,63.218,63.376,62.851,63.084,696171.274
20160113,63.188,63.188,62.781,62.870,712475.855
20160114,62.910,63.227,62.751,63.079,755925.026
20160115,63.039,63.138,62.682,63.079,736344.611
20160119,63.089,63.570,63.064,63.436,885346.845
20160120,63.247,63.456,62.722,63.089,789724.244
20160121,63.128,63.376,62.870,62.980,486192.129
20160122,63.227,63.396,62.890,63.287,459046.731
20160125,63.297,63.337,62.910,62.945,525595.206
20160126,63.079,63.406,62.930,62.980,580882.182
20160127,63.049,63.178,62.781,63.108,538691.489
20160128,63.029,64.328,62.999,63.852,660713.632
20160129,64.150,64.244,63.009,63.059,968298.996
20160201,63.277,64.061,63.178,63.892,807692.429
20160202,63.694,64.219,63.694,64.115,888565.273
20160203,64.090,64.328,63.703,63.902,875456.793
20160204,63.882,64.398,63.783,64.100,734913.804
20160205,64.031,64.328,63.892,63.991,574550.422
20160208,63.981,64.160,63.773,64.011,967510.379
20160209,63.882,64.457,63.833,64.110,1301675.244
20160210,64.120,64.328,63.922,64.249,681949.949
20160211,63.981,64.348,63.981,64.160,631994.242
20160212,64.180,64.279,63.783,64.100,533915.208
20160216,64.299,64.368,63.713,64.130,585112.027
20160217,64.320,64.510,64.020,64.500,536268.000
20160218,64.380,64.710,63.800,64.310,1183287.000
20160219,64.450,64.855,64.250,64.760,496048.000
20160222,64.790,64.880,64.560,64.750,539875.000
20160223,64.690,64.820,64.600,64.620,526994.000
20160224,64.400,64.920,64.400,64.880,634160.000
20160225,64.850,65.160,64.720,65.140,552315.000
20160226,65.010,65.100,64.800,64.830,583106.000
20160229,64.850,64.920,64.580,64.660,471386.000
20160301,64.700,64.830,64.330,64.530,790784.000
20160302,64.560,64.940,64.300,64.800,624507.000
20160303,64.800,64.800,64.400,64.640,486878.000
20160304,64.520,64.970,64.430,64.780,751157.000
20160307,64.620,64.900,64.520,64.880,539466.000
20160308,64.650,64.900,64.510,64.680,528795.000
20160309,64.790,64.790,64.460,64.750,752426.000
20160310,64.760,64.800,64.570,64.650,730369.000
20160311,64.690,64.750,64.490,64.700,706485.000
20160314,64.600,64.740,64.400,64.430,540828.000
20160315,64.350,64.680,63.940,64.540,668872.000
20160316,64.370,64.910,64.200,64.890,965305.000
20160317,64.860,65.080,64.730,64.975,686273.000
20160318,65.020,65.050,64.420,64.500,910246.000
20160321,64.500,64.690,64.320,64.330,379346.000
20160322,64.390,64.600,64.330,64.340,264000.000
20160323,64.450,64.650,64.300,64.525,370814.000
20160324,64.520,64.880,64.500,64.810,253244.000
