Date,Open,High,Low,Close,Volume
20160104,30.327,30.516,30.010,30.486,57540334.700
20160105,30.436,30.605,30.208,30.506,51120246.700
20160106,30.039,30.471,29.811,30.020,57854504.610
20160107,29.414,29.722,28.621,28.760,80661080.100
20160108,28.958,29.067,28.115,28.214,64167429.210
20160111,28.313,29.682,28.026,28.353,55393615.800
20160112,28.532,28.646,28.115,28.402,43667019.000
20160113,28.680,28.829,27.976,28.016,53574739.500
20160114,28.085,29.018,28.065,28.809,55951922.300
20160115,27.916,28.532,27.877,28.254,61570552.100
20160119,28.492,28.660,27.976,28.254,45876659.600
20160120,27.708,28.204,27.262,27.768,80311292.000
20160121,27.907,28.760,27.907,28.343,52330502.200
20160122,28.333,28.333,27.490,28.016,79682001.100
20160125,28.095,28.264,27.777,27.847,42031944.300
20160126,27.847,28.313,27.827,28.085,39991251.000
20160127,27.976,28.348,27.599,27.788,43960303.830
20160128,28.006,28.125,27.708,27.986,37971588.400
20160129,28.234,28.879,28.115,28.826,39591525.830
20160201,28.779,28.799,28.333,28.402,40119542.500
20160202,28.045,28.085,27.698,28.011,37372171.570
20160203,28.164,28.462,27.649,28.442,39936854.510
20160204,28.343,29.226,28.264,28.938,49747594.600
20160205,28.918,28.968,28.075,28.303,48220950.440
20160208,27.996,28.045,27.540,27.931,41305073.170
20160209,27.529,28.313,27.529,28.065,34314658.800
20160210,28.145,28.472,28.026,28.065,28864570.420
20160211,27.490,27.807,26.885,27.222,77545002.500
20160212,27.351,28.035,27.143,28.035,49555989.830
20160216,28.353,28.799,28.194,28.641,37678184.030
20160217,28.909,29.375,28.889,29.067,32778985.040
20160218,29.038,29.112,28.760,28.849,26954764.240
20160219,28.710,28.899,28.452,28.779,31258248.480
20160222,29.018,29.256,28.968,29.157,35878546.640
20160223,28.978,29.127,28.849,28.988,28528025.180
20160224,28.670,28.819,28.174,28.720,41382117.210
20160225,28.800,29.280,28.780,29.240,32472358.000
20160226,29.320,29.560,29.290,29.390,26880701.000
20160229,29.450,29.550,29.120,29.130,25238279.000
20160301,29.410,29.979,29.310,29.880,29687485.000
20160302,29.780,30.180,29.750,30.170,34174424.000
20160303,30.170,30.400,30.060,30.230,25299662.000
20160304,30.220,30.590,30.220,30.450,29812659.000
20160307,30.260,30.450,30.130,30.280,23481221.000
20160308,30.080,30.220,29.970,30.070,26436231.000
20160309,30.160,30.200,29.970,30.040,21062350.000
20160310,30.130,30.290,29.790,29.940,29251447.000
20160311,30.140,30.580,30.140,30.320,28662923.000
20160314,30.250,30.370,30.080,30.271,18979659.000
20160315,30.030,30.370,30.030,30.270,25690965.000
20160316,30.240,30.310,30.060,30.200,31317314.000
20160317,30.200,31.110,30.175,30.960,50844987.000
20160318,31.150,31.150,30.910,30.930,36792908.000
20160321,30.850,31.200,30.790,31.070,23341608.000
20160322,30.980,31.252,30.970,31.060,20786129.000
20160323,31.040,31.240,31.010,31.080,24177329.000
20160324,30.910,31.110,30.820,31.105,20352246.000
