Date,Open,High,Low,Close,Volume
20160104,26.750,26.880,26.380,26.720,4260539.000
20160105,26.810,27.520,26.720,27.370,3542168.000
20160106,27.160,27.630,27.120,27.610,4395434.000
20160107,26.930,27.330,26.810,26.930,5486668.000
20160108,27.000,27.115,26.150,26.185,4137186.000
20160111,26.350,26.380,25.670,25.860,4772684.000
20160112,26.150,26.160,25.420,25.770,3647883.000
20160113,25.970,26.980,25.720,25.810,7682386.000
20160114,25.950,26.380,25.770,25.810,5558937.000
20160115,25.270,27.440,25.120,27.040,17769502.000
20160119,26.790,27.200,26.270,26.410,9059367.000
20160120,26.000,26.380,25.100,25.660,5802836.000
20160121,25.980,26.940,25.700,26.320,7315320.000
20160122,26.730,27.085,26.580,26.820,5185920.000
20160125,26.810,27.460,26.460,26.920,5811960.000
20160126,26.920,27.420,26.900,27.340,5408100.000
20160127,27.250,27.350,26.790,27.130,6687189.000
20160128,27.230,29.000,26.450,27.580,11821491.000
20160129,27.830,28.300,27.520,28.020,8492578.000
20160201,27.770,28.510,27.290,28.080,7790782.000
20160202,28.340,29.000,27.520,28.670,7001437.000
20160203,28.870,28.965,27.760,28.070,6790029.000
20160204,27.810,28.310,27.800,28.100,4090816.000
20160205,27.820,28.000,26.400,27.030,6754381.000
20160208,27.040,27.220,24.970,25.810,7344248.000
20160209,25.530,25.560,24.730,25.000,6598384.000
20160210,25.200,25.660,24.935,24.980,5133445.000
20160211,24.480,25.090,24.430,24.710,4975402.000
20160212,25.080,25.570,24.830,25.560,5237504.000
20160216,26.000,26.025,25.390,25.670,4381031.000
20160217,25.930,26.130,25.670,25.720,3667317.000
20160218,25.680,26.270,25.455,26.070,2507960.000
20160219,25.940,26.390,25.700,26.230,3143626.000
20160222,26.440,26.760,26.420,26.650,2899896.000
20160223,26.470,27.040,26.470,26.750,3099060.000
20160224,26.400,26.840,26.400,26.760,2536241.000
20160225,26.960,27.385,26.870,27.340,3271302.000
20160226,27.360,27.870,27.210,27.655,4543474.000
20160229,27.660,28.120,27.426,27.530,4835712.000
20160301,27.920,28.580,27.770,28.570,4845677.000
20160302,28.390,28.730,28.300,28.495,2684990.000
20160303,28.600,28.670,28.290,28.620,3556356.000
20160304,28.620,28.720,28.370,28.420,2986254.000
20160307,28.600,28.740,28.270,28.350,3331877.000
20160308,28.270,28.390,27.960,28.090,2460688.000
20160309,28.170,28.420,28.070,28.210,2089402.000
20160310,28.440,28.650,27.945,28.350,3268195.000
20160311,28.630,28.960,28.440,28.910,2234696.000
20160314,28.800,29.130,28.490,29.030,2371057.000
20160315,28.880,29.110,28.830,28.960,2376697.000
20160316,28.780,29.600,28.670,29.460,2325186.000
20160317,29.450,30.300,29.320,30.160,4388444.000
20160318,30.150,30.210,29.530,29.550,5081215.000
20160321,29.540,29.750,28.975,29.110,3697016.000
20160322,29.000,29.350,28.940,29.030,3371080.000
20160323,28.990,29.095,28.800,28.940,2214418.000
20160324,28.810,28.870,28.540,28.740,2551714.000
