Date,Open,High,Low,Close,Volume
20160104,476.519,484.159,467.083,469.796,46674.267
20160105,469.577,479.561,454.675,458.844,48442.779
20160106,455.982,461.817,449.219,457.817,60288.067
20160107,448.551,460.291,445.419,453.837,45852.167
20160108,458.904,466.006,449.818,453.059,61709.690
20160111,454.336,455.343,447.603,453.339,32264.447
20160112,453.827,455.831,439.639,443.863,33340.203
20160113,444.930,448.341,428.901,429.350,33763.277
20160114,432.991,451.573,429.151,440.431,10317.369
20160115,426.178,440.751,424.852,428.542,25287.620
20160119,428.901,441.987,425.191,433.120,28108.822
20160120,427.894,457.139,424.582,451.214,50203.281
20160121,451.842,458.286,448.311,451.413,42718.152
20160122,457.927,462.844,445.878,456.829,11280.834
20160125,455.982,462.854,451.787,457.298,28250.190
20160126,452.042,475.711,450.087,474.385,34918.251
20160127,471.781,484.758,463.313,465.178,54868.224
20160128,468.869,478.753,461.538,472.260,39419.735
20160129,476.210,489.340,472.440,485.750,27742.000
20160201,480.010,498.760,480.010,495.660,32039.000
20160202,491.600,492.040,472.080,477.630,41211.000
20160203,482.870,491.770,468.080,489.010,30199.000
20160204,487.030,502.570,487.030,491.650,28030.000
20160205,490.030,495.900,470.140,473.810,31247.000
20160208,469.200,474.860,460.010,473.020,17847.000
20160209,458.700,486.500,458.700,468.620,34802.000
20160210,472.960,484.020,467.210,477.260,30349.000
20160211,472.750,474.980,455.000,463.290,32664.000
20160212,466.400,472.900,461.200,468.340,18210.000
20160216,475.550,512.000,470.250,510.290,28939.000
20160217,511.600,537.000,505.070,508.970,37104.000
20160218,512.640,515.030,495.425,503.550,30314.000
20160219,500.890,507.990,498.050,505.990,22951.000
20160222,507.810,515.000,496.800,509.500,16272.000
20160223,521.600,521.600,492.620,498.210,22633.000
20160224,498.730,501.990,480.770,497.890,25905.000
20160225,499.000,511.830,492.330,505.750,13110.000
20160226,503.990,503.990,467.240,484.320,31846.000
20160229,485.250,499.230,480.260,487.300,32777.000
20160301,493.350,493.350,481.403,484.720,33589.000
20160302,483.250,488.730,474.960,479.930,43064.000
20160303,480.000,498.390,474.560,490.230,18134.000
20160304,483.950,495.830,475.001,492.060,18314.000
20160307,489.810,502.430,486.290,494.020,16959.000
20160308,485.100,495.290,480.760,493.410,35476.000
20160309,495.870,509.970,494.000,500.000,18135.000
20160310,495.000,503.870,494.930,499.560,10444.000
20160311,510.990,510.990,490.350,493.590,21400.000
20160314,492.360,497.550,477.950,484.250,31432.000
20160315,480.000,484.440,474.000,475.440,18707.000
20160316,472.590,485.020,468.350,476.400,30801.000
20160317,476.820,478.840,468.790,472.440,18112.000
20160318,471.880,487.000,471.880,484.730,34774.000
20160321,482.960,491.200,470.000,472.970,42496.000
20160322,465.000,477.700,461.025,461.700,33073.000
20160323,461.250,471.000,453.330,464.020,27137.000
20160324,462.100,470.000,458.430,469.000,14111.000
