Date,Open,High,Low,Close,Volume
20160104,17.840,17.850,17.617,17.781,9523807.176
20160105,17.791,17.936,17.597,17.781,9212598.895
20160106,17.463,17.562,17.264,17.374,8908989.858
20160107,17.026,17.284,16.917,16.977,10661904.470
20160108,17.056,17.304,16.977,17.006,12944812.393
20160111,17.066,17.428,17.026,17.195,14121947.718
20160112,17.364,17.483,16.986,17.225,10338099.792
20160113,17.274,17.513,16.897,16.937,11691558.229
20160114,16.996,17.344,16.907,17.195,8665673.321
20160115,16.828,17.031,16.599,16.748,14114659.883
20160119,16.897,16.996,16.470,16.649,9863330.664
20160120,16.143,16.689,16.014,16.559,16991328.340
20160121,16.639,17.175,16.443,16.808,12696671.170
20160122,17.076,17.145,16.818,16.986,11069149.334
20160125,16.927,17.006,16.500,16.629,11434481.180
20160126,16.659,17.920,16.639,17.592,16933858.530
20160127,17.483,18.138,17.393,17.781,16024292.360
20160128,17.989,18.073,17.761,17.860,10176326.525
20160129,17.979,18.476,17.969,18.476,9431408.458
20160201,18.267,18.570,18.168,18.436,7777669.563
20160202,18.158,18.247,17.791,17.969,10644429.081
20160203,18.138,18.346,17.830,18.247,10860379.600
20160204,18.227,18.932,18.207,18.719,13050295.590
20160205,18.615,18.843,18.108,18.198,15815869.480
20160208,17.939,18.019,17.657,17.830,11096845.391
20160209,17.711,18.545,17.681,18.346,16573071.110
20160210,18.376,18.545,17.989,18.019,8980891.245
20160211,17.681,17.900,17.483,17.671,12614522.320
20160212,17.870,18.267,17.771,18.247,13399010.508
20160216,18.456,18.575,18.356,18.495,11198833.869
20160217,18.585,18.982,18.545,18.823,12299198.430
20160218,18.932,18.972,18.575,18.595,8819212.350
20160219,18.456,18.555,18.287,18.411,11880280.785
20160222,18.634,18.744,18.456,18.555,12216707.110
20160223,18.380,18.520,18.190,18.220,8862352.000
20160224,18.120,18.170,17.690,17.990,10867111.000
20160225,17.990,18.180,17.930,18.125,11797317.000
20160226,18.230,18.400,18.160,18.300,10648952.000
20160229,18.360,18.570,18.290,18.290,8838726.000
20160301,18.420,18.760,18.245,18.640,9136776.000
20160302,18.660,18.900,18.610,18.790,7247352.000
20160303,18.920,18.950,18.670,18.900,7354499.000
20160304,18.930,19.210,18.890,18.950,8252730.000
20160307,18.910,19.590,18.830,19.565,13372031.000
20160308,19.570,19.570,19.020,19.040,8349755.000
20160309,19.100,19.410,19.095,19.190,6439749.000
20160310,19.190,19.410,18.800,19.005,7308631.000
20160311,19.230,19.550,19.195,19.440,8663693.000
20160314,19.310,19.540,19.310,19.420,5482938.000
20160315,19.240,19.480,19.160,19.445,5612164.000
20160316,19.450,19.620,19.330,19.440,6711043.000
20160317,19.490,20.150,19.470,20.050,10116039.000
20160318,20.150,20.305,20.000,20.025,9136999.000
20160321,20.000,20.250,19.960,20.170,5707054.000
20160322,20.120,20.430,20.030,20.315,7402007.000
20160323,20.260,20.280,20.015,20.120,6048334.000
20160324,19.890,20.285,19.825,20.260,6320998.000
