Date,Open,High,Low,Close,Volume
20160104,26.734,28.138,26.705,27.990,4106803.221
20160105,28.267,28.573,27.743,28.464,3058226.346
20160106,27.911,28.415,27.130,28.020,2986438.457
20160107,27.802,28.455,27.426,28.118,2457716.715
20160108,28.375,28.464,27.723,28.059,2269338.699
20160111,28.010,29.216,27.674,29.028,3141644.536
20160112,28.375,28.890,26.008,27.565,7643609.995
20160113,27.397,27.500,26.181,26.625,2793267.341
20160114,27.110,27.110,24.895,25.311,4480185.618
20160115,24.777,25.642,24.569,25.350,2992298.156
20160119,25.666,25.686,24.767,25.212,2674186.704
20160120,24.925,25.162,24.055,24.905,2147859.764
20160121,24.905,25.657,24.866,25.004,2028492.998
20160122,25.439,25.736,25.142,25.360,1677797.686
20160125,25.311,25.627,24.623,24.777,1395670.292
20160126,25.063,26.181,25.009,25.785,2100898.935
20160127,25.943,26.477,25.528,25.864,1890976.374
20160128,26.191,26.334,25.380,25.419,1343453.914
20160129,25.469,25.953,25.320,25.924,1889873.196
20160201,25.904,26.556,25.558,26.497,2409690.920
20160202,26.329,26.329,25.301,25.627,1621834.660
20160203,25.815,25.884,24.470,25.874,2174717.877
20160204,25.765,26.883,25.568,26.700,1877780.127
20160205,26.230,26.873,26.111,26.527,1463888.481
20160208,26.250,27.644,26.200,27.575,2647690.790
20160209,27.337,27.565,26.408,26.813,2937940.489
20160210,26.892,26.981,26.319,26.358,1290311.021
20160211,26.151,26.645,25.933,26.363,1426873.099
20160212,26.467,27.070,26.012,26.675,2387394.353
20160216,27.021,27.733,26.586,27.664,1255159.081
20160217,27.901,28.672,27.624,28.415,1558477.504
20160218,28.474,29.463,28.346,28.909,2406140.471
20160219,28.890,28.890,27.466,27.852,2059118.355
20160222,28.207,29.295,28.108,28.860,1597448.959
20160223,29.265,29.532,28.652,29.117,1222111.713
20160224,29.087,29.562,27.940,29.552,1528387.933
20160225,29.265,29.727,28.979,29.641,1458956.637
20160226,29.770,30.264,29.592,30.185,1622635.081
20160229,30.096,30.738,29.868,30.481,2009506.837
20160301,30.699,30.887,30.145,30.590,2031472.982
20160302,30.531,31.322,28.820,30.946,3969260.270
20160303,31.005,32.577,30.926,32.350,3411376.573
20160304,32.270,32.555,31.190,31.230,2384746.000
20160307,31.030,31.700,30.378,30.740,2641777.000
20160308,30.890,30.990,29.810,30.120,2123316.000
20160309,30.380,31.570,30.150,31.290,2484449.000
20160310,31.330,31.420,29.940,30.450,1898145.000
20160311,30.540,31.090,30.440,30.750,1487512.000
20160314,30.760,32.030,30.720,31.670,1616522.000
20160315,31.510,31.560,29.970,30.790,1901914.000
20160316,31.150,32.005,30.820,31.900,1396772.000
20160317,32.180,32.290,31.010,31.360,2859709.000
20160318,31.580,31.830,30.790,30.810,4118389.000
20160321,30.920,31.670,30.050,30.850,3213915.000
20160322,30.750,30.875,30.010,30.170,2073612.000
20160323,30.350,30.810,30.050,30.365,1866298.000
20160324,30.340,30.500,29.610,30.280,3594693.000
