Date,Open,High,Low,Close,Volume
20160104,3.660,3.880,3.610,3.810,7811191.000
20160105,3.830,3.870,3.630,3.640,6353217.000
20160106,3.550,3.560,3.400,3.505,5578825.000
20160107,3.380,3.420,3.165,3.170,6784183.000
20160108,3.250,3.270,3.040,3.080,4900690.000
20160111,3.150,3.160,2.580,2.770,12209432.000
20160112,2.810,2.850,2.330,2.520,22811945.000
20160113,2.580,2.650,2.320,2.410,15401189.000
20160114,2.450,2.510,2.235,2.450,15305669.000
20160115,2.320,2.520,2.290,2.490,11208562.000
20160119,2.530,2.580,2.330,2.360,6740280.000
20160120,2.300,2.550,2.200,2.510,12088998.000
20160121,2.510,2.590,2.390,2.420,6044373.000
20160122,2.430,2.540,2.320,2.450,5602113.000
20160125,2.410,2.450,2.205,2.220,6420372.000
20160126,2.270,2.310,2.210,2.240,5159566.000
20160127,2.240,2.360,2.220,2.270,6216962.000
20160128,2.340,2.640,2.290,2.610,7530278.000
20160129,2.690,2.860,2.550,2.770,11372677.000
20160201,2.740,2.740,2.610,2.700,7180340.000
20160202,2.650,2.680,2.550,2.560,4179066.000
20160203,2.580,2.630,2.395,2.480,6696330.000
20160204,2.480,2.790,2.450,2.780,12490009.000
20160205,2.230,2.310,2.010,2.175,26284037.000
20160208,2.120,2.120,1.770,1.860,17667850.000
20160209,1.780,1.910,1.630,1.670,14226950.000
20160210,1.670,1.880,1.660,1.725,10416732.000
20160211,1.670,1.710,1.570,1.620,8619421.000
20160212,1.700,1.820,1.680,1.690,13815099.000
20160216,1.790,1.820,1.740,1.780,7164637.000
20160217,1.810,2.020,1.810,1.935,9264284.000
20160218,2.000,2.085,1.910,2.030,5408176.000
20160219,2.040,2.050,1.920,1.930,3904645.000
20160222,1.970,2.070,1.970,2.000,5424485.000
20160223,1.990,2.030,1.930,1.975,4505641.000
20160224,1.950,1.960,1.830,1.940,5293835.000
20160225,1.960,2.000,1.890,1.970,3707538.000
20160226,2.000,2.180,1.980,2.180,7757815.000
20160229,2.000,2.240,1.980,2.120,12046379.000
20160301,2.100,2.350,2.100,2.315,7654983.000
20160302,2.360,2.490,2.300,2.480,10153624.000
20160303,2.520,2.800,2.435,2.690,11624096.000
20160304,2.870,3.070,2.755,2.880,13568104.000
20160307,2.910,3.060,2.810,2.970,8638806.000
20160308,2.950,3.040,2.700,2.740,8941113.000
20160309,2.820,2.870,2.680,2.785,4741269.000
20160310,2.840,2.850,2.580,2.670,6614491.000
20160311,2.730,2.840,2.540,2.810,6813829.000
20160314,2.800,2.930,2.760,2.920,7254237.000
20160315,2.930,2.930,2.670,2.720,6346895.000
20160316,2.780,2.820,2.710,2.810,4780403.000
20160317,2.940,2.990,2.790,2.940,4708707.000
20160318,2.970,3.030,2.860,3.020,10536397.000
20160321,3.030,3.340,3.000,3.260,11713050.000
20160322,3.270,3.290,2.970,3.045,9279180.000
20160323,3.040,3.050,2.810,2.810,6417860.000
20160324,2.780,2.780,2.530,2.660,10697976.000
