Date,Open,High,Low,Close,Volume
20160104,762.200,762.200,747.510,759.410,3145219.000
20160105,764.100,769.328,755.600,761.520,2060975.000
20160106,749.000,766.000,748.000,759.330,2318530.000
20160107,747.500,755.310,735.280,741.000,2968602.000
20160108,748.510,750.490,728.760,730.520,2154334.000
20160111,732.590,735.220,719.510,733.170,2440391.000
20160112,739.500,748.450,736.430,745.380,2200559.000
20160113,749.000,753.050,716.713,719.570,2350391.000
20160114,725.840,739.960,705.000,731.290,2593421.000
20160115,713.470,724.158,701.260,710.450,3675124.000
20160119,719.410,725.400,709.850,719.020,2248071.000
20160120,705.010,727.000,687.550,718.360,3903423.000
20160121,720.170,737.740,711.110,726.670,2401146.000
20160122,742.980,748.560,740.100,745.220,2135009.000
20160125,743.840,752.470,732.420,733.610,2121934.000
20160126,735.210,739.770,726.970,734.100,1468401.000
20160127,735.100,735.950,713.310,717.580,1967291.000
20160128,737.100,751.280,730.500,748.400,2909763.000
20160129,749.560,765.322,744.200,759.930,3343454.000
20160201,771.200,777.590,761.350,769.750,3911782.000
20160202,805.960,810.350,780.600,780.651,6543874.000
20160203,786.720,791.700,736.240,749.370,6366516.000
20160204,746.000,746.000,722.551,730.030,4961916.000
20160205,725.500,726.720,700.105,703.700,5275323.000
20160208,687.210,704.520,682.000,703.800,4291240.000
20160209,693.060,720.960,688.500,700.830,4101085.000
20160210,711.710,723.220,705.390,706.850,2902881.000
20160211,696.340,712.380,691.190,705.580,3141024.000
20160212,712.210,716.000,701.470,706.630,2127948.000
20160216,716.660,722.900,710.165,717.650,2032251.000
20160217,726.330,733.760,716.610,731.770,2263528.000
20160218,734.000,736.000,715.440,717.470,2163280.000
20160219,715.520,724.090,713.040,722.110,1707290.000
20160222,729.770,734.870,723.350,729.170,1731443.000
20160223,726.100,731.000,715.660,717.250,1971314.000
20160224,710.610,721.220,702.000,720.890,1764078.000
20160225,722.970,729.510,713.230,729.090,1738502.000
20160226,733.370,736.160,721.771,724.850,2028086.000
20160229,721.000,730.600,716.840,717.230,1857191.000
20160301,722.000,742.330,718.470,742.170,2826257.000
20160302,743.090,743.330,733.250,739.480,1663735.000
20160303,739.480,741.260,729.300,731.590,1944999.000
20160304,733.320,735.000,725.475,730.220,2241565.000
20160307,724.550,727.220,705.140,712.940,2930122.000
20160308,708.390,722.300,704.000,713.540,2316152.000
20160309,715.010,726.260,712.660,725.410,1816919.000
20160310,727.790,736.550,723.290,732.160,2159737.000
20160311,739.950,744.900,736.490,744.840,1639293.000
20160314,745.470,754.260,743.010,750.060,1530850.000
20160315,746.020,753.130,742.830,750.570,1369486.000
20160316,749.050,759.000,746.390,757.560,1382017.000
20160317,757.600,765.340,757.360,758.580,2063269.000
20160318,760.690,762.350,751.820,755.790,2451171.000
20160321,756.150,763.400,751.270,762.000,1271693.000
20160322,757.410,765.000,757.400,760.040,930166.000
20160323,763.430,765.390,755.850,757.710,1164471.000
20160324,752.000,757.555,750.500,754.840,1365464.000
