Date,Open,High,Low,Close,Volume
20160104,174.849,176.423,173.007,176.363,3351571.590
20160105,176.642,176.731,172.171,173.346,4171063.770
20160106,170.568,171.275,168.368,169.244,4617428.264
20160107,165.948,168.766,162.881,164.027,5254606.409
20160108,166.038,167.710,162.921,163.210,4552292.020
20160111,164.285,165.739,162.633,165.002,4029479.990
20160112,166.157,167.452,162.593,165.032,4121821.230
20160113,165.709,166.376,157.226,158.212,4302926.700
20160114,159.606,161.806,156.081,160.661,4003082.510
20160115,156.021,157.316,153.134,154.936,5837573.430
20160119,156.878,158.072,154.612,156.011,5322224.860
20160120,153.433,157.704,150.973,153.323,8875715.640
20160121,153.323,154.488,150.834,150.884,5377230.130
20160122,153.920,156.310,153.194,156.131,5179468.700
20160125,155.723,156.181,150.485,150.595,4664175.290
20160126,150.754,155.424,150.535,153.930,3696696.051
20160127,152.925,157.744,152.527,153.104,4075669.322
20160128,154.080,157.365,151.869,156.350,4128502.510
20160129,157.993,160.890,157.097,160.761,4238816.820
20160201,159.715,160.303,157.764,158.829,2832638.924
20160202,156.320,156.370,149.500,151.133,5904356.180
20160203,151.839,153.184,146.373,151.989,5728144.880
20160204,151.640,157.266,151.352,155.742,4178729.977
20160205,156.479,159.008,155.006,155.742,4301460.029
20160208,153.164,153.423,144.591,148.574,8256478.080
20160209,144.890,149.301,144.462,147.658,6555132.573
20160210,149.589,152.716,146.572,146.642,6252265.800
20160211,143.068,143.785,138.438,140.101,9639176.070
20160212,143.127,145.875,143.058,145.577,8622060.000
20160216,148.833,149.828,146.811,148.235,6715323.300
20160217,150.027,151.212,149.659,150.246,5362202.230
20160218,150.595,151.342,146.732,147.050,5507239.794
20160219,146.562,147.090,144.800,146.075,4500075.687
20160222,148.554,149.340,147.588,148.086,4073827.288
20160223,147.359,147.409,143.426,144.292,4027327.153
20160224,142.460,145.019,139.652,144.920,5205073.836
20160225,145.368,148.419,144.552,147.558,3909863.881
20160226,149.042,151.312,148.365,149.420,4432882.950
20160229,149.750,150.290,148.320,149.390,4185518.000
20160301,150.950,154.770,150.680,154.470,5965714.000
20160302,154.750,155.420,153.450,154.090,4849947.000
20160303,154.000,155.660,153.360,155.280,3514829.000
20160304,156.010,158.850,155.250,156.889,4690225.000
20160307,155.460,156.370,154.410,155.310,2596124.000
20160308,154.000,154.289,151.500,151.540,3523241.000
20160309,152.110,152.500,149.180,149.930,2825322.000
20160310,150.750,153.620,148.840,150.960,3950053.000
20160311,153.280,154.170,152.370,153.940,3712220.000
20160314,153.660,154.470,152.120,153.550,2304308.000
20160315,152.600,152.740,150.900,152.080,2759355.000
20160316,150.920,152.870,149.700,150.710,3396597.000
20160317,150.390,153.978,148.750,152.880,3305141.000
20160318,153.910,158.180,153.700,157.640,6231732.000
20160321,157.240,158.900,155.750,156.310,2920046.000
20160322,155.500,155.950,153.360,154.290,3207651.000
20160323,154.250,155.550,153.590,154.020,3388492.000
20160324,152.450,153.040,150.130,153.010,3476941.000
