Date,Open,High,Low,Close,Volume
20160104,33.674,34.410,33.376,34.311,8946789.420
20160105,34.420,34.539,33.565,34.221,7557260.020
20160106,33.316,34.002,32.879,33.237,11689510.980
20160107,32.610,33.560,32.481,32.739,10438178.400
20160108,32.849,33.048,32.103,32.262,9695845.410
20160111,32.242,32.352,30.661,31.357,12416382.820
20160112,31.785,31.929,30.442,31.297,10397467.880
20160113,31.625,31.914,30.223,30.293,14517101.250
20160114,30.502,31.874,29.472,31.655,13058003.350
20160115,30.343,31.118,30.183,30.671,11334858.280
20160119,30.721,30.820,29.209,29.627,14461734.680
20160120,28.881,28.960,27.488,28.314,20815272.400
20160121,28.065,29.467,27.976,29.119,14197525.790
20160122,30.303,30.482,29.020,30.014,17374468.980
20160125,29.965,30.492,29.070,29.119,17685349.790
20160126,29.378,29.440,28.363,28.781,16627687.520
20160127,28.781,29.656,28.473,28.891,16488463.550
20160128,30.154,30.422,29.249,30.283,16712778.080
20160129,30.402,31.631,30.283,31.606,13283626.370
20160201,31.118,31.650,30.840,31.436,9682073.750
20160202,30.561,30.850,30.164,30.363,7233652.060
20160203,30.581,31.884,29.627,31.805,12218561.360
20160204,32.212,33.301,31.974,32.262,12619328.400
20160205,31.725,32.113,30.770,31.168,10712022.620
20160208,30.571,30.909,30.104,30.661,13517776.230
20160209,30.183,30.721,28.761,29.438,12137276.210
20160210,29.318,29.994,29.090,29.438,7285444.270
20160211,28.543,29.179,27.807,28.632,12257306.200
20160212,29.030,29.487,28.562,28.950,11256835.890
20160216,29.547,29.845,29.099,29.763,8560463.380
20160217,30.074,31.287,29.905,31.218,10034810.645
20160218,31.685,31.685,30.770,31.287,10209382.663
20160219,31.158,31.282,30.671,31.188,8700474.060
20160222,31.854,32.779,31.834,32.680,11019084.650
20160223,32.262,32.421,31.839,31.924,10774246.040
20160224,31.178,32.302,31.178,32.292,10262114.100
20160225,32.202,32.481,31.397,32.332,8688776.860
20160226,32.958,33.122,32.262,32.620,8844267.480
20160229,32.430,32.790,32.060,32.280,9734215.000
20160301,32.530,33.060,32.350,32.990,8653200.000
20160302,32.780,33.690,32.240,33.660,10002841.000
20160303,33.500,34.340,33.370,34.170,12627192.000
20160304,34.430,35.710,34.020,34.870,16021310.000
20160307,34.690,36.085,34.630,35.870,14525241.000
20160308,35.320,35.510,34.340,34.500,10584431.000
20160309,34.970,35.200,34.170,34.700,8548489.000
20160310,34.600,34.830,33.930,34.500,9258746.000
20160311,35.090,36.310,34.980,36.090,11554341.000
20160314,35.540,35.860,35.260,35.490,9500938.000
20160315,35.030,35.170,34.490,34.990,8343709.000
20160316,35.380,35.560,34.480,35.470,12226899.000
20160317,35.780,36.740,35.540,36.380,9407878.000
20160318,36.680,36.740,35.814,36.280,9042417.000
20160321,35.970,36.530,35.720,36.390,6565078.000
20160322,36.010,36.440,35.810,35.970,6019435.000
20160323,35.570,35.780,34.820,35.030,7452595.000
20160324,34.410,35.310,34.280,35.240,5909447.000
