Date,Open,High,Low,Close,Volume
20160104,28.793,29.241,28.584,29.161,4103600.742
20160105,29.301,29.998,29.181,29.878,3770441.113
20160106,29.350,30.035,29.271,29.808,3389952.334
20160107,29.291,30.580,29.171,30.316,4594784.281
20160108,30.465,30.615,28.813,28.853,3485857.285
20160111,29.599,30.495,29.052,30.346,5499862.483
20160112,30.814,31.063,29.838,30.476,2600226.814
20160113,30.685,30.704,29.599,29.639,3583071.614
20160114,29.799,30.127,28.733,29.759,4195502.089
20160115,28.932,29.350,28.534,28.932,4396899.021
20160119,29.261,29.400,28.079,28.405,3278891.439
20160120,27.917,28.405,27.070,28.156,4472831.010
20160121,28.235,29.151,28.066,28.753,2526476.233
20160122,29.251,29.629,28.902,29.131,3558929.854
20160125,28.982,29.201,28.793,28.972,2785974.163
20160126,29.191,30.236,29.102,30.107,2991314.730
20160127,29.888,30.615,29.624,29.908,2753672.848
20160128,30.645,30.724,29.241,29.500,3431460.898
20160129,29.719,30.575,29.699,30.446,3100615.903
20160201,30.067,31.202,29.908,31.033,2417148.031
20160202,30.794,31.222,29.769,29.908,2562892.628
20160203,30.207,30.446,29.201,30.306,3244607.223
20160204,29.928,30.047,28.962,29.271,5282753.200
20160205,25.507,26.682,24.691,24.840,19165553.378
20160208,24.382,24.462,23.148,23.715,8283223.780
20160209,23.357,24.691,23.277,23.924,8485771.730
20160210,24.203,25.418,24.104,24.920,9342843.701
20160211,24.560,25.590,24.560,25.150,6097734.000
20160212,25.570,26.760,25.110,26.580,6948719.000
20160216,27.000,27.730,26.805,27.470,4736534.000
20160217,27.840,28.450,27.730,27.870,6036437.000
20160218,27.780,27.880,27.014,27.090,4030036.000
20160219,26.880,27.090,25.980,26.530,5184982.000
20160222,27.010,27.170,26.610,26.930,2448964.000
20160223,26.850,27.100,26.400,26.450,2574191.000
20160224,26.420,27.720,25.870,27.610,4709175.000
20160225,27.340,28.110,27.340,28.070,3065467.000
20160226,28.340,28.490,27.990,28.200,2545849.000
20160229,28.140,28.840,28.140,28.490,2834676.000
20160301,28.620,29.530,28.570,29.370,3352804.000
20160302,29.100,29.190,28.770,29.000,3289016.000
20160303,29.040,29.650,28.940,29.640,2877473.000
20160304,29.780,29.890,29.120,29.380,2376411.000
20160307,29.150,29.520,29.030,29.370,1596817.000
20160308,29.140,29.240,28.533,28.600,2074292.000
20160309,28.850,28.940,28.180,28.220,3453120.000
20160310,28.330,28.860,28.200,28.750,2826416.000
20160311,29.100,29.470,28.920,29.400,1564231.000
20160314,29.220,29.540,29.070,29.320,1651113.000
20160315,29.150,29.280,28.940,29.250,1386982.000
20160316,29.120,29.420,28.740,28.990,1897330.000
20160317,28.990,29.300,28.780,29.250,1760787.000
20160318,29.380,30.000,29.250,29.530,1663376.000
20160321,29.260,29.433,29.000,29.315,1998423.000
20160322,29.220,29.290,28.670,28.920,1848312.000
20160323,28.780,28.870,28.060,28.070,2884423.000
20160324,28.080,28.310,27.660,28.170,1613458.000
