Date,Open,High,Low,Close,Volume
20160104,65.830,66.360,65.070,66.290,3739229.000
20160105,66.560,67.000,65.790,66.455,3595068.000
20160106,65.490,66.530,65.130,65.990,3628938.000
20160107,65.140,65.520,63.600,64.310,3887986.000
20160108,64.480,65.550,63.630,64.270,3445164.000
20160111,68.640,69.480,67.350,67.810,8223260.000
20160112,68.510,69.010,65.510,66.660,4658534.000
20160113,66.600,68.020,63.600,64.950,6339065.000
20160114,65.060,66.480,64.540,65.110,4816667.000
20160115,63.700,65.370,63.070,64.260,5818290.000
20160119,64.940,65.529,62.470,63.460,4402241.000
20160120,62.440,63.550,60.070,62.830,4768626.000
20160121,62.990,65.390,62.370,64.020,3396009.000
20160122,64.820,66.960,64.680,65.840,4143793.000
20160125,65.340,66.470,65.340,65.610,2051094.000
20160126,65.410,67.350,65.390,66.970,2343921.000
20160127,66.940,68.660,66.810,67.470,3885911.000
20160128,68.900,70.390,66.310,67.500,5260723.000
20160129,68.000,71.270,67.580,69.590,6053714.000
20160201,69.450,71.510,69.180,71.020,4323895.000
20160202,70.470,72.450,69.830,71.990,4239672.000
20160203,72.580,72.710,68.595,70.200,4722130.000
20160204,70.200,70.890,69.030,70.110,2693286.000
20160205,70.110,71.200,68.800,69.180,3219829.000
20160208,68.360,68.470,66.120,66.790,3405139.000
20160209,65.940,67.240,65.770,66.530,2794540.000
20160210,66.770,68.510,66.670,67.300,2275794.000
20160211,66.110,67.300,64.110,64.230,3925506.000
20160212,64.500,66.110,64.230,65.980,2717351.000
20160216,64.060,65.690,63.870,65.620,3553519.000
20160217,66.200,67.650,65.600,67.030,2970520.000
20160218,67.400,68.220,66.910,67.500,2938089.000
20160219,67.480,68.020,66.014,67.610,3239859.000
20160222,68.090,70.180,68.010,69.940,3113368.000
20160223,69.700,70.480,69.010,69.870,3082694.000
20160224,69.350,70.400,68.670,70.140,2187829.000
20160225,70.430,70.810,69.080,70.000,2589434.000
20160226,70.200,71.820,69.865,70.460,3666893.000
20160229,70.280,70.540,69.190,69.200,2093955.000
20160301,69.670,70.940,69.480,70.800,2956727.000
20160302,70.530,71.500,69.930,71.300,1910812.000
20160303,71.230,73.000,71.050,72.930,3231959.000
20160304,72.960,74.210,72.461,73.020,3740054.000
20160307,72.510,73.400,72.020,72.940,2340784.000
20160308,72.250,72.860,71.250,71.490,2455507.000
20160309,71.570,72.380,71.030,72.260,2196005.000
20160310,72.600,73.750,71.780,72.210,2197991.000
20160311,72.900,75.060,72.790,74.950,3554889.000
20160314,75.920,75.950,74.130,74.720,2427588.000
20160315,74.080,74.530,72.900,73.190,1452498.000
20160316,72.990,74.770,72.920,74.500,1884079.000
20160317,74.360,74.580,72.800,73.730,2200719.000
20160318,73.940,76.230,73.740,75.460,3770248.000
20160321,75.250,76.610,74.930,75.520,2323306.000
20160322,75.120,78.000,74.980,77.170,2870929.000
20160323,77.270,78.670,76.810,76.960,2535752.000
20160324,76.190,77.000,75.330,76.370,2253912.000
