Date,Open,High,Low,Close,Volume
20160104,129.398,130.293,128.742,130.283,6408300.030
20160105,130.432,131.218,129.319,129.717,4656916.170
20160106,128.294,129.189,127.857,128.439,6724311.940
20160107,126.236,127.180,124.018,124.774,11572469.580
20160108,125.748,125.838,122.824,123.173,6431217.659
20160111,124.217,125.420,123.411,125.072,6446168.660
20160112,126.086,128.095,125.142,126.802,5307288.210
20160113,126.812,126.812,120.308,120.736,8223146.390
20160114,120.627,120.850,117.553,118.956,12558946.080
20160115,116.479,120.497,115.465,118.468,9354709.560
20160119,119.881,121.223,118.150,119.085,5601232.880
20160120,117.235,118.011,112.966,115.843,10788992.590
20160121,116.738,121.273,116.489,119.533,8421865.370
20160122,120.975,123.988,120.915,122.093,5956782.000
20160125,122.705,123.173,120.895,121.064,4371385.510
20160126,121.054,121.790,119.980,121.522,4145323.161
20160127,121.820,123.640,120.199,120.955,4910219.090
20160128,121.303,122.019,119.652,121.581,4513093.030
20160129,122.417,125.002,122.078,124.875,5254282.420
20160201,124.575,126.395,123.302,125.788,4198948.137
20160202,124.724,125.758,124.028,124.605,5490555.680
20160203,125.331,125.470,120.875,123.123,7069206.830
20160204,122.635,123.222,118.797,120.448,8442686.450
20160205,119.771,120.368,115.047,115.793,7525377.550
20160208,114.301,115.375,109.020,111.238,10622189.530
20160209,110.333,114.659,110.075,113.257,7286190.769
20160210,113.874,115.524,113.429,113.685,5026282.818
20160211,112.153,113.565,111.596,112.601,5978606.132
20160212,114.212,115.793,112.899,115.684,4823047.530
20160216,117.494,119.343,117.046,118.767,6334604.710
20160217,119.791,121.014,119.214,120.537,5403355.328
20160218,120.268,120.448,118.906,119.334,4115510.740
20160219,119.164,121.034,118.100,121.004,4438188.450
20160222,122.327,123.789,121.462,122.158,6803420.720
20160223,126.305,126.494,122.675,123.849,10453656.960
20160224,123.371,125.092,122.248,124.893,7586110.970
20160225,125.072,126.166,124.207,126.162,4466794.867
20160226,126.892,127.051,125.241,125.579,4103896.144
20160229,125.679,126.295,123.371,123.401,4140105.643
20160301,124.097,125.281,123.302,124.973,4442777.094
20160302,124.794,125.251,123.769,124.903,3668792.431
20160303,124.615,126.564,124.097,126.126,4653992.200
20160304,126.653,126.800,124.475,124.863,6025909.530
20160307,124.326,125.887,124.326,125.440,3639262.728
20160308,125.220,128.200,124.960,126.670,4565540.000
20160309,127.030,127.590,125.330,126.020,3691711.000
20160310,126.210,127.000,124.310,125.890,4241395.000
20160311,126.960,128.760,126.720,128.430,4179372.000
20160314,128.450,129.660,128.060,128.840,3118057.000
20160315,128.780,130.490,128.620,129.690,3758589.000
20160316,129.630,131.110,128.810,130.485,3316207.000
20160317,130.100,131.190,129.320,130.860,3440449.000
20160318,131.460,132.100,130.820,131.350,4893345.000
20160321,131.250,132.130,130.270,130.970,3508678.000
20160322,130.610,131.220,129.920,130.600,3120697.000
20160323,130.650,131.180,129.950,130.260,3265406.000
20160324,129.450,130.760,129.230,130.470,2865176.000
