Date,Open,High,Low,Close,Volume
20160104,48.159,49.602,47.313,47.950,3072205.596
20160105,47.443,47.882,46.398,47.841,3020809.945
20160106,46.448,46.537,44.637,44.866,4181272.507
20160107,43.781,45.283,43.273,43.393,4243807.406
20160108,43.831,44.199,42.647,43.333,3506757.421
20160111,43.333,43.552,41.094,41.483,5631285.590
20160112,42.298,42.617,38.597,39.403,6046156.070
20160113,39.990,40.846,38.030,38.408,6872775.840
20160114,38.687,40.338,38.259,39.751,6948791.640
20160115,37.811,39.015,37.522,38.527,6500219.400
20160119,38.776,39.065,35.532,36.338,5599871.370
20160120,35.622,35.662,32.239,35.030,10339954.280
20160121,34.895,37.761,34.826,37.428,7236876.040
20160122,39.214,39.751,36.597,38.159,7190988.240
20160125,36.975,37.652,34.109,34.249,7658426.340
20160126,34.945,35.801,34.378,34.627,8467780.160
20160127,34.796,39.463,33.851,36.617,11075318.440
20160128,40.398,41.781,38.856,40.159,9232684.550
20160129,40.627,42.448,40.318,42.279,7184967.130
20160201,41.174,42.060,40.597,41.552,5895530.540
20160202,40.358,40.368,38.577,39.194,7020967.707
20160203,40.080,42.806,38.776,42.776,6647831.710
20160204,42.836,44.955,42.318,43.234,6928800.390
20160205,38.517,39.104,37.811,37.851,29674314.360
20160208,37.045,38.925,36.816,38.796,12977801.220
20160209,38.090,39.174,37.164,38.507,8532133.740
20160210,39.025,39.950,38.557,39.084,9704947.230
20160211,38.249,39.214,36.766,38.726,9431074.350
20160212,39.084,39.950,38.308,39.910,12023453.820
20160216,40.796,41.045,39.741,40.627,6004609.140
20160217,41.363,43.920,41.224,43.264,7490922.620
20160218,44.279,44.279,41.273,41.851,7652665.710
20160219,41.333,42.129,40.050,42.109,5836356.810
20160222,43.283,44.368,42.826,44.358,4944755.633
20160223,43.443,44.486,41.403,41.701,4692006.792
20160224,40.448,41.831,39.780,41.473,4741743.920
20160225,41.453,42.159,39.751,41.373,4132610.780
20160226,42.617,43.403,42.269,42.846,5154300.200
20160229,42.836,43.791,42.388,43.353,5136652.654
20160301,43.572,44.497,42.348,44.090,4862292.297
20160302,43.871,46.706,43.622,46.667,4816405.236
20160303,46.368,48.000,46.020,47.761,5412828.110
20160304,48.189,50.288,47.373,48.149,6665353.040
20160307,48.269,49.632,47.721,49.035,7784425.760
20160308,48.597,48.716,46.298,46.497,5152821.490
20160309,47.443,47.970,46.000,46.836,4446256.057
20160310,46.915,48.119,45.761,48.060,4938364.760
20160311,48.945,51.691,48.945,50.975,7205261.206
20160314,49.751,50.398,48.836,49.980,3967398.870
20160315,48.820,50.280,48.170,50.160,3291874.000
20160316,50.650,51.980,49.920,51.840,3861979.000
20160317,52.240,54.180,51.930,53.160,5423208.000
20160318,54.450,54.650,53.020,53.840,4753878.000
20160321,53.450,54.510,52.220,53.840,3923620.000
20160322,53.660,54.830,53.450,53.710,2946817.000
20160323,52.840,53.300,51.435,51.590,4002895.000
20160324,50.460,52.270,49.690,52.100,3998807.000
